,size,duration
0,11,2
1,14,2
2,21,2
3,16,2
4,15,2
5,8,2
6,4,2
7,11,2
8,3,2
9,4,2
10,7,2
11,9,2
12,6,2
13,8,2
14,5,2
15,3,2
16,5,2
17,5,2
18,4,2
19,7,2
20,76,3
21,3633,7
22,2,2
23,2,2
24,2,2
25,5,2
26,11,2
27,22,2
28,13,2
29,2,2
30,2,2
31,5,2
32,8,2
33,3,2
34,6,2
35,8,2
36,2,2
37,6,2
38,8,2
39,2,2
40,4,2
41,2,2
42,2,2
43,12,2
44,10,2
45,7,2
46,4,2
47,10,2
48,8,2
49,6,2
50,9,2
51,8,2
52,113,3
53,95,3
54,4280,8
55,16,2
56,15,2
57,8,2
58,23,2
59,8,2
60,13,2
61,13,2
62,5,2
63,8,2
64,6,2
65,10,2
66,20,2
67,6,2
68,11,2
69,6,2
70,12,2
71,7,2
72,13,2
73,19,2
74,4,2
75,9,2
76,14,2
77,5,2
78,10,2
79,3,2
80,7,2
81,7,2
82,20,2
83,11,2
84,3629097,986
85,8,2
86,8,2
87,4,2
88,3,2
89,21,2
90,6,2
91,6664,7
92,2,2
93,2,2
94,3,2
95,2,2
96,2,2
97,4,2
98,4,2
99,4,2
100,2,2
101,3,2
102,4,2
103,4,2
104,4,2
105,5,2
106,6,2
107,7,2
108,3,2
109,3,2
110,2,2
111,3,2
112,5,2
113,7,2
114,5566,8
115,7432,9
116,14,2
117,5469,9
118,9,2
119,16,2
120,15,2
121,5,2
122,15,2
123,7119,10
124,14,2
125,4,2
126,4,2
127,4,2
128,2,2
129,6,2
130,4,2
131,4,2
132,2,2
133,4,2
134,9,2
135,4,2
136,4,2
137,5,2
138,3,2
139,6,2
140,7175,10
141,12,2
142,14,2
143,14,2
144,4,2
145,8881,10
146,23,2
147,15,2
148,17,2
149,7,2
150,13566,17
151,13,2
152,8,2
153,8,2
154,3,2
155,4,2
156,4,2
157,2,2
158,5,2
159,9,2
160,12,2
161,16,2
162,14,2
163,10,2
164,7,2
165,17,2
166,13,2
167,8,2
168,11,2
169,9,2
170,16,2
171,12,2
172,8,2
173,7,2
174,11,2
175,16,2
176,17,2
177,11,2
178,14,2
179,2,2
180,24,2
181,9,2
182,10,2
183,9,2
184,8,2
185,9,2
186,10,2
187,10,2
188,10,2
189,9,2
190,8,2
191,7,2
192,5,2
193,6,2
194,6,2
195,6,2
196,5,2
197,4,2
198,2,2
199,7,2
200,12,2
201,7,2
202,12,2
203,7,2
204,13,2
205,8,2
206,15,2
207,21,2
208,17,2
209,23,2
210,7,2
211,15,2
212,2,2
213,5,2
