,avalanches
0,"[1, 4]"
1,"[1, 3]"
2,"[1, 1]"
3,"[1, 1]"
4,"[1, 2]"
5,"[1, 4]"
6,"[1, 1]"
7,"[1, 2]"
8,"[1, 4]"
9,"[1, 6]"
10,"[1, 6]"
11,"[1, 1]"
12,"[1, 1]"
13,"[1, 1]"
14,"[1, 2]"
15,"[1, 5]"
16,"[1, 2]"
17,"[1, 1]"
18,"[1, 1]"
19,"[1, 1]"
20,"[1, 2]"
21,"[1, 3]"
22,"[1, 2]"
23,"[1, 3]"
24,"[1, 1]"
25,"[1, 11]"
26,"[1, 6]"
27,"[1, 2]"
28,"[1, 5]"
29,"[1, 11]"
30,"[1, 9]"
31,"[1, 1]"
32,"[1, 3]"
33,"[1, 1]"
34,"[1, 1]"
35,"[1, 3]"
36,"[1, 1]"
37,"[1, 18]"
38,"[1, 5]"
39,"[8, 38, 25]"
40,"[1, 3]"
41,"[1, 2]"
42,"[1, 1]"
43,"[1, 1]"
44,"[1, 2]"
45,"[1, 1]"
46,"[1, 1]"
47,"[1, 2]"
48,"[1, 1]"
49,"[1, 1]"
50,"[1, 2]"
51,"[1, 2]"
52,"[1, 1]"
53,"[1, 4]"
54,"[1, 5]"
55,"[1, 7]"
56,"[1, 6]"
57,"[1, 5]"
58,"[1, 3]"
59,"[1, 2]"
60,"[1, 6]"
61,"[1, 9]"
62,"[1, 11]"
63,"[1, 12]"
64,"[1, 8]"
65,"[1, 7]"
66,"[1, 8]"
67,"[1, 7]"
68,"[1, 7]"
69,"[1, 10]"
70,"[1, 10]"
71,"[1, 15]"
72,"[1, 13]"
73,"[1, 13]"
74,"[1, 12]"
75,"[1, 14]"
76,"[9, 17, 6]"
77,"[15, 113, 617, 843, 1153, 696, 29]"
78,"[1, 28, 71, 22, 2]"
79,"[1, 8]"
80,"[1, 8]"
81,"[1, 7]"
82,"[1, 6]"
83,"[1, 7]"
84,"[1, 3]"
85,"[1, 2]"
86,"[1, 14]"
87,"[1, 20]"
88,"[1, 25]"
89,"[1, 5]"
90,"[1, 19]"
91,"[1, 10]"
92,"[1, 13]"
93,"[11, 103, 601, 1072, 885, 1193, 429, 9]"
94,"[1, 18]"
95,"[1, 20]"
96,"[1, 2]"
97,"[1, 3]"
98,"[1, 3]"
99,"[1, 3]"
100,"[2, 19, 278, 762, 992, 1535, 2311, 1633, 423]"
101,"[1, 2]"
102,"[1, 2]"
103,"[1, 10]"
104,"[4, 32, 167, 563, 1358, 1124, 730, 881, 189, 3]"
105,"[1, 7]"
106,"[1, 10]"
107,"[5, 58, 488, 1066, 1608, 1156, 1204, 231]"
108,"[1, 11]"
109,"[1, 14]"
110,"[1, 11]"
111,"[1, 15]"
112,"[1, 13]"
113,"[1, 5]"
114,"[1, 8]"
115,"[1, 9]"
116,"[1, 7]"
117,"[1, 9]"
118,"[2, 35, 109]"
119,"[1, 6]"
120,"[1, 6]"
121,"[1, 2]"
122,"[1, 3]"
123,"[4, 29, 296, 714, 1175, 1242, 557, 1292, 491, 50]"
124,"[1, 21]"
125,"[1, 7]"
126,"[1, 21]"
127,"[1, 1]"
128,"[1, 4]"
129,"[1, 6]"
130,"[1, 4]"
131,"[1, 6]"
132,"[1, 3]"
133,"[1, 5]"
134,"[1, 3]"
135,"[1, 4]"
136,"[1, 1]"
137,"[1, 1]"
138,"[1, 6]"
139,"[1, 4]"
140,"[1, 1]"
141,"[1, 4]"
142,"[1, 2]"
143,"[1, 1]"
144,"[1, 10]"
145,"[5, 24, 118, 397, 982, 1210, 709, 1707, 1166, 425, 114]"
146,"[1, 14]"
147,"[1, 9]"
148,"[1, 10]"
149,"[1, 5]"
150,"[1, 11]"
151,"[1, 5]"
152,"[1, 17]"
153,"[1, 12]"
154,"[1, 8]"
155,"[1, 7]"
156,"[1, 9]"
157,"[1, 9]"
158,"[1, 1]"
159,"[1, 1]"
160,"[4, 25, 291, 860, 1186, 1044, 1759, 929, 543, 171]"
161,"[1, 10]"
162,"[1, 14]"
163,"[1, 17]"
164,"[1, 13]"
165,"[1, 23]"
166,"[1, 9]"
167,"[1, 10]"
168,"[1, 8]"
169,"[1, 6]"
170,"[1, 6]"
171,"[1, 8]"
172,"[1, 10]"
173,"[1, 2]"
174,"[1, 1]"
175,"[1, 5]"
176,"[1, 10]"
177,"[1, 6]"
178,"[1, 7]"
179,"[1, 8]"
180,"[1, 1]"
181,"[1, 9]"
182,"[1, 14]"
183,"[1, 13]"
184,"[1, 1]"
185,"[1, 1]"
186,"[1, 2]"
187,"[1, 5]"
188,"[1, 8]"
189,"[1, 7]"
190,"[1, 3]"
191,"[1, 1]"
192,"[1, 1]"
193,"[1, 1]"
194,"[1, 1]"
195,"[1, 11]"
196,"[1, 6]"
197,"[1, 3]"
198,"[1, 1]"
199,"[1, 3]"
200,"[1, 1]"
201,"[1, 1]"
202,"[1, 1]"
203,"[1, 1]"
204,"[1, 3]"
205,"[1, 1]"
206,"[1, 19]"
207,"[1, 12]"
208,"[2, 18, 116]"
209,"[1, 10]"
210,"[1, 6]"
211,"[1, 6]"
212,"[1, 9]"
213,"[1, 1]"
214,"[1, 3]"
215,"[1, 5]"
216,"[1, 3]"
217,"[1, 5]"
218,"[1, 2]"
219,"[1, 4]"
220,"[1, 1]"
221,"[1, 2]"
222,"[1, 10]"
223,"[1, 12]"
224,"[1, 3]"
225,"[1, 2]"
226,"[1, 1]"
227,"[1, 3]"
228,"[1, 1]"
229,"[1, 1]"
230,"[1, 10]"
231,"[1, 18]"
232,"[1, 9]"
233,"[1, 8]"
234,"[1, 4]"
235,"[1, 13]"
236,"[1, 12]"
237,"[1, 15]"
238,"[1, 7]"
239,"[1, 3]"
240,"[1, 10]"
241,"[1, 10]"
