run,evalanche_size,evalanche_duration,density,cooldown,branching_ratio,emperical_branching_ratio
0,"[0, 0, 2, 0, 1, 1, 0, 0, 1]","[0, 0, 2, 0, 1, 1, 0, 0, 1]",0.0,0,0.5,0.35714285714285715
1,"[0, 1, 1, 0, 2, 0, 10, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1]","[0, 1, 1, 0, 2, 0, 7, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1]",2.997002997002997e-05,0,0.5,0.48484848484848486
2,"[5, 2, 0, 0, 1, 1]","[3, 2, 0, 0, 1, 1]",5.994005994005994e-05,0,0.5,0.4444444444444444
3,"[1, 0, 0, 0, 4, 0, 0]","[1, 0, 0, 0, 3, 0, 0]",0.0,0,0.5,0.375
4,"[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]",9.99000999000999e-06,0,0.5,0.2692307692307692
5,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0]",0.0,0,0.5,0.3
6,"[1, 0, 1, 8, 2, 1, 1, 0, 0, 0, 0]","[1, 0, 1, 5, 2, 1, 1, 0, 0, 0, 0]",0.0,0,0.5,0.5555555555555556
7,"[2, 0, 1, 1, 7, 0, 0, 1]","[2, 0, 1, 1, 5, 0, 0, 1]",5.994005994005994e-05,0,0.5,0.65
8,"[0, 0, 0, 3, 0, 0, 1, 3]","[0, 0, 0, 3, 0, 0, 1, 2]",1.998001998001998e-05,0,0.5,0.5833333333333334
9,"[2, 11, 0, 1, 1, 0, 0, 0, 0]","[2, 9, 0, 1, 1, 0, 0, 0, 0]",2.997002997002997e-05,0,0.5,0.5526315789473685
0,"[0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0]",0.0,1,0.5,0.21428571428571427
1,"[0, 1, 4, 0, 0, 0, 1, 0, 3, 3, 1]","[0, 1, 3, 0, 0, 0, 1, 0, 3, 2, 1]",0.0,1,0.5,0.5434782608695652
2,"[0, 3, 1, 0, 0, 1, 0, 5, 0, 0]","[0, 2, 1, 0, 0, 1, 0, 2, 0, 0]",0.0,1,0.5,0.5098039215686275
3,"[0, 7, 0, 0, 0, 7, 0, 0, 2, 0]","[0, 5, 0, 0, 0, 4, 0, 0, 1, 0]",9.99000999000999e-06,1,0.5,0.6764705882352942
4,"[0, 1, 1, 1, 0, 4, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 4, 0, 0, 0, 0]",0.0,1,0.5,0.4117647058823529
5,"[0, 1, 0, 2, 1, 0, 0, 0, 0]","[0, 1, 0, 2, 1, 0, 0, 0, 0]",2.997002997002997e-05,1,0.5,0.3
6,"[1, 0, 0, 0, 10, 2, 1, 0, 0, 0, 6, 0]","[1, 0, 0, 0, 5, 2, 1, 0, 0, 0, 4, 0]",0.0,1,0.5,0.625
7,"[0, 0, 2, 0, 2, 0]","[0, 0, 2, 0, 1, 0]",9.99000999000999e-06,1,0.5,0.5
8,"[3, 0, 0, 1, 0, 0, 1, 0, 0]","[3, 0, 0, 1, 0, 0, 1, 0, 0]",3.996003996003996e-05,1,0.5,0.2
9,"[0, 0, 2, 1, 0, 0, 0]","[0, 0, 2, 1, 0, 0, 0]",9.99000999000999e-06,1,0.5,0.3333333333333333
0,"[5, 0, 0, 0, 2, 0, 1, 2]","[3, 0, 0, 0, 2, 0, 1, 2]",5.994005994005994e-05,3,0.5,0.4166666666666667
1,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",0.0,3,0.5,0.125
2,"[1, 0, 0, 2, 7, 0]","[1, 0, 0, 2, 6, 0]",1.998001998001998e-05,3,0.5,0.6538461538461539
3,"[7, 3, 1, 0, 0, 14, 0, 0]","[5, 2, 1, 0, 0, 9, 0, 0]",7.992007992007992e-05,3,0.5,0.6875
4,"[2, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1]",0.0,3,0.5,0.375
5,"[0, 2, 0, 0, 0, 1, 1, 3]","[0, 2, 0, 0, 0, 1, 1, 2]",9.99000999000999e-06,3,0.5,0.5
6,"[4, 3, 1, 0]","[4, 2, 1, 0]",4.995004995004995e-05,3,0.5,0.5833333333333334
7,"[3, 0, 0, 0, 0, 0, 1, 0, 1, 2, 17]","[1, 0, 0, 0, 0, 0, 1, 0, 1, 2, 11]",4.995004995004995e-05,3,0.5,0.6527777777777778
8,"[0, 2, 0, 0, 0, 4, 0, 2]","[0, 2, 0, 0, 0, 3, 0, 2]",9.99000999000999e-06,3,0.5,0.5
9,"[18, 0, 0, 0, 0, 1, 0, 4, 0, 0, 5, 1, 0, 1, 2]","[13, 0, 0, 0, 0, 1, 0, 4, 0, 0, 3, 1, 0, 1, 1]",0.00019980019980019983,3,0.5,0.5277777777777778
0,"[0, 0, 1, 0, 4, 0, 0, 0, 1, 0, 2]","[0, 0, 1, 0, 4, 0, 0, 0, 1, 0, 2]",9.99000999000999e-06,5,0.5,0.42105263157894735
1,"[0, 8, 0, 0, 0]","[0, 5, 0, 0, 0]",0.0,5,0.5,0.5925925925925926
2,"[0, 0, 6, 0, 0, 2, 0]","[0, 0, 4, 0, 0, 1, 0]",9.99000999000999e-06,5,0.5,0.6363636363636364
3,"[0, 0, 5, 2, 2, 1, 0, 7, 0, 1, 0, 0]","[0, 0, 4, 2, 1, 1, 0, 4, 0, 1, 0, 0]",1.998001998001998e-05,5,0.5,0.6805555555555557
4,"[5, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[4, 0, 0, 1, 0, 0, 1, 1, 0, 0]",5.994005994005994e-05,5,0.5,0.25
5,"[0, 0, 0, 0, 3, 1, 0, 4, 2, 0]","[0, 0, 0, 0, 3, 1, 0, 3, 1, 0]",0.0,5,0.5,0.5277777777777778
6,"[0, 0, 2, 1, 2, 0, 0, 2, 0, 0, 0]","[0, 0, 1, 1, 1, 0, 0, 2, 0, 0, 0]",9.99000999000999e-06,5,0.5,0.4666666666666667
7,"[2, 1, 0, 0, 0, 0, 0, 3, 2, 0, 0, 7]","[1, 1, 0, 0, 0, 0, 0, 3, 1, 0, 0, 4]",0.0,5,0.5,0.5681818181818182
8,"[0, 0, 1, 1, 0, 0, 0, 6, 1, 0]","[0, 0, 1, 1, 0, 0, 0, 4, 1, 0]",9.99000999000999e-06,5,0.5,0.4375
9,"[0, 7, 0, 5, 0, 2, 0]","[0, 6, 0, 2, 0, 2, 0]",7.992007992007992e-05,5,0.5,0.6590909090909091
0,"[0, 1, 3, 0, 2, 1, 3, 0, 0, 0, 1, 3]","[0, 1, 3, 0, 2, 1, 2, 0, 0, 0, 1, 2]",2.997002997002997e-05,0,0.5644189458423445,0.5681818181818182
1,"[2, 4, 0, 1, 0, 3, 3, 7, 0, 0, 0, 0]","[2, 4, 0, 1, 0, 1, 2, 5, 0, 0, 0, 0]",0.0,0,0.5644189458423445,0.6785714285714286
2,"[3, 1, 1, 0, 6, 0, 0, 17, 0, 0, 0, 0, 0]","[3, 1, 1, 0, 4, 0, 0, 11, 0, 0, 0, 0, 0]",5.994005994005994e-05,0,0.5644189458423445,0.625
3,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 2, 1]","[1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 2, 1]",1.998001998001998e-05,0,0.5644189458423445,0.3333333333333333
4,"[5, 0, 0, 1, 0]","[2, 0, 0, 1, 0]",0.0,0,0.5644189458423445,0.5625
5,"[1, 0, 0, 1, 1, 3, 14, 1, 0, 1]","[1, 0, 0, 1, 1, 3, 9, 1, 0, 1]",1.998001998001998e-05,0,0.5644189458423445,0.6969696969696969
6,"[0, 0, 1, 0, 3]","[0, 0, 1, 0, 3]",9.99000999000999e-06,0,0.5644189458423445,0.5
7,"[0, 0, 0, 0, 2, 3, 0]","[0, 0, 0, 0, 2, 2, 0]",9.99000999000999e-06,0,0.5644189458423445,0.5
8,"[0, 0, 2, 10, 0, 1, 0, 5, 0, 0, 0, 0, 0]","[0, 0, 2, 6, 0, 1, 0, 3, 0, 0, 0, 0, 0]",0.0,0,0.5644189458423445,0.5217391304347826
9,"[1, 1, 0, 0, 2, 0, 0, 2]","[1, 1, 0, 0, 2, 0, 0, 2]",1.998001998001998e-05,0,0.5644189458423445,0.4166666666666667
0,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,1,0.5644189458423445,0.0
1,"[2, 0, 0, 0, 1, 1, 0, 2, 0, 2, 7, 0]","[1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 4, 0]",2.997002997002997e-05,1,0.5644189458423445,0.5648148148148148
2,"[0, 0, 1, 0, 0, 0, 1, 3, 1]","[0, 0, 1, 0, 0, 0, 1, 2, 1]",9.99000999000999e-06,1,0.5644189458423445,0.4230769230769231
3,"[0, 1, 0, 0, 4, 1, 2, 0, 0, 0, 1]","[0, 1, 0, 0, 4, 1, 1, 0, 0, 0, 1]",0.0,1,0.5644189458423445,0.45
4,"[0, 0, 5, 5, 1, 0, 0, 1, 8, 1]","[0, 0, 4, 3, 1, 0, 0, 1, 6, 1]",0.0,1,0.5644189458423445,0.6790123456790123
5,"[0, 0, 0, 3, 0, 1]","[0, 0, 0, 2, 0, 1]",0.0,1,0.5644189458423445,0.3888888888888889
6,"[1, 1, 2, 13, 4, 0, 0, 0]","[1, 1, 2, 8, 2, 0, 0, 0]",1.998001998001998e-05,1,0.5644189458423445,0.74
7,"[0, 0, 0, 0, 0, 6, 0, 2, 6, 0]","[0, 0, 0, 0, 0, 6, 0, 2, 4, 0]",2.997002997002997e-05,1,0.5644189458423445,0.6666666666666666
8,"[1, 0, 0, 0, 1, 0, 3, 1]","[1, 0, 0, 0, 1, 0, 1, 1]",0.0,1,0.5644189458423445,0.5
9,"[0, 0, 0, 0, 2, 1, 0, 3]","[0, 0, 0, 0, 2, 1, 0, 2]",9.99000999000999e-06,1,0.5644189458423445,0.5
0,"[0, 16, 4, 7, 3, 4, 1, 0, 0]","[0, 11, 2, 6, 3, 4, 1, 0, 0]",0.0,3,0.5644189458423445,0.8217592592592592
