size,duration
16,1
44,4
11,1
9,1
13,1
13,1
14,1
9,1
21,1
12,1
10,1
11,1
11,1
5,1
15,1
9,1
17,1
5,1
12,1
10,1
13,1
15,1
13,1
9,1
15,2
10,1
13,1
6,1
17,1
11,1
10,1
19,1
19,1
11,1
10,1
15,2
10,1
10,1
12,1
15,1
10,1
9,1
12,1
7,1
12,1
12,1
18,1
10,1
14,1
15,1
11,1
15,1
8,1
16,2
10,1
10,1
10,1
10,1
19,2
12,1
9,1
12,1
11,1
8,1
11,1
10,1
10,1
13,2
17,1
14,1
8,1
21,1
11,1
12,1
7,1
10,1
19,2
9,1
14,1
18,1
13,1
14,1
13,1
19,2
11,1
7,1
11,1
10,1
12,1
13,1
11,1
11,1
9,1
11,1
16,1
11,1
16,2
13,1
11,1
9,1
6,1
12,1
16,2
11,1
12,1
16,1
9,1
18,1
5,1
9,1
14,1
15,1
10,1
20,2
8,1
21,3
10,1
6,1
15,2
16,1
17,2
14,1
14,1
16,1
15,2
15,1
20,2
12,1
19,2
10,1
9,1
13,1
9,1
10,1
17,1
10,1
11,1
11,1
13,1
9,1
15,1
14,1
12,1
11,1
16,1
13,1
12,1
12,1
12,1
9,1
14,1
13,1
14,1
16,1
11,1
15,1
10,1
10,1
11,1
17,1
16,1
13,1
12,1
16,1
14,1
17,1
3,1
13,1
15,1
18,1
9,1
15,1
7,1
8,1
6,1
13,1
12,1
13,1
11,1
10,1
15,1
13,1
9,1
13,1
16,1
10,1
12,1
21,1
6,1
15,1
14,1
17,2
11,1
16,2
14,1
13,1
9,1
12,1
13,1
22,2
15,2
12,1
13,1
7,1
18,2
13,1
10,1
12,1
20,2
19,2
9,1
9,1
19,2
12,1
14,1
16,1
9,1
18,1
15,1
13,1
9,1
8,1
11,1
18,1
11,1
9,1
18,1
8,1
10,1
10,1
24,2
15,1
8,1
12,1
16,1
8,1
14,1
13,1
14,1
11,1
13,1
10,1
8,1
12,1
9,1
20,1
12,1
16,1
8,1
13,1
9,1
5,1
5,1
5,1
11,1
13,1
7,1
11,1
17,1
13,1
13,1
11,1
5,1
9,1
8,1
16,2
9,1
11,1
10,1
17,1
12,1
8,1
21,3
9,1
11,1
11,1
11,1
7,1
17,1
14,1
18,2
9,1
16,2
14,2
8,1
10,1
13,1
12,1
7,1
18,1
9,1
13,1
11,1
14,1
8,1
8,1
17,2
13,1
12,1
11,1
12,1
9,1
12,1
9,1
21,2
10,1
10,1
16,1
14,1
12,1
10,1
10,1
10,1
13,1
9,1
15,1
16,1
10,1
13,1
8,1
8,1
10,1
11,1
10,1
12,1
7,1
9,1
19,2
11,1
11,1
15,1
12,1
10,1
7,1
13,1
14,1
12,1
12,1
8,1
16,1
15,1
13,1
18,1
11,1
16,1
16,1
5,1
13,1
10,1
7,1
8,1
14,1
25,3
15,1
9,1
12,1
11,1
9,1
14,1
11,1
17,1
8,1
12,1
7,1
8,1
8,1
11,1
11,1
9,1
12,1
13,2
16,1
12,1
8,1
7,1
4,1
12,1
9,1
11,1
12,1
10,1
14,1
8,1
24,2
15,1
10,1
10,1
10,1
16,1
8,1
9,1
15,1
22,2
7,1
6,1
11,1
14,1
11,1
11,1
10,1
16,1
18,1
18,1
10,1
12,1
14,1
12,1
18,2
11,1
8,1
18,1
15,1
9,1
9,1
7,1
13,1
13,1
16,1
15,1
9,1
7,1
12,1
9,1
5,1
16,1
14,1
8,1
22,2
12,1
10,1
13,1
13,1
13,1
21,2
14,1
15,1
11,1
16,1
17,1
20,2
10,1
6,1
13,1
7,1
8,1
8,1
9,1
18,1
17,1
13,1
13,1
11,1
11,1
18,1
13,1
11,1
13,1
13,1
8,1
11,1
17,1
13,1
13,1
13,1
12,1
18,1
10,1
13,1
9,1
12,1
14,1
10,1
15,1
17,2
13,1
8,1
15,1
15,1
13,1
13,1
10,1
14,1
14,1
8,1
11,1
10,1
20,1
17,1
11,1
11,1
8,1
11,1
9,1
15,1
9,1
13,1
10,1
15,1
14,1
13,1
14,1
9,1
9,1
9,1
10,1
16,1
10,1
16,1
16,1
9,1
13,1
9,1
14,1
14,1
7,1
21,2
13,1
3,1
11,1
9,1
11,1
12,1
12,1
14,1
13,1
11,1
13,1
8,1
11,1
9,1
11,1
9,1
6,1
10,1
13,1
12,1
8,1
36,3
9,1
17,1
7,1
13,1
8,1
11,1
13,1
16,1
9,1
10,1
13,1
14,1
16,1
11,1
18,2
9,1
8,1
16,1
17,1
10,1
9,1
17,1
11,1
18,1
16,1
15,2
5,1
5,1
16,1
13,1
15,2
10,1
10,1
16,1
13,1
12,1
10,1
11,1
19,1
11,1
15,2
13,1
14,1
15,1
11,1
16,1
8,1
12,1
19,1
19,3
14,1
11,1
6,1
11,1
9,1
15,1
13,1
11,1
11,1
12,1
9,1
16,1
11,1
13,1
11,1
11,1
13,1
13,1
11,1
9,1
13,1
12,1
15,1
13,1
10,1
20,2
12,1
10,1
12,1
7,1
9,1
15,1
12,1
15,1
11,1
14,1
12,1
9,1
13,1
7,1
32,4
10,1
13,1
15,1
17,1
15,1
7,1
7,1
15,1
18,2
20,2
5,1
11,1
9,1
5,1
19,2
18,2
7,1
7,1
18,2
16,2
15,1
9,1
8,1
7,1
17,1
16,1
5,1
14,1
14,1
13,1
6,1
8,1
15,1
9,1
16,2
17,1
21,1
12,1
10,1
14,1
9,1
18,1
10,1
14,1
7,1
7,1
8,1
6,1
15,1
13,1
15,1
9,1
15,1
13,1
8,1
19,2
14,1
10,1
6,1
13,1
12,1
12,1
17,2
6,1
15,1
12,1
17,1
13,1
8,1
12,2
10,1
10,1
9,1
14,1
13,1
14,1
8,1
11,1
16,1
11,1
19,2
10,1
12,1
8,1
14,1
14,1
12,1
15,1
9,1
13,1
13,1
22,1
11,1
7,1
13,1
15,1
14,1
11,1
18,1
10,1
8,1
12,1
10,1
21,2
12,1
9,1
17,2
7,1
11,1
7,1
11,1
14,1
14,1
15,1
18,2
16,1
9,1
14,1
14,1
9,1
17,1
12,1
10,1
18,1
12,1
10,1
8,1
10,1
14,1
12,1
10,1
16,2
30,3
13,1
14,1
16,2
8,1
14,1
12,1
11,1
9,1
12,1
14,1
13,1
11,1
9,1
11,1
13,1
12,1
15,1
13,1
11,1
21,2
12,1
7,1
11,1
17,2
7,1
14,2
12,1
20,2
9,1
11,1
10,1
14,1
12,1
11,1
18,1
7,1
13,1
15,2
11,1
13,1
14,1
16,1
15,1
12,1
14,1
10,1
12,1
12,1
12,1
15,1
7,1
15,1
17,1
80,5
16,1
9,1
12,1
9,1
13,1
12,2
11,1
11,1
13,1
12,1
12,1
9,1
42,4
9,1
10,1
16,2
20,2
8,1
11,1
11,1
13,1
12,1
10,1
4,1
10,1
8,1
8,1
11,1
12,1
9,1
10,1
10,1
11,1
8,1
14,1
6,1
10,1
9,1
10,1
16,1
14,1
13,1
10,1
11,1
14,1
11,1
21,2
8,1
10,1
14,1
14,1
10,1
10,1
13,1
7,1
13,1
11,1
13,1
11,1
16,1
8,1
7,1
8,1
13,1
15,1
10,1
9,1
15,2
14,1
19,2
11,1
14,1
10,1
9,1
20,2
8,1
9,1
15,1
18,1
8,1
12,1
18,1
12,1
6,1
10,1
14,1
13,1
12,1
15,1
11,1
7,1
16,1
12,1
14,1
26,3
13,1
16,1
9,1
8,1
8,1
5,1
16,1
15,1
13,1
11,1
11,1
12,1
14,1
18,1
18,1
15,1
14,1
9,1
11,1
12,1
9,1
18,2
11,1
10,1
16,1
12,1
8,1
18,1
12,1
11,1
7,1
5,1
14,1
17,1
13,1
15,1
15,1
15,1
11,1
8,1
10,1
15,1
10,1
10,1
18,1
13,1
11,1
14,1
17,1
14,1
9,1
8,1
18,1
15,1
15,1
17,2
13,1
16,1
10,1
12,1
14,1
16,1
11,1
12,1
9,1
15,1
14,1
8,1
9,1
11,1
13,1
9,1
16,1
13,1
9,1
23,2
17,1
12,1
9,1
13,1
10,1
15,1
14,1
