,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
0,2500.0,7.0,3.0,6.0,0.03,False,65,0,65
1,,,,,,,68,0,68
2,,,,,,,78,0,78
3,,,,,,,56,0,56
4,,,,,,,75,0,75
5,,,,,,,65,0,65
6,,,,,,,63,0,63
7,,,,,,,79,0,79
8,,,,,,,69,0,69
9,,,,,,,64,0,64
10,,,,,,,57,3,54
11,,,,,,,67,0,67
12,,,,,,,64,0,64
13,,,,,,,70,0,70
14,,,,,,,61,0,61
15,,,,,,,54,0,54
16,,,,,,,76,0,76
17,,,,,,,64,0,64
18,,,,,,,58,0,58
19,,,,,,,55,0,55
20,,,,,,,65,0,65
21,,,,,,,73,0,73
22,,,,,,,59,0,59
23,,,,,,,67,0,67
24,,,,,,,58,0,58
25,,,,,,,59,0,59
26,,,,,,,82,0,82
27,,,,,,,56,0,56
28,,,,,,,58,0,58
29,,,,,,,64,0,64
30,,,,,,,58,0,58
31,,,,,,,69,0,69
32,,,,,,,67,0,67
33,,,,,,,59,0,59
34,,,,,,,72,0,72
35,,,,,,,50,0,50
36,,,,,,,65,0,65
37,,,,,,,57,0,57
38,,,,,,,47,0,47
39,,,,,,,71,0,71
40,,,,,,,75,0,75
41,,,,,,,59,0,59
42,,,,,,,62,0,62
43,,,,,,,60,0,60
44,,,,,,,52,0,52
45,,,,,,,53,0,53
46,,,,,,,71,0,71
47,,,,,,,53,0,53
48,,,,,,,58,0,58
49,,,,,,,63,0,63
50,,,,,,,69,0,69
51,,,,,,,54,0,54
52,,,,,,,61,0,61
53,,,,,,,59,0,59
54,,,,,,,38,0,38
55,,,,,,,85,0,85
56,,,,,,,58,0,58
57,,,,,,,68,0,68
58,,,,,,,68,0,68
59,,,,,,,55,0,55
60,,,,,,,60,0,60
61,,,,,,,52,0,52
62,,,,,,,67,0,67
63,,,,,,,67,0,67
64,,,,,,,73,1,72
65,,,,,,,66,0,66
66,,,,,,,63,0,63
67,,,,,,,58,0,58
68,,,,,,,64,0,64
69,,,,,,,56,0,56
70,,,,,,,59,0,59
71,,,,,,,62,0,62
72,,,,,,,53,0,53
73,,,,,,,64,0,64
74,,,,,,,66,0,66
75,,,,,,,51,0,51
76,,,,,,,62,0,62
77,,,,,,,63,0,63
78,,,,,,,64,0,64
79,,,,,,,65,0,65
80,,,,,,,54,0,54
81,,,,,,,66,0,66
82,,,,,,,62,0,62
83,,,,,,,65,0,65
84,,,,,,,56,0,56
85,,,,,,,64,0,64
86,,,,,,,65,0,65
87,,,,,,,59,0,59
88,,,,,,,53,0,53
89,,,,,,,64,0,64
90,,,,,,,54,0,54
91,,,,,,,51,0,51
92,,,,,,,57,0,57
93,,,,,,,68,0,68
94,,,,,,,73,0,73
95,,,,,,,64,0,64
96,,,,,,,62,0,62
97,,,,,,,60,0,60
98,,,,,,,63,0,63
99,,,,,,,77,0,77
100,,,,,,,52,0,52
101,,,,,,,50,0,50
102,,,,,,,66,0,66
103,,,,,,,66,0,66
104,,,,,,,62,0,62
105,,,,,,,54,0,54
106,,,,,,,75,0,75
107,,,,,,,59,0,59
108,,,,,,,73,0,73
109,,,,,,,62,0,62
110,,,,,,,64,0,64
111,,,,,,,60,0,60
112,,,,,,,59,0,59
113,,,,,,,51,0,51
114,,,,,,,62,0,62
115,,,,,,,74,0,74
116,,,,,,,57,0,57
117,,,,,,,66,0,66
118,,,,,,,61,1,60
119,,,,,,,50,0,50
120,,,,,,,74,0,74
121,,,,,,,59,0,59
122,,,,,,,53,0,53
123,,,,,,,70,0,70
124,,,,,,,47,0,47
125,,,,,,,74,0,74
126,,,,,,,57,0,57
127,,,,,,,66,0,66
128,,,,,,,69,0,69
129,,,,,,,58,0,58
130,,,,,,,74,0,74
131,,,,,,,74,0,74
132,,,,,,,56,0,56
133,,,,,,,70,0,70
134,,,,,,,60,0,60
135,,,,,,,56,0,56
136,,,,,,,58,0,58
137,,,,,,,60,0,60
138,,,,,,,63,0,63
139,,,,,,,49,0,49
140,,,,,,,67,0,67
141,,,,,,,67,0,67
