,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
0,2500.0,9.0,3.0,3.0,0.03,False,74,0,74
1,,,,,,,72,0,72
2,,,,,,,70,0,70
3,,,,,,,64,0,64
4,,,,,,,58,0,58
5,,,,,,,48,0,48
6,,,,,,,72,0,72
7,,,,,,,60,0,60
8,,,,,,,83,0,83
9,,,,,,,69,0,69
10,,,,,,,53,0,53
11,,,,,,,62,0,62
12,,,,,,,73,0,73
13,,,,,,,72,0,72
14,,,,,,,87,0,87
15,,,,,,,59,0,59
16,,,,,,,66,0,66
17,,,,,,,61,0,61
18,,,,,,,72,0,72
19,,,,,,,67,0,67
20,,,,,,,70,0,70
21,,,,,,,67,0,67
22,,,,,,,57,0,57
23,,,,,,,70,0,70
24,,,,,,,59,0,59
25,,,,,,,64,0,64
26,,,,,,,79,0,79
27,,,,,,,91,0,91
28,,,,,,,56,0,56
29,,,,,,,58,0,58
30,,,,,,,66,0,66
31,,,,,,,44,0,44
32,,,,,,,66,0,66
33,,,,,,,63,0,63
34,,,,,,,72,0,72
35,,,,,,,67,0,67
36,,,,,,,73,0,73
37,,,,,,,67,0,67
38,,,,,,,53,0,53
39,,,,,,,74,0,74
40,,,,,,,65,0,65
41,,,,,,,82,0,82
42,,,,,,,67,0,67
43,,,,,,,64,0,64
44,,,,,,,76,0,76
45,,,,,,,66,0,66
46,,,,,,,51,0,51
47,,,,,,,68,0,68
48,,,,,,,58,0,58
49,,,,,,,69,0,69
50,,,,,,,60,0,60
51,,,,,,,53,0,53
52,,,,,,,68,0,68
53,,,,,,,75,0,75
54,,,,,,,52,0,52
55,,,,,,,48,0,48
56,,,,,,,76,0,76
57,,,,,,,56,0,56
58,,,,,,,64,0,64
59,,,,,,,54,0,54
60,,,,,,,60,0,60
61,,,,,,,63,0,63
62,,,,,,,49,0,49
63,,,,,,,77,0,77
64,,,,,,,67,0,67
65,,,,,,,66,0,66
66,,,,,,,74,0,74
67,,,,,,,67,0,67
68,,,,,,,68,0,68
69,,,,,,,63,0,63
70,,,,,,,53,0,53
71,,,,,,,56,0,56
72,,,,,,,66,0,66
73,,,,,,,55,0,55
74,,,,,,,57,0,57
75,,,,,,,70,0,70
76,,,,,,,67,0,67
77,,,,,,,67,0,67
78,,,,,,,72,0,72
79,,,,,,,54,0,54
80,,,,,,,67,0,67
81,,,,,,,79,0,79
82,,,,,,,62,0,62
83,,,,,,,59,0,59
84,,,,,,,63,0,63
85,,,,,,,69,0,69
86,,,,,,,58,0,58
87,,,,,,,69,0,69
88,,,,,,,69,0,69
89,,,,,,,57,0,57
90,,,,,,,65,0,65
91,,,,,,,61,0,61
92,,,,,,,70,0,70
93,,,,,,,69,0,69
94,,,,,,,74,0,74
95,,,,,,,56,0,56
96,,,,,,,76,0,76
97,,,,,,,81,0,81
98,,,,,,,57,0,57
99,,,,,,,73,0,73
100,,,,,,,69,0,69
101,,,,,,,64,0,64
102,,,,,,,69,0,69
103,,,,,,,84,0,84
104,,,,,,,67,0,67
105,,,,,,,59,0,59
106,,,,,,,61,0,61
107,,,,,,,68,0,68
108,,,,,,,81,0,81
109,,,,,,,52,0,52
110,,,,,,,66,0,66
111,,,,,,,63,0,63
112,,,,,,,59,0,59
113,,,,,,,82,0,82
114,,,,,,,70,0,70
115,,,,,,,66,0,66
116,,,,,,,63,0,63
117,,,,,,,53,0,53
118,,,,,,,61,0,61
119,,,,,,,49,0,49
120,,,,,,,60,0,60
121,,,,,,,58,0,58
122,,,,,,,64,0,64
123,,,,,,,58,0,58
124,,,,,,,72,0,72
125,,,,,,,62,0,62
126,,,,,,,69,0,69
127,,,,,,,64,0,64
128,,,,,,,66,0,66
129,,,,,,,55,0,55
130,,,,,,,72,0,72
131,,,,,,,63,0,63
132,,,,,,,66,0,66
133,,,,,,,76,0,76
134,,,,,,,67,0,67
135,,,,,,,69,0,69
136,,,,,,,73,0,73
137,,,,,,,67,0,67
138,,,,,,,72,0,72
139,,,,,,,77,0,77
140,,,,,,,67,0,67
141,,,,,,,77,0,77
142,,,,,,,49,0,49
143,,,,,,,57,0,57
144,,,,,,,65,0,65
145,,,,,,,79,0,79
146,,,,,,,75,0,75
147,,,,,,,64,0,64
148,,,,,,,55,0,55
149,,,,,,,66,0,66
150,,,,,,,68,0,68
151,,,,,,,74,0,74
152,,,,,,,63,0,63
153,,,,,,,72,0,72
154,,,,,,,62,0,62
155,,,,,,,75,0,75
156,,,,,,,62,0,62
157,,,,,,,51,0,51
158,,,,,,,74,0,74
159,,,,,,,76,0,76
160,,,,,,,84,0,84
161,,,,,,,58,0,58
162,,,,,,,58,0,58
163,,,,,,,72,0,72
164,,,,,,,54,0,54
165,,,,,,,77,0,77
166,,,,,,,59,0,59
167,,,,,,,67,0,67
168,,,,,,,65,0,65
169,,,,,,,71,0,71
170,,,,,,,63,0,63
171,,,,,,,90,0,90
172,,,,,,,65,0,65
173,,,,,,,59,0,59
174,,,,,,,79,0,79
175,,,,,,,66,0,66
176,,,,,,,70,0,70
177,,,,,,,64,0,64
178,,,,,,,61,0,61
179,,,,,,,49,0,49
180,,,,,,,67,0,67
181,,,,,,,74,0,74
182,,,,,,,54,0,54
183,,,,,,,63,0,63
184,,,,,,,71,0,71
185,,,,,,,67,0,67
186,,,,,,,62,0,62
187,,,,,,,70,0,70
188,,,,,,,69,0,69
189,,,,,,,66,0,66
190,,,,,,,61,0,61
191,,,,,,,78,0,78
192,,,,,,,63,0,63
193,,,,,,,70,0,70
194,,,,,,,74,0,74
195,,,,,,,66,0,66
196,,,,,,,76,0,76
197,,,,,,,73,0,73
198,,,,,,,68,0,68
