,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
0,2500.0,4.0,3.0,1.0,0.03,False,73,0,73
1,,,,,,,76,1,75
2,,,,,,,82,14,68
3,,,,,,,88,22,66
4,,,,,,,138,59,79
5,,,,,,,209,125,84
6,,,,,,,307,266,41
7,,,,,,,479,429,50
8,,,,,,,653,627,26
9,,,,,,,807,793,14
10,,,,,,,776,766,10
11,,,,,,,789,783,6
12,,,,,,,872,871,1
13,,,,,,,796,796,0
14,,,,,,,809,809,0
15,,,,,,,888,888,0
16,,,,,,,803,803,0
17,,,,,,,809,809,0
18,,,,,,,888,888,0
19,,,,,,,803,803,0
20,,,,,,,809,809,0
21,,,,,,,888,888,0
22,,,,,,,803,803,0
23,,,,,,,809,809,0
24,,,,,,,888,888,0
25,,,,,,,803,803,0
26,,,,,,,809,809,0
27,,,,,,,888,888,0
28,,,,,,,803,803,0
29,,,,,,,809,809,0
30,,,,,,,888,888,0
31,,,,,,,803,803,0
32,,,,,,,809,809,0
33,,,,,,,888,888,0
34,,,,,,,803,803,0
35,,,,,,,809,809,0
36,,,,,,,888,888,0
37,,,,,,,803,803,0
38,,,,,,,809,809,0
39,,,,,,,888,888,0
40,,,,,,,803,803,0
41,,,,,,,809,809,0
42,,,,,,,888,888,0
43,,,,,,,803,803,0
44,,,,,,,809,809,0
45,,,,,,,888,888,0
46,,,,,,,803,803,0
47,,,,,,,809,809,0
48,,,,,,,888,888,0
49,,,,,,,803,803,0
50,,,,,,,809,809,0
51,,,,,,,888,888,0
52,,,,,,,803,803,0
53,,,,,,,809,809,0
54,,,,,,,888,888,0
55,,,,,,,803,803,0
56,,,,,,,809,809,0
57,,,,,,,888,888,0
58,,,,,,,803,803,0
59,,,,,,,809,809,0
60,,,,,,,888,888,0
61,,,,,,,803,803,0
62,,,,,,,809,809,0
63,,,,,,,888,888,0
64,,,,,,,803,803,0
65,,,,,,,809,809,0
66,,,,,,,888,888,0
67,,,,,,,803,803,0
68,,,,,,,809,809,0
69,,,,,,,888,888,0
70,,,,,,,803,803,0
71,,,,,,,809,809,0
72,,,,,,,888,888,0
73,,,,,,,803,803,0
74,,,,,,,809,809,0
75,,,,,,,888,888,0
76,,,,,,,803,803,0
77,,,,,,,809,809,0
78,,,,,,,888,888,0
79,,,,,,,803,803,0
80,,,,,,,809,809,0
81,,,,,,,888,888,0
82,,,,,,,803,803,0
83,,,,,,,809,809,0
84,,,,,,,888,888,0
85,,,,,,,803,803,0
86,,,,,,,809,809,0
87,,,,,,,888,888,0
88,,,,,,,803,803,0
89,,,,,,,809,809,0
90,,,,,,,888,888,0
91,,,,,,,803,803,0
92,,,,,,,809,809,0
