,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
0,2500.0,3.0,3.0,5.0,0.03,False,71,0,71
1,,,,,,,79,0,79
2,,,,,,,63,0,63
3,,,,,,,61,0,61
4,,,,,,,63,0,63
5,,,,,,,80,0,80
6,,,,,,,71,6,65
7,,,,,,,65,4,61
8,,,,,,,66,0,66
9,,,,,,,59,0,59
10,,,,,,,59,0,59
11,,,,,,,64,3,61
12,,,,,,,58,0,58
13,,,,,,,73,0,73
14,,,,,,,55,0,55
15,,,,,,,60,0,60
16,,,,,,,55,0,55
17,,,,,,,73,0,73
18,,,,,,,55,0,55
19,,,,,,,61,0,61
20,,,,,,,56,0,56
21,,,,,,,71,0,71
22,,,,,,,54,0,54
23,,,,,,,75,0,75
24,,,,,,,67,1,66
25,,,,,,,76,0,76
26,,,,,,,42,0,42
27,,,,,,,57,0,57
28,,,,,,,68,0,68
29,,,,,,,57,1,56
30,,,,,,,65,0,65
31,,,,,,,67,1,66
32,,,,,,,65,0,65
33,,,,,,,51,0,51
34,,,,,,,79,0,79
35,,,,,,,68,1,67
36,,,,,,,76,0,76
37,,,,,,,58,0,58
38,,,,,,,84,0,84
39,,,,,,,61,0,61
40,,,,,,,69,0,69
41,,,,,,,62,0,62
42,,,,,,,58,0,58
43,,,,,,,65,0,65
44,,,,,,,55,0,55
45,,,,,,,68,0,68
46,,,,,,,75,0,75
47,,,,,,,69,0,69
48,,,,,,,69,0,69
49,,,,,,,63,0,63
50,,,,,,,60,0,60
51,,,,,,,65,1,64
52,,,,,,,61,0,61
53,,,,,,,66,0,66
54,,,,,,,64,0,64
55,,,,,,,63,0,63
56,,,,,,,63,0,63
57,,,,,,,64,0,64
58,,,,,,,55,0,55
59,,,,,,,54,0,54
60,,,,,,,55,0,55
61,,,,,,,69,0,69
62,,,,,,,72,1,71
63,,,,,,,64,0,64
64,,,,,,,47,0,47
65,,,,,,,78,0,78
66,,,,,,,70,0,70
67,,,,,,,68,0,68
68,,,,,,,71,0,71
69,,,,,,,55,0,55
70,,,,,,,62,0,62
71,,,,,,,82,0,82
72,,,,,,,60,0,60
73,,,,,,,60,0,60
74,,,,,,,63,0,63
75,,,,,,,51,0,51
76,,,,,,,59,0,59
77,,,,,,,62,0,62
78,,,,,,,58,0,58
79,,,,,,,57,0,57
80,,,,,,,53,0,53
81,,,,,,,67,0,67
82,,,,,,,64,0,64
83,,,,,,,47,0,47
84,,,,,,,75,0,75
85,,,,,,,59,0,59
86,,,,,,,62,0,62
87,,,,,,,77,0,77
88,,,,,,,66,0,66
89,,,,,,,66,0,66
90,,,,,,,56,0,56
91,,,,,,,59,0,59
92,,,,,,,56,0,56
93,,,,,,,62,0,62
94,,,,,,,78,0,78
95,,,,,,,64,0,64
96,,,,,,,70,0,70
97,,,,,,,48,0,48
98,,,,,,,79,0,79
99,,,,,,,73,0,73
100,,,,,,,58,0,58
101,,,,,,,58,0,58
102,,,,,,,60,0,60
103,,,,,,,60,0,60
104,,,,,,,73,0,73
105,,,,,,,70,0,70
106,,,,,,,58,0,58
107,,,,,,,59,0,59
108,,,,,,,63,0,63
109,,,,,,,57,0,57
110,,,,,,,77,0,77
111,,,,,,,69,0,69
112,,,,,,,51,0,51
