,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
0,2500.0,9.0,3.0,6.0,0.03,False,67,0,67
1,,,,,,,76,0,76
2,,,,,,,74,0,74
3,,,,,,,81,0,81
4,,,,,,,67,0,67
5,,,,,,,58,0,58
6,,,,,,,62,0,62
7,,,,,,,68,0,68
8,,,,,,,76,0,76
9,,,,,,,49,0,49
10,,,,,,,62,0,62
11,,,,,,,56,0,56
12,,,,,,,62,0,62
13,,,,,,,58,0,58
14,,,,,,,75,0,75
15,,,,,,,63,0,63
16,,,,,,,44,0,44
17,,,,,,,68,0,68
18,,,,,,,60,0,60
19,,,,,,,63,0,63
20,,,,,,,56,0,56
21,,,,,,,67,0,67
22,,,,,,,70,0,70
23,,,,,,,53,0,53
24,,,,,,,62,0,62
25,,,,,,,62,0,62
26,,,,,,,61,0,61
27,,,,,,,64,0,64
28,,,,,,,65,0,65
29,,,,,,,51,0,51
30,,,,,,,56,0,56
31,,,,,,,49,0,49
32,,,,,,,68,0,68
33,,,,,,,64,0,64
34,,,,,,,58,0,58
35,,,,,,,74,0,74
36,,,,,,,66,0,66
37,,,,,,,63,0,63
38,,,,,,,59,0,59
39,,,,,,,78,0,78
40,,,,,,,52,0,52
41,,,,,,,51,0,51
42,,,,,,,74,0,74
43,,,,,,,64,0,64
44,,,,,,,59,0,59
45,,,,,,,57,0,57
46,,,,,,,59,0,59
47,,,,,,,55,0,55
48,,,,,,,57,0,57
49,,,,,,,63,0,63
50,,,,,,,79,0,79
51,,,,,,,55,0,55
52,,,,,,,65,0,65
53,,,,,,,69,0,69
54,,,,,,,61,0,61
55,,,,,,,67,0,67
56,,,,,,,59,0,59
57,,,,,,,58,0,58
58,,,,,,,59,0,59
59,,,,,,,49,0,49
60,,,,,,,66,0,66
61,,,,,,,61,0,61
62,,,,,,,66,0,66
63,,,,,,,61,0,61
64,,,,,,,55,0,55
65,,,,,,,63,0,63
66,,,,,,,61,0,61
67,,,,,,,68,0,68
68,,,,,,,70,0,70
69,,,,,,,59,0,59
70,,,,,,,50,0,50
71,,,,,,,71,0,71
72,,,,,,,74,0,74
73,,,,,,,60,0,60
74,,,,,,,53,0,53
75,,,,,,,74,0,74
76,,,,,,,55,0,55
77,,,,,,,78,0,78
78,,,,,,,71,0,71
79,,,,,,,61,0,61
80,,,,,,,68,0,68
81,,,,,,,61,0,61
82,,,,,,,54,0,54
83,,,,,,,68,0,68
84,,,,,,,56,0,56
85,,,,,,,64,0,64
86,,,,,,,80,0,80
87,,,,,,,71,0,71
88,,,,,,,53,0,53
89,,,,,,,57,0,57
90,,,,,,,63,0,63
91,,,,,,,57,0,57
92,,,,,,,61,0,61
93,,,,,,,41,0,41
94,,,,,,,69,0,69
95,,,,,,,64,0,64
96,,,,,,,53,0,53
97,,,,,,,56,0,56
98,,,,,,,59,0,59
99,,,,,,,60,0,60
100,,,,,,,56,0,56
101,,,,,,,71,0,71
102,,,,,,,81,0,81
103,,,,,,,56,0,56
104,,,,,,,61,0,61
105,,,,,,,56,0,56
106,,,,,,,53,0,53
107,,,,,,,59,0,59
108,,,,,,,72,0,72
109,,,,,,,73,0,73
110,,,,,,,59,0,59
111,,,,,,,59,0,59
112,,,,,,,72,0,72
113,,,,,,,58,0,58
114,,,,,,,62,0,62
