,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
0,2500.0,6.0,3.0,1.0,0.02,False,46,0,46
1,,,,,,,31,0,31
2,,,,,,,57,0,57
3,,,,,,,58,0,58
4,,,,,,,45,0,45
5,,,,,,,40,0,40
6,,,,,,,47,0,47
7,,,,,,,55,0,55
8,,,,,,,52,0,52
9,,,,,,,46,1,45
10,,,,,,,57,0,57
11,,,,,,,50,0,50
12,,,,,,,52,0,52
13,,,,,,,45,0,45
14,,,,,,,49,0,49
15,,,,,,,42,0,42
16,,,,,,,38,0,38
17,,,,,,,41,0,41
18,,,,,,,49,0,49
19,,,,,,,45,0,45
20,,,,,,,61,0,61
21,,,,,,,44,0,44
22,,,,,,,39,0,39
23,,,,,,,37,0,37
24,,,,,,,58,0,58
25,,,,,,,43,0,43
26,,,,,,,44,0,44
27,,,,,,,47,0,47
28,,,,,,,46,0,46
29,,,,,,,48,0,48
30,,,,,,,50,0,50
31,,,,,,,53,0,53
32,,,,,,,48,0,48
33,,,,,,,55,0,55
34,,,,,,,59,0,59
35,,,,,,,54,0,54
36,,,,,,,55,0,55
37,,,,,,,38,0,38
38,,,,,,,46,0,46
39,,,,,,,41,0,41
40,,,,,,,59,0,59
41,,,,,,,52,0,52
42,,,,,,,48,0,48
43,,,,,,,52,0,52
44,,,,,,,56,0,56
45,,,,,,,52,0,52
46,,,,,,,53,0,53
47,,,,,,,36,0,36
48,,,,,,,50,0,50
49,,,,,,,45,0,45
50,,,,,,,47,0,47
51,,,,,,,57,0,57
52,,,,,,,47,0,47
53,,,,,,,41,0,41
54,,,,,,,35,0,35
55,,,,,,,51,0,51
56,,,,,,,42,0,42
57,,,,,,,48,0,48
58,,,,,,,49,0,49
59,,,,,,,51,0,51
60,,,,,,,37,0,37
61,,,,,,,47,0,47
62,,,,,,,39,0,39
63,,,,,,,52,0,52
64,,,,,,,37,0,37
65,,,,,,,51,0,51
66,,,,,,,45,0,45
67,,,,,,,48,0,48
68,,,,,,,52,0,52
69,,,,,,,49,0,49
70,,,,,,,50,0,50
71,,,,,,,54,0,54
72,,,,,,,51,0,51
73,,,,,,,50,0,50
74,,,,,,,47,0,47
75,,,,,,,53,0,53
76,,,,,,,44,0,44
77,,,,,,,49,0,49
78,,,,,,,48,0,48
79,,,,,,,51,0,51
80,,,,,,,43,0,43
81,,,,,,,51,0,51
82,,,,,,,58,0,58
83,,,,,,,34,0,34
84,,,,,,,47,0,47
85,,,,,,,58,0,58
86,,,,,,,54,0,54
87,,,,,,,48,0,48
88,,,,,,,57,0,57
89,,,,,,,49,0,49
90,,,,,,,51,0,51
91,,,,,,,46,0,46
92,,,,,,,43,0,43
93,,,,,,,59,0,59
94,,,,,,,48,0,48
95,,,,,,,49,0,49
96,,,,,,,55,0,55
97,,,,,,,52,0,52
98,,,,,,,42,0,42
99,,,,,,,46,0,46
100,,,,,,,49,3,46
101,,,,,,,54,0,54
102,,,,,,,38,0,38
103,,,,,,,63,0,63
104,,,,,,,55,0,55
105,,,,,,,51,0,51
106,,,,,,,38,0,38
107,,,,,,,39,0,39
108,,,,,,,40,0,40
109,,,,,,,53,0,53
110,,,,,,,45,0,45
111,,,,,,,53,0,53
112,,,,,,,58,0,58
113,,,,,,,64,0,64
114,,,,,,,51,0,51
115,,,,,,,44,0,44
116,,,,,,,44,0,44
117,,,,,,,53,0,53
118,,,,,,,57,0,57
119,,,,,,,47,0,47
120,,,,,,,43,0,43
121,,,,,,,39,0,39
122,,,,,,,41,0,41
123,,,,,,,50,0,50
124,,,,,,,46,0,46
125,,,,,,,58,0,58
126,,,,,,,53,0,53
127,,,,,,,49,0,49
128,,,,,,,46,0,46
129,,,,,,,54,0,54
130,,,,,,,40,0,40
131,,,,,,,50,0,50
132,,,,,,,45,0,45
133,,,,,,,37,0,37
134,,,,,,,45,0,45
135,,,,,,,44,0,44
136,,,,,,,55,0,55
137,,,,,,,55,0,55
138,,,,,,,36,0,36
139,,,,,,,39,0,39
140,,,,,,,44,0,44
141,,,,,,,45,0,45
142,,,,,,,47,0,47
