,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
0,2500.0,6.0,3.0,3.0,0.02,False,50,0,50
1,,,,,,,37,0,37
2,,,,,,,51,0,51
3,,,,,,,51,0,51
4,,,,,,,43,0,43
5,,,,,,,33,0,33
6,,,,,,,53,0,53
7,,,,,,,44,0,44
8,,,,,,,49,0,49
9,,,,,,,50,0,50
10,,,,,,,39,0,39
11,,,,,,,34,0,34
12,,,,,,,35,0,35
13,,,,,,,42,0,42
14,,,,,,,50,0,50
15,,,,,,,40,0,40
16,,,,,,,46,0,46
17,,,,,,,56,0,56
18,,,,,,,44,0,44
19,,,,,,,42,0,42
20,,,,,,,40,0,40
21,,,,,,,54,0,54
22,,,,,,,44,0,44
23,,,,,,,40,0,40
24,,,,,,,55,0,55
25,,,,,,,44,0,44
26,,,,,,,45,0,45
27,,,,,,,38,0,38
28,,,,,,,52,0,52
29,,,,,,,46,0,46
30,,,,,,,48,0,48
31,,,,,,,54,0,54
32,,,,,,,48,0,48
33,,,,,,,58,0,58
34,,,,,,,54,0,54
35,,,,,,,53,0,53
36,,,,,,,49,0,49
37,,,,,,,41,0,41
38,,,,,,,48,0,48
39,,,,,,,42,0,42
40,,,,,,,34,0,34
41,,,,,,,50,0,50
42,,,,,,,50,0,50
43,,,,,,,31,0,31
44,,,,,,,35,0,35
45,,,,,,,47,0,47
46,,,,,,,54,0,54
47,,,,,,,50,0,50
48,,,,,,,46,0,46
49,,,,,,,57,0,57
50,,,,,,,38,0,38
51,,,,,,,47,0,47
52,,,,,,,52,0,52
53,,,,,,,48,0,48
54,,,,,,,40,0,40
55,,,,,,,34,0,34
56,,,,,,,61,0,61
57,,,,,,,43,0,43
58,,,,,,,45,0,45
59,,,,,,,63,0,63
60,,,,,,,43,0,43
61,,,,,,,45,0,45
62,,,,,,,40,0,40
63,,,,,,,38,0,38
64,,,,,,,33,0,33
65,,,,,,,39,0,39
66,,,,,,,47,0,47
67,,,,,,,44,0,44
68,,,,,,,47,0,47
69,,,,,,,54,0,54
70,,,,,,,46,0,46
71,,,,,,,53,0,53
72,,,,,,,40,0,40
73,,,,,,,52,0,52
74,,,,,,,58,0,58
75,,,,,,,44,0,44
76,,,,,,,43,0,43
77,,,,,,,54,0,54
78,,,,,,,34,0,34
79,,,,,,,61,0,61
80,,,,,,,49,0,49
81,,,,,,,42,0,42
82,,,,,,,44,0,44
83,,,,,,,51,0,51
84,,,,,,,40,0,40
85,,,,,,,48,0,48
86,,,,,,,57,0,57
87,,,,,,,52,1,51
88,,,,,,,55,0,55
89,,,,,,,44,0,44
90,,,,,,,41,0,41
91,,,,,,,43,0,43
92,,,,,,,38,0,38
93,,,,,,,35,0,35
94,,,,,,,45,0,45
95,,,,,,,51,0,51
96,,,,,,,45,0,45
97,,,,,,,50,0,50
98,,,,,,,43,0,43
99,,,,,,,55,0,55
100,,,,,,,45,0,45
101,,,,,,,34,0,34
102,,,,,,,47,0,47
103,,,,,,,58,0,58
104,,,,,,,45,0,45
105,,,,,,,31,0,31
106,,,,,,,33,0,33
107,,,,,,,60,0,60
108,,,,,,,49,0,49
109,,,,,,,44,0,44
110,,,,,,,36,0,36
111,,,,,,,46,0,46
112,,,,,,,52,0,52
113,,,,,,,49,0,49
114,,,,,,,43,0,43
115,,,,,,,56,0,56
116,,,,,,,39,0,39
117,,,,,,,49,0,49
118,,,,,,,46,0,46
119,,,,,,,47,0,47
120,,,,,,,52,0,52
121,,,,,,,47,0,47
122,,,,,,,53,0,53
123,,,,,,,47,0,47
124,,,,,,,48,0,48
125,,,,,,,51,0,51
126,,,,,,,44,0,44
127,,,,,,,25,0,25
128,,,,,,,41,0,41
129,,,,,,,54,0,54
130,,,,,,,40,0,40
131,,,,,,,49,0,49
132,,,,,,,46,0,46
133,,,,,,,43,0,43
134,,,,,,,54,0,54
135,,,,,,,42,1,41
136,,,,,,,55,0,55
137,,,,,,,52,0,52
138,,,,,,,41,0,41
139,,,,,,,41,0,41
140,,,,,,,48,0,48
141,,,,,,,48,0,48
142,,,,,,,47,0,47
143,,,,,,,54,0,54
144,,,,,,,50,0,50
145,,,,,,,52,0,52
146,,,,,,,47,0,47
147,,,,,,,32,0,32
148,,,,,,,47,0,47
149,,,,,,,47,0,47
150,,,,,,,41,0,41
151,,,,,,,52,0,52
152,,,,,,,49,0,49
153,,,,,,,58,0,58
154,,,,,,,52,0,52
155,,,,,,,43,0,43
156,,,,,,,48,0,48
157,,,,,,,53,0,53
158,,,,,,,46,0,46
159,,,,,,,50,0,50
160,,,,,,,41,0,41
161,,,,,,,46,0,46
162,,,,,,,33,0,33
163,,,,,,,42,0,42
164,,,,,,,50,0,50
165,,,,,,,53,0,53
166,,,,,,,33,0,33
167,,,,,,,52,0,52
168,,,,,,,36,0,36
169,,,,,,,36,0,36
170,,,,,,,44,0,44
171,,,,,,,45,0,45
172,,,,,,,51,0,51
173,,,,,,,51,0,51
174,,,,,,,45,0,45
175,,,,,,,41,0,41
176,,,,,,,44,0,44
177,,,,,,,50,0,50
178,,,,,,,56,0,56
179,,,,,,,54,0,54
180,,,,,,,54,0,54
181,,,,,,,51,0,51
182,,,,,,,46,0,46
183,,,,,,,47,0,47
184,,,,,,,51,0,51
185,,,,,,,50,0,50
186,,,,,,,38,0,38
187,,,,,,,52,0,52
188,,,,,,,51,0,51
189,,,,,,,43,0,43
190,,,,,,,47,0,47
191,,,,,,,41,0,41
192,,,,,,,45,0,45
193,,,,,,,54,0,54
194,,,,,,,41,0,41
195,,,,,,,55,0,55
196,,,,,,,50,0,50
197,,,,,,,46,0,46
198,,,,,,,50,0,50
199,,,,,,,41,0,41
200,,,,,,,39,0,39
201,,,,,,,50,0,50
202,,,,,,,41,0,41
203,,,,,,,43,0,43
204,,,,,,,52,0,52
205,,,,,,,55,0,55
206,,,,,,,41,0,41
207,,,,,,,48,0,48
208,,,,,,,40,0,40
209,,,,,,,53,0,53
210,,,,,,,50,0,50
211,,,,,,,39,0,39
212,,,,,,,34,0,34
213,,,,,,,49,0,49
214,,,,,,,51,0,51
215,,,,,,,59,0,59
216,,,,,,,52,0,52
217,,,,,,,38,0,38
218,,,,,,,42,0,42
219,,,,,,,53,0,53
220,,,,,,,57,0,57
221,,,,,,,34,0,34
222,,,,,,,38,0,38
223,,,,,,,50,0,50
224,,,,,,,59,0,59
225,,,,,,,44,0,44
226,,,,,,,40,0,40
227,,,,,,,50,0,50
228,,,,,,,57,1,56
229,,,,,,,47,0,47
230,,,,,,,46,0,46
231,,,,,,,38,0,38
232,,,,,,,47,0,47
233,,,,,,,45,0,45
234,,,,,,,46,0,46
235,,,,,,,32,0,32
236,,,,,,,43,0,43
237,,,,,,,42,0,42
238,,,,,,,46,0,46
239,,,,,,,50,0,50
240,,,,,,,56,0,56
241,,,,,,,47,0,47
242,,,,,,,40,0,40
243,,,,,,,49,0,49
244,,,,,,,53,0,53
245,,,,,,,38,0,38
246,,,,,,,33,0,33
247,,,,,,,49,0,49
248,,,,,,,39,0,39
249,,,,,,,53,0,53
250,,,,,,,41,0,41
251,,,,,,,57,0,57
252,,,,,,,44,0,44
253,,,,,,,48,0,48
254,,,,,,,43,0,43
255,,,,,,,53,0,53
256,,,,,,,49,0,49
257,,,,,,,55,0,55
258,,,,,,,36,0,36
259,,,,,,,37,0,37
260,,,,,,,51,0,51
261,,,,,,,54,0,54
262,,,,,,,50,0,50
263,,,,,,,51,0,51
264,,,,,,,52,0,52
265,,,,,,,45,0,45
266,,,,,,,43,0,43
267,,,,,,,47,0,47
268,,,,,,,62,0,62
269,,,,,,,57,0,57
270,,,,,,,46,0,46
271,,,,,,,47,0,47
272,,,,,,,54,0,54
273,,,,,,,49,0,49
274,,,,,,,49,0,49
275,,,,,,,40,0,40
276,,,,,,,41,0,41
277,,,,,,,57,0,57
278,,,,,,,41,0,41
279,,,,,,,42,0,42
280,,,,,,,46,0,46
281,,,,,,,61,0,61
282,,,,,,,46,0,46
283,,,,,,,47,0,47
284,,,,,,,47,0,47
285,,,,,,,42,0,42
286,,,,,,,49,0,49
287,,,,,,,47,0,47
288,,,,,,,31,0,31
289,,,,,,,43,0,43
290,,,,,,,50,0,50
291,,,,,,,42,0,42
292,,,,,,,39,0,39
293,,,,,,,66,0,66
294,,,,,,,63,3,60
295,,,,,,,42,0,42
296,,,,,,,45,0,45
297,,,,,,,51,0,51
298,,,,,,,53,0,53
299,,,,,,,42,0,42
300,,,,,,,56,0,56
301,,,,,,,55,0,55
302,,,,,,,37,0,37
303,,,,,,,46,0,46
304,,,,,,,36,0,36
305,,,,,,,41,0,41
306,,,,,,,39,0,39
307,,,,,,,40,0,40
308,,,,,,,52,0,52
309,,,,,,,52,0,52
310,,,,,,,39,0,39
311,,,,,,,50,0,50
312,,,,,,,38,0,38
313,,,,,,,45,0,45
314,,,,,,,39,0,39
315,,,,,,,48,0,48
316,,,,,,,38,0,38
317,,,,,,,52,0,52
318,,,,,,,48,0,48
319,,,,,,,50,0,50
320,,,,,,,34,0,34
321,,,,,,,37,0,37
322,,,,,,,49,0,49
323,,,,,,,54,0,54
324,,,,,,,47,0,47
325,,,,,,,47,0,47
326,,,,,,,50,0,50
327,,,,,,,42,0,42
328,,,,,,,38,0,38
329,,,,,,,48,0,48
330,,,,,,,48,0,48
331,,,,,,,44,0,44
332,,,,,,,45,0,45
333,,,,,,,51,0,51
334,,,,,,,50,0,50
335,,,,,,,47,0,47
336,,,,,,,54,0,54
337,,,,,,,48,0,48
338,,,,,,,48,0,48
339,,,,,,,43,0,43
340,,,,,,,50,0,50
341,,,,,,,49,0,49
342,,,,,,,40,0,40
343,,,,,,,51,0,51
344,,,,,,,46,0,46
345,,,,,,,35,0,35
346,,,,,,,49,0,49
347,,,,,,,55,0,55
348,,,,,,,40,0,40
349,,,,,,,42,0,42
350,,,,,,,48,0,48
351,,,,,,,29,0,29
352,,,,,,,53,0,53
353,,,,,,,56,0,56
354,,,,,,,46,0,46
355,,,,,,,48,0,48
356,,,,,,,39,0,39
357,,,,,,,52,0,52
358,,,,,,,44,0,44
359,,,,,,,52,0,52
360,,,,,,,42,0,42
361,,,,,,,48,0,48
362,,,,,,,43,0,43
363,,,,,,,50,0,50
364,,,,,,,40,0,40
365,,,,,,,48,0,48
366,,,,,,,46,0,46
367,,,,,,,54,0,54
368,,,,,,,53,0,53
369,,,,,,,44,0,44
370,,,,,,,31,0,31
371,,,,,,,47,0,47
372,,,,,,,46,0,46
373,,,,,,,45,0,45
374,,,,,,,54,0,54
375,,,,,,,45,0,45
376,,,,,,,55,0,55
377,,,,,,,50,0,50
378,,,,,,,32,0,32
379,,,,,,,44,0,44
380,,,,,,,48,0,48
381,,,,,,,30,0,30
382,,,,,,,51,0,51
383,,,,,,,58,0,58
384,,,,,,,49,0,49
385,,,,,,,44,0,44
386,,,,,,,49,0,49
387,,,,,,,46,0,46
388,,,,,,,43,0,43
389,,,,,,,59,0,59
390,,,,,,,51,0,51
391,,,,,,,44,0,44
392,,,,,,,43,0,43
393,,,,,,,32,0,32
394,,,,,,,44,0,44
395,,,,,,,45,0,45
396,,,,,,,34,0,34
397,,,,,,,52,0,52
398,,,,,,,52,0,52
399,,,,,,,52,0,52
400,,,,,,,44,0,44
401,,,,,,,51,0,51
402,,,,,,,42,0,42
403,,,,,,,51,0,51
404,,,,,,,44,0,44
405,,,,,,,53,0,53
406,,,,,,,48,0,48
407,,,,,,,50,0,50
408,,,,,,,49,0,49
409,,,,,,,50,0,50
410,,,,,,,36,0,36
411,,,,,,,43,0,43
412,,,,,,,42,0,42
413,,,,,,,39,0,39
414,,,,,,,46,0,46
415,,,,,,,36,0,36
416,,,,,,,39,0,39
417,,,,,,,42,0,42
418,,,,,,,52,0,52
419,,,,,,,44,0,44
420,,,,,,,53,0,53
421,,,,,,,37,0,37
422,,,,,,,56,0,56
423,,,,,,,40,0,40
424,,,,,,,45,0,45
425,,,,,,,55,0,55
426,,,,,,,47,0,47
427,,,,,,,44,0,44
428,,,,,,,40,0,40
429,,,,,,,44,0,44
430,,,,,,,46,0,46
431,,,,,,,46,0,46
432,,,,,,,43,0,43
433,,,,,,,60,0,60
434,,,,,,,49,0,49
435,,,,,,,48,0,48
436,,,,,,,54,0,54
437,,,,,,,51,0,51
438,,,,,,,47,0,47
439,,,,,,,54,0,54
440,,,,,,,44,0,44
441,,,,,,,44,0,44
442,,,,,,,53,0,53
443,,,,,,,45,0,45
444,,,,,,,43,0,43
445,,,,,,,54,0,54
446,,,,,,,35,0,35
447,,,,,,,52,0,52
448,,,,,,,56,0,56
449,,,,,,,55,0,55
450,,,,,,,38,0,38
451,,,,,,,47,0,47
452,,,,,,,45,0,45
453,,,,,,,51,0,51
454,,,,,,,42,0,42
455,,,,,,,44,0,44
456,,,,,,,51,0,51
457,,,,,,,37,0,37
458,,,,,,,68,0,68
459,,,,,,,50,0,50
460,,,,,,,33,0,33
461,,,,,,,37,0,37
462,,,,,,,43,0,43
463,,,,,,,49,0,49
464,,,,,,,38,0,38
465,,,,,,,49,0,49
466,,,,,,,36,0,36
467,,,,,,,52,0,52
468,,,,,,,36,0,36
469,,,,,,,49,0,49
470,,,,,,,44,0,44
471,,,,,,,59,0,59
472,,,,,,,45,0,45
473,,,,,,,37,0,37
474,,,,,,,58,0,58
475,,,,,,,40,0,40
476,,,,,,,47,0,47
477,,,,,,,45,0,45
478,,,,,,,47,0,47
479,,,,,,,52,0,52
480,,,,,,,44,0,44
481,,,,,,,46,0,46
482,,,,,,,44,0,44
483,,,,,,,40,0,40
484,,,,,,,31,0,31
485,,,,,,,50,0,50
486,,,,,,,47,0,47
487,,,,,,,41,0,41
488,,,,,,,52,0,52
489,,,,,,,49,0,49
490,,,,,,,41,0,41
491,,,,,,,56,0,56
492,,,,,,,46,0,46
493,,,,,,,53,0,53
494,,,,,,,46,0,46
495,,,,,,,39,0,39
496,,,,,,,33,0,33
497,,,,,,,48,0,48
498,,,,,,,43,0,43
499,,,,,,,52,0,52
500,,,,,,,39,0,39
501,,,,,,,42,0,42
502,,,,,,,42,0,42
503,,,,,,,49,0,49
504,,,,,,,34,0,34
505,,,,,,,43,0,43
506,,,,,,,57,0,57
507,,,,,,,35,0,35
508,,,,,,,34,0,34
509,,,,,,,40,0,40
510,,,,,,,49,0,49
511,,,,,,,45,0,45
512,,,,,,,53,0,53
513,,,,,,,39,0,39
514,,,,,,,41,0,41
515,,,,,,,44,0,44
516,,,,,,,47,0,47
517,,,,,,,40,0,40
518,,,,,,,43,0,43
519,,,,,,,47,0,47
520,,,,,,,46,0,46
521,,,,,,,36,0,36
522,,,,,,,52,0,52
523,,,,,,,52,0,52
524,,,,,,,51,0,51
525,,,,,,,50,0,50
526,,,,,,,48,0,48
527,,,,,,,57,0,57
528,,,,,,,38,0,38
529,,,,,,,40,0,40
530,,,,,,,45,0,45
531,,,,,,,37,0,37
532,,,,,,,43,0,43
533,,,,,,,35,1,34
534,,,,,,,44,0,44
535,,,,,,,52,0,52
536,,,,,,,58,0,58
537,,,,,,,56,0,56
538,,,,,,,52,0,52
539,,,,,,,45,0,45
540,,,,,,,52,0,52
541,,,,,,,50,0,50
542,,,,,,,45,0,45
543,,,,,,,42,0,42
544,,,,,,,52,0,52
545,,,,,,,38,0,38
546,,,,,,,50,0,50
547,,,,,,,44,0,44
548,,,,,,,42,0,42
549,,,,,,,41,0,41
550,,,,,,,54,0,54
551,,,,,,,46,0,46
552,,,,,,,49,0,49
553,,,,,,,49,0,49
554,,,,,,,47,0,47
555,,,,,,,41,0,41
556,,,,,,,48,0,48
557,,,,,,,41,0,41
558,,,,,,,48,0,48
559,,,,,,,49,0,49
560,,,,,,,55,0,55
561,,,,,,,51,0,51
562,,,,,,,51,0,51
563,,,,,,,48,0,48
564,,,,,,,46,0,46
565,,,,,,,45,0,45
566,,,,,,,47,0,47
567,,,,,,,41,0,41
568,,,,,,,38,0,38
569,,,,,,,43,0,43
570,,,,,,,55,0,55
571,,,,,,,45,0,45
572,,,,,,,45,0,45
573,,,,,,,53,0,53
574,,,,,,,35,0,35
575,,,,,,,38,0,38
576,,,,,,,55,0,55
577,,,,,,,55,0,55
578,,,,,,,42,0,42
579,,,,,,,53,0,53
580,,,,,,,29,0,29
581,,,,,,,42,0,42
582,,,,,,,63,0,63
583,,,,,,,35,0,35
584,,,,,,,44,0,44
585,,,,,,,50,0,50
586,,,,,,,40,0,40
587,,,,,,,54,0,54
588,,,,,,,48,0,48
589,,,,,,,41,0,41
590,,,,,,,42,0,42
591,,,,,,,58,0,58
592,,,,,,,48,0,48
593,,,,,,,46,0,46
594,,,,,,,46,0,46
595,,,,,,,53,0,53
596,,,,,,,45,0,45
597,,,,,,,51,0,51
598,,,,,,,45,0,45
599,,,,,,,49,0,49
600,,,,,,,45,0,45
601,,,,,,,50,0,50
602,,,,,,,70,0,70
603,,,,,,,50,0,50
604,,,,,,,56,0,56
605,,,,,,,39,0,39
606,,,,,,,55,0,55
607,,,,,,,51,0,51
608,,,,,,,51,0,51
609,,,,,,,39,0,39
610,,,,,,,42,0,42
611,,,,,,,52,1,51
612,,,,,,,48,0,48
613,,,,,,,53,0,53
