,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
0,2500.0,5.0,3.0,5.0,0.02,False,51,0,51
1,,,,,,,51,0,51
2,,,,,,,45,0,45
3,,,,,,,47,0,47
4,,,,,,,48,0,48
5,,,,,,,37,0,37
6,,,,,,,54,0,54
7,,,,,,,44,0,44
8,,,,,,,40,0,40
9,,,,,,,53,0,53
10,,,,,,,54,0,54
11,,,,,,,46,0,46
12,,,,,,,44,0,44
13,,,,,,,48,0,48
14,,,,,,,34,0,34
15,,,,,,,45,0,45
16,,,,,,,50,0,50
17,,,,,,,47,0,47
18,,,,,,,42,0,42
19,,,,,,,48,0,48
20,,,,,,,37,0,37
21,,,,,,,41,0,41
22,,,,,,,43,0,43
23,,,,,,,44,6,38
24,,,,,,,47,10,37
25,,,,,,,56,8,48
26,,,,,,,47,11,36
27,,,,,,,60,9,51
28,,,,,,,42,7,35
29,,,,,,,42,8,34
30,,,,,,,48,5,43
31,,,,,,,41,1,40
32,,,,,,,48,0,48
33,,,,,,,48,0,48
34,,,,,,,44,1,43
35,,,,,,,46,0,46
36,,,,,,,31,0,31
37,,,,,,,38,0,38
38,,,,,,,49,0,49
39,,,,,,,37,0,37
40,,,,,,,44,0,44
41,,,,,,,35,0,35
42,,,,,,,46,0,46
43,,,,,,,49,0,49
44,,,,,,,43,0,43
45,,,,,,,35,0,35
46,,,,,,,41,0,41
47,,,,,,,50,0,50
48,,,,,,,42,0,42
49,,,,,,,41,0,41
50,,,,,,,43,0,43
51,,,,,,,41,0,41
52,,,,,,,46,0,46
53,,,,,,,41,0,41
54,,,,,,,48,0,48
55,,,,,,,45,0,45
56,,,,,,,51,0,51
57,,,,,,,43,0,43
58,,,,,,,45,0,45
59,,,,,,,41,0,41
60,,,,,,,33,0,33
61,,,,,,,44,0,44
62,,,,,,,40,0,40
63,,,,,,,32,0,32
64,,,,,,,38,0,38
65,,,,,,,45,0,45
66,,,,,,,54,10,44
67,,,,,,,53,10,43
68,,,,,,,49,5,44
69,,,,,,,31,0,31
70,,,,,,,48,0,48
71,,,,,,,50,0,50
72,,,,,,,47,0,47
73,,,,,,,43,0,43
74,,,,,,,41,0,41
75,,,,,,,44,2,42
76,,,,,,,41,0,41
77,,,,,,,43,0,43
78,,,,,,,49,0,49
79,,,,,,,39,0,39
80,,,,,,,54,0,54
81,,,,,,,43,0,43
82,,,,,,,51,0,51
83,,,,,,,36,2,34
84,,,,,,,45,0,45
85,,,,,,,51,0,51
86,,,,,,,30,1,29
87,,,,,,,58,0,58
88,,,,,,,57,0,57
89,,,,,,,59,2,57
90,,,,,,,41,0,41
91,,,,,,,35,0,35
92,,,,,,,43,0,43
93,,,,,,,39,0,39
94,,,,,,,40,0,40
95,,,,,,,44,3,41
96,,,,,,,51,3,48
97,,,,,,,36,0,36
98,,,,,,,33,0,33
99,,,,,,,56,5,51
100,,,,,,,53,5,48
101,,,,,,,36,0,36
102,,,,,,,35,0,35
103,,,,,,,43,0,43
104,,,,,,,47,0,47
105,,,,,,,52,0,52
106,,,,,,,41,2,39
107,,,,,,,51,0,51
108,,,,,,,44,0,44
109,,,,,,,49,0,49
110,,,,,,,54,0,54
111,,,,,,,40,0,40
112,,,,,,,46,0,46
113,,,,,,,43,0,43
114,,,,,,,46,0,46
115,,,,,,,37,0,37
116,,,,,,,46,0,46
117,,,,,,,35,0,35
118,,,,,,,48,0,48
119,,,,,,,48,0,48
120,,,,,,,48,0,48
121,,,,,,,40,0,40
122,,,,,,,42,0,42
123,,,,,,,42,0,42
124,,,,,,,28,0,28
125,,,,,,,43,0,43
126,,,,,,,54,0,54
127,,,,,,,59,9,50
128,,,,,,,59,11,48
129,,,,,,,50,6,44
130,,,,,,,31,1,30
131,,,,,,,43,0,43
