,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,1.0,1.0,3.0,0.02,False,136,90,46
1,,,,,,,1089,1058,31
2,,,,,,,1135,1132,3
3,,,,,,,138,136,2
4,,,,,,,85,56,29
5,,,,,,,735,698,37
6,,,,,,,1298,1285,13
7,,,,,,,367,365,2
8,,,,,,,84,71,13
9,,,,,,,502,478,24
10,,,,,,,1145,1133,12
11,,,,,,,669,664,5
12,,,,,,,184,170,14
13,,,,,,,453,438,15
14,,,,,,,888,875,13
15,,,,,,,770,762,8
16,,,,,,,303,291,12
17,,,,,,,267,236,31
18,,,,,,,912,887,25
19,,,,,,,878,871,7
20,,,,,,,353,345,8
21,,,,,,,227,201,26
22,,,,,,,694,658,36
23,,,,,,,1057,1051,6
24,,,,,,,467,462,5
25,,,,,,,242,231,11
26,,,,,,,536,519,17
27,,,,,,,871,853,18
28,,,,,,,710,702,8
29,,,,,,,363,347,16
30,,,,,,,499,480,19
31,,,,,,,841,816,25
32,,,,,,,814,802,12
33,,,,,,,353,347,6
34,,,,,,,295,279,16
35,,,,,,,679,651,28
36,,,,,,,865,850,15
37,,,,,,,607,596,11
38,,,,,,,328,318,10
39,,,,,,,589,574,15
40,,,,,,,789,774,15
41,,,,,,,640,635,5
42,,,,,,,336,320,16
43,,,,,,,459,431,28
44,,,,,,,781,761,20
45,,,,,,,754,744,10
46,,,,,,,482,474,8
47,,,,,,,341,319,22
48,,,,,,,730,713,17
49,,,,,,,710,696,14
50,,,,,,,633,622,11
51,,,,,,,398,382,16
52,,,,,,,543,528,15
53,,,,,,,690,675,15
54,,,,,,,599,583,16
55,,,,,,,557,549,8
56,,,,,,,401,382,19
57,,,,,,,671,656,15
58,,,,,,,658,644,14
59,,,,,,,599,583,16
60,,,,,,,478,464,14
61,,,,,,,577,554,23
62,,,,,,,731,720,11
63,,,,,,,548,537,11
64,,,,,,,406,383,23
65,,,,,,,610,587,23
66,,,,,,,790,779,11
67,,,,,,,584,575,9
68,,,,,,,453,444,9
69,,,,,,,447,431,16
70,,,,,,,668,650,18
71,,,,,,,725,710,15
72,,,,,,,590,581,9
73,,,,,,,467,459,8
74,,,,,,,505,481,24
75,,,,,,,747,731,16
76,,,,,,,668,658,10
77,,,,,,,622,617,5
78,,,,,,,533,517,16
79,,,,,,,646,630,16
80,,,,,,,756,740,16
81,,,,,,,683,673,10
82,,,,,,,542,534,8
83,,,,,,,409,385,24
84,,,,,,,573,550,23
85,,,,,,,835,812,23
86,,,,,,,765,760,5
87,,,,,,,402,393,9
88,,,,,,,293,272,21
89,,,,,,,642,618,24
90,,,,,,,873,863,10
91,,,,,,,611,608,3
92,,,,,,,298,283,15
93,,,,,,,487,462,25
94,,,,,,,886,858,28
95,,,,,,,827,824,3
96,,,,,,,325,311,14
97,,,,,,,374,355,19
98,,,,,,,730,710,20
99,,,,,,,894,884,10
100,,,,,,,508,507,1
101,,,,,,,167,156,11
102,,,,,,,373,346,27
103,,,,,,,888,867,21
104,,,,,,,814,806,8
105,,,,,,,400,392,8
106,,,,,,,273,252,21
107,,,,,,,647,626,21
108,,,,,,,925,910,15
109,,,,,,,563,555,8
110,,,,,,,264,252,12
111,,,,,,,437,412,25
112,,,,,,,931,910,21
113,,,,,,,782,773,9
114,,,,,,,319,312,7
115,,,,,,,306,286,20
116,,,,,,,743,726,17
117,,,,,,,805,790,15
118,,,,,,,513,501,12
119,,,,,,,303,280,23
120,,,,,,,606,589,17
121,,,,,,,872,855,17
122,,,,,,,593,585,8
123,,,,,,,299,276,23
124,,,,,,,627,612,15
125,,,,,,,890,876,14
126,,,,,,,619,616,3
127,,,,,,,270,261,9
128,,,,,,,399,372,27
129,,,,,,,869,845,24
130,,,,,,,820,807,13
131,,,,,,,411,402,9
132,,,,,,,359,340,19
133,,,,,,,669,643,26
134,,,,,,,736,718,18
135,,,,,,,605,593,12
136,,,,,,,493,478,15
137,,,,,,,674,665,9
138,,,,,,,626,611,15
139,,,,,,,543,533,10
140,,,,,,,422,408,14
141,,,,,,,559,543,16
142,,,,,,,780,768,12
143,,,,,,,512,503,9
144,,,,,,,391,376,15
145,,,,,,,493,463,30
146,,,,,,,851,835,16
147,,,,,,,651,639,12
148,,,,,,,476,466,10
149,,,,,,,428,416,12
150,,,,,,,489,463,26
151,,,,,,,915,894,21
152,,,,,,,645,637,8
153,,,,,,,358,346,12
154,,,,,,,446,426,20
155,,,,,,,779,754,25
156,,,,,,,872,868,4
157,,,,,,,342,329,13
158,,,,,,,416,394,22
159,,,,,,,769,755,14
160,,,,,,,871,862,9
161,,,,,,,407,396,11
162,,,,,,,379,368,11
163,,,,,,,641,615,26
164,,,,,,,837,824,13
165,,,,,,,608,599,9
166,,,,,,,442,422,20
167,,,,,,,598,586,12
168,,,,,,,682,664,18
169,,,,,,,670,655,15
170,,,,,,,482,470,12
171,,,,,,,505,487,18
172,,,,,,,638,618,20
173,,,,,,,726,714,12
174,,,,,,,509,499,10
175,,,,,,,454,435,19
176,,,,,,,586,562,24
177,,,,,,,787,769,18
178,,,,,,,604,591,13
179,,,,,,,462,458,4
180,,,,,,,390,365,25
181,,,,,,,660,637,23
182,,,,,,,824,812,12
183,,,,,,,510,499,11
184,,,,,,,415,395,20
185,,,,,,,610,584,26
186,,,,,,,864,852,12
187,,,,,,,604,593,11
188,,,,,,,393,381,12
189,,,,,,,528,505,23
