,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,7.0,6.0,3.0,0.015,True,33,0,33
1,,,,,,,41,0,41
2,,,,,,,33,0,33
3,,,,,,,36,0,36
4,,,,,,,33,0,33
5,,,,,,,29,0,29
6,,,,,,,38,0,38
7,,,,,,,25,0,25
8,,,,,,,41,0,41
9,,,,,,,38,0,38
10,,,,,,,30,0,30
11,,,,,,,28,0,28
12,,,,,,,33,0,33
13,,,,,,,34,0,34
14,,,,,,,26,0,26
15,,,,,,,34,0,34
16,,,,,,,32,0,32
17,,,,,,,33,0,33
18,,,,,,,26,0,26
19,,,,,,,36,0,36
20,,,,,,,36,0,36
21,,,,,,,27,0,27
22,,,,,,,29,0,29
23,,,,,,,30,0,30
24,,,,,,,44,0,44
25,,,,,,,38,0,38
26,,,,,,,29,0,29
27,,,,,,,38,0,38
28,,,,,,,33,0,33
29,,,,,,,30,0,30
30,,,,,,,48,0,48
31,,,,,,,33,0,33
32,,,,,,,36,0,36
33,,,,,,,41,0,41
34,,,,,,,29,0,29
35,,,,,,,26,0,26
36,,,,,,,44,0,44
37,,,,,,,32,0,32
38,,,,,,,37,0,37
39,,,,,,,38,0,38
40,,,,,,,28,0,28
41,,,,,,,27,0,27
42,,,,,,,30,0,30
43,,,,,,,40,0,40
44,,,,,,,42,0,42
45,,,,,,,36,0,36
46,,,,,,,24,0,24
47,,,,,,,29,0,29
48,,,,,,,28,0,28
49,,,,,,,31,0,31
50,,,,,,,28,0,28
51,,,,,,,27,0,27
52,,,,,,,50,0,50
53,,,,,,,36,0,36
54,,,,,,,52,0,52
55,,,,,,,34,0,34
56,,,,,,,33,0,33
57,,,,,,,36,0,36
58,,,,,,,38,0,38
59,,,,,,,42,0,42
60,,,,,,,26,0,26
61,,,,,,,33,0,33
62,,,,,,,37,0,37
63,,,,,,,30,0,30
64,,,,,,,29,0,29
65,,,,,,,34,0,34
66,,,,,,,33,0,33
67,,,,,,,34,0,34
68,,,,,,,35,0,35
69,,,,,,,40,0,40
70,,,,,,,21,0,21
71,,,,,,,36,0,36
72,,,,,,,42,0,42
73,,,,,,,37,0,37
74,,,,,,,46,0,46
75,,,,,,,32,0,32
76,,,,,,,33,0,33
77,,,,,,,37,0,37
78,,,,,,,42,0,42
79,,,,,,,33,0,33
80,,,,,,,32,0,32
81,,,,,,,29,0,29
82,,,,,,,32,0,32
83,,,,,,,31,0,31
84,,,,,,,37,0,37
85,,,,,,,32,0,32
86,,,,,,,39,0,39
87,,,,,,,39,0,39
88,,,,,,,30,0,30
89,,,,,,,35,0,35
90,,,,,,,33,0,33
91,,,,,,,38,0,38
92,,,,,,,38,0,38
93,,,,,,,33,0,33
94,,,,,,,35,0,35
95,,,,,,,33,0,33
96,,,,,,,29,0,29
97,,,,,,,29,0,29
98,,,,,,,44,0,44
99,,,,,,,28,0,28
100,,,,,,,33,0,33
101,,,,,,,36,0,36
102,,,,,,,35,0,35
103,,,,,,,26,0,26
104,,,,,,,30,0,30
105,,,,,,,33,0,33
106,,,,,,,26,0,26
107,,,,,,,27,0,27
108,,,,,,,27,0,27
109,,,,,,,27,0,27
110,,,,,,,41,0,41
111,,,,,,,42,0,42
112,,,,,,,37,0,37
113,,,,,,,37,0,37
114,,,,,,,40,0,40
115,,,,,,,27,0,27
116,,,,,,,31,0,31
117,,,,,,,41,0,41
118,,,,,,,34,0,34
119,,,,,,,40,0,40
120,,,,,,,35,0,35
121,,,,,,,39,0,39
122,,,,,,,28,0,28
123,,,,,,,27,0,27
124,,,,,,,30,0,30
125,,,,,,,37,0,37
126,,,,,,,27,0,27
127,,,,,,,29,0,29
128,,,,,,,35,0,35
129,,,,,,,36,0,36
130,,,,,,,37,0,37
131,,,,,,,39,0,39
132,,,,,,,33,0,33
133,,,,,,,39,0,39
134,,,,,,,30,0,30
135,,,,,,,37,0,37
136,,,,,,,28,0,28
137,,,,,,,32,0,32
138,,,,,,,30,0,30
139,,,,,,,35,0,35
140,,,,,,,24,0,24
141,,,,,,,31,0,31
142,,,,,,,31,0,31
143,,,,,,,29,0,29
144,,,,,,,36,0,36
145,,,,,,,27,0,27
146,,,,,,,34,0,34
147,,,,,,,36,0,36
148,,,,,,,26,0,26
149,,,,,,,34,0,34
150,,,,,,,31,0,31
151,,,,,,,35,0,35
152,,,,,,,38,0,38
153,,,,,,,34,0,34
154,,,,,,,34,0,34
155,,,,,,,38,0,38
156,,,,,,,28,0,28
157,,,,,,,31,0,31
158,,,,,,,31,0,31
159,,,,,,,31,0,31
160,,,,,,,46,0,46
161,,,,,,,33,0,33
162,,,,,,,32,0,32
163,,,,,,,29,0,29
164,,,,,,,26,0,26
165,,,,,,,36,0,36
166,,,,,,,35,0,35
167,,,,,,,38,0,38
168,,,,,,,35,0,35
169,,,,,,,37,0,37
170,,,,,,,44,0,44
171,,,,,,,35,0,35
172,,,,,,,28,0,28
173,,,,,,,25,0,25
174,,,,,,,34,0,34
175,,,,,,,29,0,29
176,,,,,,,30,0,30
177,,,,,,,31,0,31
178,,,,,,,34,0,34
179,,,,,,,38,0,38
180,,,,,,,32,0,32
181,,,,,,,37,0,37
182,,,,,,,34,0,34
183,,,,,,,30,0,30
184,,,,,,,37,0,37
185,,,,,,,44,0,44
186,,,,,,,31,0,31
187,,,,,,,34,0,34
188,,,,,,,35,0,35
189,,,,,,,29,0,29
190,,,,,,,39,0,39
191,,,,,,,36,0,36
192,,,,,,,37,0,37
193,,,,,,,30,0,30
194,,,,,,,35,0,35
195,,,,,,,26,0,26
196,,,,,,,35,0,35
197,,,,,,,29,0,29
198,,,,,,,44,0,44
199,,,,,,,30,0,30
200,,,,,,,34,0,34
201,,,,,,,27,0,27
202,,,,,,,34,0,34
203,,,,,,,36,0,36
204,,,,,,,32,0,32
205,,,,,,,29,0,29
206,,,,,,,41,0,41
207,,,,,,,37,0,37
208,,,,,,,27,0,27
209,,,,,,,34,0,34
210,,,,,,,40,0,40
211,,,,,,,46,0,46
212,,,,,,,39,0,39
213,,,,,,,37,0,37
214,,,,,,,28,0,28
215,,,,,,,32,0,32
216,,,,,,,34,0,34
217,,,,,,,35,0,35
218,,,,,,,41,0,41
219,,,,,,,32,0,32
220,,,,,,,39,0,39
221,,,,,,,33,0,33
222,,,,,,,34,0,34
223,,,,,,,33,0,33
224,,,,,,,36,0,36
225,,,,,,,36,0,36
226,,,,,,,23,0,23
227,,,,,,,31,0,31
228,,,,,,,36,0,36
229,,,,,,,34,0,34
230,,,,,,,36,0,36
231,,,,,,,40,0,40
232,,,,,,,33,0,33
233,,,,,,,27,0,27
234,,,,,,,34,0,34
235,,,,,,,25,0,25
236,,,,,,,41,0,41
237,,,,,,,38,0,38
238,,,,,,,41,0,41
239,,,,,,,37,0,37
240,,,,,,,41,0,41
241,,,,,,,34,0,34
242,,,,,,,30,0,30
243,,,,,,,34,0,34
244,,,,,,,43,0,43
245,,,,,,,36,0,36
246,,,,,,,36,0,36
247,,,,,,,28,0,28
248,,,,,,,34,0,34
249,,,,,,,29,0,29
250,,,,,,,29,0,29
251,,,,,,,33,0,33
252,,,,,,,31,0,31
253,,,,,,,34,0,34
254,,,,,,,35,0,35
255,,,,,,,35,0,35
256,,,,,,,33,0,33
257,,,,,,,45,0,45
258,,,,,,,37,0,37
259,,,,,,,28,0,28
260,,,,,,,30,0,30
261,,,,,,,35,0,35
262,,,,,,,31,0,31
263,,,,,,,38,0,38
264,,,,,,,32,0,32
265,,,,,,,28,0,28
266,,,,,,,39,0,39
267,,,,,,,30,0,30
268,,,,,,,33,0,33
269,,,,,,,36,0,36
270,,,,,,,34,0,34
271,,,,,,,34,0,34
272,,,,,,,31,0,31
273,,,,,,,36,0,36
274,,,,,,,43,0,43
275,,,,,,,35,0,35
276,,,,,,,37,0,37
277,,,,,,,32,0,32
278,,,,,,,29,0,29
279,,,,,,,34,0,34
280,,,,,,,32,0,32
281,,,,,,,25,0,25
282,,,,,,,37,0,37
283,,,,,,,46,0,46
284,,,,,,,44,0,44
285,,,,,,,48,0,48
286,,,,,,,36,0,36
287,,,,,,,29,0,29
288,,,,,,,41,0,41
289,,,,,,,33,0,33
290,,,,,,,29,0,29
291,,,,,,,43,0,43
292,,,,,,,37,0,37
293,,,,,,,41,0,41
294,,,,,,,28,0,28
295,,,,,,,26,0,26
296,,,,,,,32,0,32
297,,,,,,,35,0,35
298,,,,,,,36,0,36
299,,,,,,,46,0,46
300,,,,,,,24,0,24
301,,,,,,,31,0,31
302,,,,,,,33,0,33
303,,,,,,,34,0,34
304,,,,,,,44,0,44
305,,,,,,,31,0,31
306,,,,,,,41,0,41
307,,,,,,,37,0,37
308,,,,,,,32,0,32
309,,,,,,,21,0,21
310,,,,,,,33,0,33
311,,,,,,,32,0,32
312,,,,,,,35,0,35
313,,,,,,,31,0,31
314,,,,,,,37,0,37
315,,,,,,,30,0,30
316,,,,,,,36,0,36
317,,,,,,,44,0,44
318,,,,,,,36,0,36
319,,,,,,,30,0,30
320,,,,,,,28,0,28
321,,,,,,,23,0,23
322,,,,,,,35,0,35
323,,,,,,,28,0,28
324,,,,,,,26,0,26
325,,,,,,,40,0,40
326,,,,,,,37,0,37
327,,,,,,,39,0,39
328,,,,,,,27,0,27
329,,,,,,,30,0,30
330,,,,,,,31,0,31
331,,,,,,,32,0,32
332,,,,,,,28,0,28
333,,,,,,,36,0,36
334,,,,,,,30,0,30
335,,,,,,,33,0,33
336,,,,,,,40,0,40
337,,,,,,,39,0,39
338,,,,,,,35,0,35
339,,,,,,,41,0,41
340,,,,,,,30,0,30
341,,,,,,,32,0,32
342,,,,,,,36,0,36
343,,,,,,,26,0,26
344,,,,,,,36,0,36
345,,,,,,,30,0,30
346,,,,,,,29,0,29
347,,,,,,,29,0,29
348,,,,,,,40,0,40
349,,,,,,,25,0,25
350,,,,,,,38,0,38
351,,,,,,,24,0,24
352,,,,,,,25,0,25
353,,,,,,,34,0,34
354,,,,,,,29,0,29
355,,,,,,,30,0,30
356,,,,,,,42,0,42
357,,,,,,,31,0,31
358,,,,,,,35,0,35
359,,,,,,,31,0,31
360,,,,,,,36,0,36
361,,,,,,,26,0,26
362,,,,,,,31,0,31
363,,,,,,,36,0,36
364,,,,,,,24,0,24
365,,,,,,,29,0,29
366,,,,,,,34,0,34
367,,,,,,,45,0,45
368,,,,,,,28,0,28
369,,,,,,,35,0,35
370,,,,,,,33,0,33
371,,,,,,,36,0,36
372,,,,,,,32,0,32
373,,,,,,,37,0,37
374,,,,,,,37,0,37
375,,,,,,,34,0,34
376,,,,,,,38,0,38
377,,,,,,,36,0,36
378,,,,,,,39,0,39
379,,,,,,,31,0,31
