,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
0,2500.0,2.0,3.0,4.0,0.02,True,40,0,40
1,,,,,,,219,178,41
2,,,,,,,1577,1564,13
3,,,,,,,664,664,0
4,,,,,,,0,0,0
5,,,,,,,0,0,0
6,,,,,,,1,0,1
7,,,,,,,3,0,3
8,,,,,,,32,1,31
9,,,,,,,184,126,58
10,,,,,,,1399,1381,18
11,,,,,,,881,881,0
12,,,,,,,1,1,0
13,,,,,,,0,0,0
14,,,,,,,1,0,1
15,,,,,,,5,0,5
16,,,,,,,41,3,38
17,,,,,,,241,193,48
18,,,,,,,1681,1672,9
19,,,,,,,531,531,0
20,,,,,,,1,1,0
21,,,,,,,1,0,1
22,,,,,,,2,0,2
23,,,,,,,5,0,5
24,,,,,,,52,3,49
25,,,,,,,350,297,53
26,,,,,,,1877,1873,4
27,,,,,,,214,214,0
28,,,,,,,1,1,0
29,,,,,,,0,0,0
30,,,,,,,1,0,1
31,,,,,,,6,0,6
32,,,,,,,45,6,39
33,,,,,,,260,221,39
34,,,,,,,1733,1723,10
35,,,,,,,455,455,0
36,,,,,,,1,1,0
37,,,,,,,0,0,0
38,,,,,,,1,0,1
39,,,,,,,4,0,4
40,,,,,,,43,1,42
41,,,,,,,264,219,45
42,,,,,,,1742,1739,3
43,,,,,,,446,446,0
44,,,,,,,1,1,0
45,,,,,,,1,0,1
46,,,,,,,0,0,0
47,,,,,,,4,0,4
48,,,,,,,37,1,36
49,,,,,,,222,177,45
50,,,,,,,1601,1588,13
51,,,,,,,636,636,0
52,,,,,,,0,0,0
53,,,,,,,1,0,1
54,,,,,,,2,0,2
55,,,,,,,7,0,7
56,,,,,,,37,4,33
57,,,,,,,203,153,50
58,,,,,,,1492,1475,17
59,,,,,,,759,759,0
60,,,,,,,2,2,0
61,,,,,,,0,0,0
62,,,,,,,2,0,2
63,,,,,,,4,0,4
64,,,,,,,40,2,38
65,,,,,,,239,194,45
66,,,,,,,1690,1684,6
67,,,,,,,525,525,0
68,,,,,,,2,2,0
69,,,,,,,0,0,0
70,,,,,,,0,0,0
71,,,,,,,5,0,5
72,,,,,,,50,1,49
73,,,,,,,297,260,37
74,,,,,,,1826,1817,9
75,,,,,,,322,322,0
76,,,,,,,0,0,0
77,,,,,,,1,0,1
78,,,,,,,0,0,0
79,,,,,,,7,0,7
80,,,,,,,52,7,45
81,,,,,,,315,271,44
82,,,,,,,1876,1871,5
83,,,,,,,250,250,0
84,,,,,,,0,0,0
85,,,,,,,0,0,0
86,,,,,,,0,0,0
87,,,,,,,5,0,5
88,,,,,,,37,2,35
89,,,,,,,206,154,52
90,,,,,,,1528,1511,17
91,,,,,,,724,724,0
92,,,,,,,0,0,0
93,,,,,,,0,0,0
94,,,,,,,1,0,1
95,,,,,,,4,0,4
96,,,,,,,31,2,29
97,,,,,,,159,109,50
98,,,,,,,1253,1222,31
99,,,,,,,1052,1052,0
100,,,,,,,1,1,0
101,,,,,,,0,0,0
102,,,,,,,0,0,0
103,,,,,,,2,0,2
104,,,,,,,33,0,33
105,,,,,,,179,130,49
106,,,,,,,1388,1374,14
107,,,,,,,898,898,0
108,,,,,,,0,0,0
109,,,,,,,0,0,0
110,,,,,,,1,0,1
111,,,,,,,10,0,10
112,,,,,,,47,12,35
113,,,,,,,274,239,35
114,,,,,,,1784,1775,9
115,,,,,,,384,384,0
116,,,,,,,1,1,0
117,,,,,,,0,0,0
118,,,,,,,0,0,0
119,,,,,,,9,0,9
120,,,,,,,44,12,32
121,,,,,,,258,215,43
122,,,,,,,1721,1714,7
123,,,,,,,468,468,0
124,,,,,,,0,0,0
125,,,,,,,0,0,0
126,,,,,,,0,0,0
127,,,,,,,7,0,7
128,,,,,,,44,5,39
129,,,,,,,247,206,41
130,,,,,,,1707,1696,11
131,,,,,,,495,495,0
132,,,,,,,0,0,0
133,,,,,,,0,0,0
134,,,,,,,1,0,1
135,,,,,,,4,0,4
136,,,,,,,37,4,33
137,,,,,,,214,164,50
138,,,,,,,1569,1556,13
139,,,,,,,675,675,0
140,,,,,,,1,1,0
141,,,,,,,0,0,0
142,,,,,,,1,0,1
143,,,,,,,8,0,8
144,,,,,,,43,6,37
145,,,,,,,249,208,41
146,,,,,,,1699,1689,10
147,,,,,,,500,500,0
148,,,,,,,1,1,0
149,,,,,,,1,0,1
150,,,,,,,1,0,1
151,,,,,,,3,0,3
152,,,,,,,44,2,42
153,,,,,,,270,224,46
154,,,,,,,1756,1752,4
155,,,,,,,426,426,0
156,,,,,,,1,1,0
157,,,,,,,0,0,0
158,,,,,,,1,0,1
159,,,,,,,2,0,2
160,,,,,,,48,0,48
161,,,,,,,288,244,44
162,,,,,,,1814,1809,5
163,,,,,,,347,347,0
164,,,,,,,1,1,0
165,,,,,,,0,0,0
166,,,,,,,0,0,0
167,,,,,,,6,0,6
168,,,,,,,53,1,52
169,,,,,,,321,276,45
170,,,,,,,1868,1861,7
171,,,,,,,252,252,0
172,,,,,,,0,0,0
173,,,,,,,0,0,0
174,,,,,,,1,0,1
175,,,,,,,9,0,9
176,,,,,,,57,15,42
177,,,,,,,374,328,46
178,,,,,,,1919,1917,2
179,,,,,,,140,140,0
180,,,,,,,1,1,0
181,,,,,,,0,0,0
182,,,,,,,1,0,1
183,,,,,,,9,0,9
184,,,,,,,50,13,37
185,,,,,,,329,283,46
186,,,,,,,1867,1861,6
187,,,,,,,244,244,0
188,,,,,,,0,0,0
189,,,,,,,0,0,0
190,,,,,,,0,0,0
191,,,,,,,7,0,7
192,,,,,,,51,6,45
193,,,,,,,304,268,36
194,,,,,,,1838,1834,4
195,,,,,,,300,300,0
196,,,,,,,0,0,0
197,,,,,,,0,0,0
198,,,,,,,2,0,2
199,,,,,,,8,0,8
200,,,,,,,56,7,49
201,,,,,,,369,328,41
202,,,,,,,1898,1895,3
203,,,,,,,167,167,0
204,,,,,,,1,1,0
205,,,,,,,0,0,0
206,,,,,,,2,0,2
207,,,,,,,9,0,9
208,,,,,,,53,12,41
209,,,,,,,332,290,42
210,,,,,,,1880,1877,3
211,,,,,,,224,224,0
212,,,,,,,2,2,0
213,,,,,,,0,0,0
214,,,,,,,1,0,1
215,,,,,,,6,0,6
216,,,,,,,59,7,52
217,,,,,,,387,341,46
218,,,,,,,1911,1905,6
219,,,,,,,136,136,0
220,,,,,,,1,1,0
221,,,,,,,0,0,0
222,,,,,,,0,0,0
223,,,,,,,5,0,5
224,,,,,,,51,3,48
225,,,,,,,295,248,47
226,,,,,,,1813,1806,7
227,,,,,,,336,336,0
228,,,,,,,0,0,0
229,,,,,,,1,0,1
230,,,,,,,0,0,0
231,,,,,,,4,0,4
232,,,,,,,47,0,47
233,,,,,,,278,236,42
234,,,,,,,1799,1787,12
235,,,,,,,372,372,0
236,,,,,,,0,0,0
237,,,,,,,0,0,0
238,,,,,,,0,0,0
239,,,,,,,6,0,6
240,,,,,,,50,6,44
241,,,,,,,309,266,43
242,,,,,,,1840,1836,4
243,,,,,,,295,295,0
244,,,,,,,0,0,0
245,,,,,,,0,0,0
246,,,,,,,0,0,0
247,,,,,,,8,0,8
248,,,,,,,57,11,46
249,,,,,,,389,346,43
250,,,,,,,1925,1922,3
251,,,,,,,121,121,0
252,,,,,,,0,0,0
253,,,,,,,1,0,1
254,,,,,,,2,0,2
255,,,,,,,6,1,5
256,,,,,,,46,4,42
257,,,,,,,284,243,41
258,,,,,,,1803,1795,8
259,,,,,,,359,359,0
260,,,,,,,2,2,0
261,,,,,,,1,1,0
262,,,,,,,0,0,0
263,,,,,,,10,0,10
264,,,,,,,78,10,68
265,,,,,,,546,512,34
266,,,,,,,1843,1843,0
267,,,,,,,23,23,0
268,,,,,,,0,0,0
269,,,,,,,0,0,0
270,,,,,,,2,0,2
271,,,,,,,10,2,8
272,,,,,,,54,14,40
273,,,,,,,345,310,35
274,,,,,,,1877,1876,1
275,,,,,,,212,212,0
276,,,,,,,2,2,0
277,,,,,,,3,2,1
278,,,,,,,0,0,0
279,,,,,,,7,0,7
280,,,,,,,57,10,47
281,,,,,,,379,345,34
282,,,,,,,1901,1899,2
283,,,,,,,156,156,0
284,,,,,,,0,0,0
285,,,,,,,0,0,0
286,,,,,,,2,0,2
287,,,,,,,6,0,6
288,,,,,,,50,7,43
289,,,,,,,292,262,30
290,,,,,,,1825,1815,10
291,,,,,,,325,325,0
292,,,,,,,2,2,0
293,,,,,,,0,0,0
294,,,,,,,2,0,2
295,,,,,,,9,0,9
296,,,,,,,53,15,38
297,,,,,,,324,282,42
298,,,,,,,1869,1867,2
299,,,,,,,243,243,0
300,,,,,,,2,2,0
301,,,,,,,0,0,0
302,,,,,,,1,0,1
303,,,,,,,7,0,7
304,,,,,,,50,2,48
305,,,,,,,323,271,52
306,,,,,,,1891,1889,2
307,,,,,,,228,228,0
308,,,,,,,1,1,0
309,,,,,,,0,0,0
310,,,,,,,2,0,2
311,,,,,,,9,1,8
312,,,,,,,65,12,53
313,,,,,,,449,405,44
314,,,,,,,1906,1906,0
315,,,,,,,69,69,0
316,,,,,,,1,1,0
317,,,,,,,0,0,0
318,,,,,,,3,0,3
319,,,,,,,10,1,9
320,,,,,,,65,13,52
321,,,,,,,415,386,29
322,,,,,,,1897,1892,5
323,,,,,,,110,110,0
324,,,,,,,0,0,0
325,,,,,,,0,0,0
326,,,,,,,2,0,2
327,,,,,,,9,0,9
328,,,,,,,47,9,38
329,,,,,,,274,229,45
330,,,,,,,1783,1781,2
331,,,,,,,385,385,0
332,,,,,,,2,2,0
333,,,,,,,0,0,0
334,,,,,,,2,0,2
335,,,,,,,8,1,7
336,,,,,,,46,7,39
337,,,,,,,266,217,49
338,,,,,,,1741,1731,10
339,,,,,,,437,437,0
340,,,,,,,2,2,0
341,,,,,,,1,1,0
342,,,,,,,2,0,2
343,,,,,,,4,0,4
344,,,,,,,39,1,38
345,,,,,,,208,161,47
346,,,,,,,1521,1511,10
347,,,,,,,726,726,0
348,,,,,,,2,2,0
349,,,,,,,0,0,0
350,,,,,,,0,0,0
351,,,,,,,6,0,6
352,,,,,,,30,5,25
353,,,,,,,142,106,36
354,,,,,,,1124,1100,24
355,,,,,,,1198,1198,0
356,,,,,,,0,0,0
357,,,,,,,0,0,0
358,,,,,,,1,0,1
359,,,,,,,3,0,3
360,,,,,,,23,0,23
361,,,,,,,115,64,51
362,,,,,,,895,854,41
363,,,,,,,1463,1463,0
364,,,,,,,1,1,0
365,,,,,,,0,0,0
366,,,,,,,0,0,0
367,,,,,,,3,0,3
368,,,,,,,15,1,14
369,,,,,,,82,35,47
370,,,,,,,577,549,28
371,,,,,,,1801,1801,0
372,,,,,,,22,22,0
373,,,,,,,0,0,0
374,,,,,,,0,0,0
375,,,,,,,2,0,2
376,,,,,,,10,0,10
377,,,,,,,81,13,68
378,,,,,,,604,579,25
379,,,,,,,1789,1789,0
380,,,,,,,14,14,0
381,,,,,,,0,0,0
382,,,,,,,0,0,0
383,,,,,,,0,0,0
384,,,,,,,20,0,20
385,,,,,,,103,55,48
386,,,,,,,775,746,29
387,,,,,,,1599,1599,0
388,,,,,,,3,3,0
389,,,,,,,0,0,0
390,,,,,,,1,0,1
391,,,,,,,5,0,5
392,,,,,,,20,2,18
393,,,,,,,105,50,55
394,,,,,,,813,796,17
395,,,,,,,1552,1552,0
396,,,,,,,5,5,0
397,,,,,,,0,0,0
398,,,,,,,2,0,2
399,,,,,,,1,0,1
400,,,,,,,24,0,24
401,,,,,,,119,74,45
402,,,,,,,941,904,37
403,,,,,,,1412,1412,0
404,,,,,,,3,3,0
405,,,,,,,0,0,0
406,,,,,,,0,0,0
407,,,,,,,3,0,3
408,,,,,,,14,0,14
409,,,,,,,72,26,46
410,,,,,,,505,460,45
411,,,,,,,1869,1868,1
412,,,,,,,37,37,0
413,,,,,,,0,0,0
414,,,,,,,0,0,0
415,,,,,,,4,0,4
416,,,,,,,8,0,8
417,,,,,,,70,11,59
418,,,,,,,481,446,35
419,,,,,,,1887,1886,1
420,,,,,,,50,50,0
421,,,,,,,0,0,0
422,,,,,,,1,0,1
423,,,,,,,1,0,1
424,,,,,,,11,0,11
425,,,,,,,56,6,50
426,,,,,,,386,325,61
427,,,,,,,1877,1872,5
428,,,,,,,169,169,0
429,,,,,,,0,0,0
430,,,,,,,0,0,0
431,,,,,,,0,0,0
432,,,,,,,8,0,8
433,,,,,,,50,6,44
434,,,,,,,299,262,37
435,,,,,,,1815,1807,8
436,,,,,,,328,328,0
437,,,,,,,0,0,0
438,,,,,,,0,0,0
439,,,,,,,0,0,0
440,,,,,,,8,0,8
441,,,,,,,56,15,41
442,,,,,,,358,328,30
443,,,,,,,1882,1881,1
444,,,,,,,196,196,0
445,,,,,,,0,0,0
446,,,,,,,0,0,0
447,,,,,,,3,0,3
448,,,,,,,15,2,13
449,,,,,,,73,35,38
450,,,,,,,507,472,35
451,,,,,,,1862,1861,1
452,,,,,,,40,40,0
453,,,,,,,0,0,0
454,,,,,,,0,0,0
455,,,,,,,2,0,2
456,,,,,,,15,0,15
457,,,,,,,74,33,41
458,,,,,,,522,486,36
459,,,,,,,1850,1850,0
460,,,,,,,37,37,0
461,,,,,,,0,0,0
462,,,,,,,0,0,0
463,,,,,,,4,0,4
464,,,,,,,18,3,15
465,,,,,,,97,39,58
466,,,,,,,742,716,26
467,,,,,,,1634,1634,0
468,,,,,,,5,5,0
469,,,,,,,0,0,0
470,,,,,,,1,0,1
471,,,,,,,0,0,0
472,,,,,,,10,0,10
473,,,,,,,57,9,48
474,,,,,,,371,331,40
475,,,,,,,1896,1893,3
476,,,,,,,166,166,0
477,,,,,,,0,0,0
478,,,,,,,0,0,0
479,,,,,,,1,0,1
480,,,,,,,10,0,10
481,,,,,,,53,10,43
482,,,,,,,328,288,40
483,,,,,,,1887,1884,3
484,,,,,,,221,221,0
485,,,,,,,1,1,0
486,,,,,,,0,0,0
487,,,,,,,0,0,0
488,,,,,,,9,0,9
489,,,,,,,44,10,34
490,,,,,,,236,190,46
491,,,,,,,1660,1643,17
492,,,,,,,551,551,0
493,,,,,,,0,0,0
494,,,,,,,0,0,0
495,,,,,,,3,0,3
496,,,,,,,5,0,5
497,,,,,,,42,3,39
498,,,,,,,250,207,43
499,,,,,,,1713,1702,11
500,,,,,,,487,487,0
501,,,,,,,3,3,0
502,,,,,,,0,0,0
503,,,,,,,1,0,1
504,,,,,,,8,0,8
505,,,,,,,47,6,41
506,,,,,,,296,252,44
507,,,,,,,1830,1822,8
508,,,,,,,318,318,0
509,,,,,,,1,1,0
510,,,,,,,1,0,1
511,,,,,,,1,0,1
512,,,,,,,8,0,8
513,,,,,,,44,10,34
514,,,,,,,261,217,44
515,,,,,,,1730,1719,11
516,,,,,,,456,456,0
517,,,,,,,1,1,0
518,,,,,,,0,0,0
519,,,,,,,0,0,0
520,,,,,,,8,0,8
521,,,,,,,44,9,35
522,,,,,,,264,215,49
523,,,,,,,1754,1746,8
524,,,,,,,430,430,0
525,,,,,,,0,0,0
526,,,,,,,0,0,0
527,,,,,,,2,0,2
528,,,,,,,4,0,4
529,,,,,,,36,4,32
530,,,,,,,175,138,37
531,,,,,,,1370,1345,25
532,,,,,,,913,913,0
533,,,,,,,2,2,0
534,,,,,,,0,0,0
535,,,,,,,1,0,1
536,,,,,,,10,0,10
537,,,,,,,45,8,37
538,,,,,,,269,225,44
539,,,,,,,1779,1770,9
540,,,,,,,396,396,0
541,,,,,,,1,1,0
542,,,,,,,0,0,0
543,,,,,,,0,0,0
544,,,,,,,6,0,6
545,,,,,,,40,5,35
546,,,,,,,205,172,33
547,,,,,,,1535,1513,22
548,,,,,,,714,714,0
549,,,,,,,0,0,0
550,,,,,,,0,0,0
551,,,,,,,0,0,0
552,,,,,,,4,0,4
553,,,,,,,41,3,38
554,,,,,,,217,174,43
555,,,,,,,1560,1546,14
556,,,,,,,678,678,0
557,,,,,,,0,0,0
558,,,,,,,0,0,0
559,,,,,,,1,0,1
560,,,,,,,5,0,5
561,,,,,,,39,3,36
562,,,,,,,229,179,50
563,,,,,,,1634,1625,9
564,,,,,,,592,592,0
565,,,,,,,1,1,0
566,,,,,,,0,0,0
567,,,,,,,2,0,2
568,,,,,,,11,1,10
569,,,,,,,68,15,53
570,,,,,,,477,429,48
571,,,,,,,1891,1889,2
572,,,,,,,51,51,0
573,,,,,,,0,0,0
574,,,,,,,1,0,1
575,,,,,,,1,0,1
576,,,,,,,10,0,10
577,,,,,,,65,17,48
578,,,,,,,447,393,54
579,,,,,,,1901,1900,1
580,,,,,,,76,76,0
581,,,,,,,0,0,0
582,,,,,,,1,0,1
583,,,,,,,1,0,1
584,,,,,,,10,0,10
585,,,,,,,67,14,53
586,,,,,,,446,407,39
587,,,,,,,1903,1900,3
588,,,,,,,73,73,0
589,,,,,,,0,0,0
590,,,,,,,0,0,0
591,,,,,,,1,0,1
592,,,,,,,8,0,8
593,,,,,,,61,11,50
594,,,,,,,393,348,45
595,,,,,,,1911,1909,2
596,,,,,,,126,126,0
597,,,,,,,0,0,0
598,,,,,,,0,0,0
599,,,,,,,2,0,2
600,,,,,,,7,1,6
601,,,,,,,56,9,47
602,,,,,,,375,333,42
603,,,,,,,1906,1905,1
604,,,,,,,154,154,0
605,,,,,,,0,0,0
606,,,,,,,0,0,0
607,,,,,,,0,0,0
608,,,,,,,10,0,10
609,,,,,,,64,9,55
610,,,,,,,434,393,41
611,,,,,,,1906,1905,1
612,,,,,,,86,86,0
613,,,,,,,0,0,0
614,,,,,,,0,0,0
615,,,,,,,1,0,1
616,,,,,,,9,0,9
617,,,,,,,61,13,48
618,,,,,,,416,368,48
619,,,,,,,1919,1918,1
620,,,,,,,94,94,0
621,,,,,,,0,0,0
622,,,,,,,1,0,1
623,,,,,,,0,0,0
624,,,,,,,13,0,13
625,,,,,,,73,17,56
626,,,,,,,495,451,44
627,,,,,,,1866,1865,1
628,,,,,,,53,53,0
629,,,,,,,0,0,0
630,,,,,,,0,0,0
631,,,,,,,1,0,1
632,,,,,,,13,0,13
633,,,,,,,62,20,42
634,,,,,,,411,369,42
635,,,,,,,1906,1903,3
636,,,,,,,107,107,0
637,,,,,,,0,0,0
638,,,,,,,0,0,0
639,,,,,,,0,0,0
640,,,,,,,11,0,11
641,,,,,,,72,13,59
642,,,,,,,497,463,34
643,,,,,,,1887,1886,1
644,,,,,,,33,33,0
645,,,,,,,0,0,0
646,,,,,,,0,0,0
647,,,,,,,2,0,2
648,,,,,,,15,0,15
649,,,,,,,80,32,48
650,,,,,,,576,537,39
651,,,,,,,1804,1804,0
652,,,,,,,23,23,0
653,,,,,,,0,0,0
654,,,,,,,0,0,0
655,,,,,,,3,0,3
656,,,,,,,10,0,10
657,,,,,,,62,17,45
658,,,,,,,410,374,36
659,,,,,,,1919,1918,1
660,,,,,,,96,96,0
661,,,,,,,1,1,0
662,,,,,,,0,0,0
663,,,,,,,1,0,1
664,,,,,,,7,0,7
665,,,,,,,60,0,60
666,,,,,,,402,350,52
667,,,,,,,1912,1910,2
668,,,,,,,118,118,0
669,,,,,,,1,1,0
670,,,,,,,1,0,1
