,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
0,2500.0,3.0,2.5,5.0,0.015,True,37,0,37
1,,,,,,,48,7,41
2,,,,,,,56,17,39
3,,,,,,,60,29,31
4,,,,,,,59,23,36
5,,,,,,,68,33,35
6,,,,,,,72,40,32
7,,,,,,,72,45,27
8,,,,,,,79,55,24
9,,,,,,,83,55,28
10,,,,,,,84,56,28
11,,,,,,,86,60,26
12,,,,,,,97,68,29
13,,,,,,,135,95,40
14,,,,,,,214,188,26
15,,,,,,,471,454,17
16,,,,,,,1035,1027,8
17,,,,,,,460,460,0
18,,,,,,,79,79,0
19,,,,,,,51,50,1
20,,,,,,,21,17,4
21,,,,,,,4,0,4
22,,,,,,,14,0,14
23,,,,,,,29,1,28
24,,,,,,,39,6,33
25,,,,,,,48,8,40
26,,,,,,,46,17,29
27,,,,,,,53,13,40
28,,,,,,,47,17,30
29,,,,,,,40,14,26
30,,,,,,,48,6,42
31,,,,,,,63,21,42
32,,,,,,,67,33,34
33,,,,,,,65,33,32
34,,,,,,,64,28,36
35,,,,,,,73,32,41
36,,,,,,,70,45,25
37,,,,,,,64,35,29
38,,,,,,,59,31,28
39,,,,,,,62,26,36
40,,,,,,,75,39,36
41,,,,,,,77,50,27
42,,,,,,,91,57,34
43,,,,,,,98,70,28
44,,,,,,,121,95,26
45,,,,,,,195,158,37
46,,,,,,,405,381,24
47,,,,,,,961,949,12
48,,,,,,,617,617,0
49,,,,,,,101,101,0
50,,,,,,,64,64,0
51,,,,,,,42,42,0
52,,,,,,,22,14,8
53,,,,,,,9,3,6
54,,,,,,,23,0,23
55,,,,,,,31,2,29
56,,,,,,,43,3,40
57,,,,,,,40,9,31
58,,,,,,,42,12,30
59,,,,,,,43,7,36
60,,,,,,,46,15,31
61,,,,,,,56,17,39
62,,,,,,,48,23,25
63,,,,,,,52,17,35
64,,,,,,,39,15,24
