,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
0,2500.0,2.0,3.0,4.0,0.02,False,53,0,53
1,,,,,,,335,293,42
2,,,,,,,863,834,29
3,,,,,,,861,855,6
4,,,,,,,333,332,1
5,,,,,,,49,48,1
6,,,,,,,6,6,0
7,,,,,,,6,0,6
8,,,,,,,33,6,27
9,,,,,,,206,164,42
10,,,,,,,604,559,45
11,,,,,,,870,857,13
12,,,,,,,531,526,5
13,,,,,,,212,212,0
14,,,,,,,36,36,0
15,,,,,,,9,7,2
16,,,,,,,13,0,13
17,,,,,,,90,54,36
18,,,,,,,389,356,33
19,,,,,,,643,615,28
20,,,,,,,626,613,13
21,,,,,,,476,473,3
22,,,,,,,208,206,2
23,,,,,,,54,53,1
24,,,,,,,16,7,9
25,,,,,,,54,27,27
26,,,,,,,247,220,27
27,,,,,,,501,475,26
28,,,,,,,582,561,21
29,,,,,,,600,595,5
30,,,,,,,353,351,2
31,,,,,,,143,142,1
32,,,,,,,24,18,6
33,,,,,,,42,21,21
34,,,,,,,194,170,24
35,,,,,,,400,379,21
36,,,,,,,567,545,22
37,,,,,,,489,479,10
38,,,,,,,408,394,14
39,,,,,,,285,284,1
40,,,,,,,84,79,5
41,,,,,,,31,24,7
42,,,,,,,86,57,29
43,,,,,,,297,266,31
44,,,,,,,555,530,25
45,,,,,,,640,621,19
46,,,,,,,420,409,11
47,,,,,,,285,281,4
48,,,,,,,178,175,3
49,,,,,,,49,45,4
50,,,,,,,55,40,15
51,,,,,,,147,121,26
52,,,,,,,323,303,20
53,,,,,,,374,355,19
54,,,,,,,487,465,22
55,,,,,,,446,436,10
56,,,,,,,402,396,6
57,,,,,,,204,198,6
58,,,,,,,92,81,11
59,,,,,,,115,99,16
60,,,,,,,191,179,12
61,,,,,,,248,220,28
62,,,,,,,439,410,29
63,,,,,,,625,610,15
64,,,,,,,515,509,6
65,,,,,,,221,216,5
66,,,,,,,98,93,5
67,,,,,,,56,51,5
68,,,,,,,118,100,18
69,,,,,,,236,214,22
70,,,,,,,367,346,21
71,,,,,,,492,464,28
72,,,,,,,574,558,16
73,,,,,,,447,444,3
74,,,,,,,172,167,5
75,,,,,,,54,40,14
76,,,,,,,112,101,11
77,,,,,,,212,197,15
78,,,,,,,327,307,20
79,,,,,,,404,382,22
80,,,,,,,427,416,11
81,,,,,,,385,371,14
82,,,,,,,347,338,9
83,,,,,,,177,172,5
84,,,,,,,118,111,7
85,,,,,,,52,32,20
86,,,,,,,166,140,26
87,,,,,,,469,444,25
88,,,,,,,500,481,19
89,,,,,,,432,416,16
90,,,,,,,364,353,11
91,,,,,,,260,253,7
92,,,,,,,197,191,6
93,,,,,,,94,86,8
94,,,,,,,118,100,18
95,,,,,,,272,250,22
96,,,,,,,427,410,17
97,,,,,,,495,480,15
98,,,,,,,435,417,18
99,,,,,,,406,398,8
100,,,,,,,228,218,10
101,,,,,,,114,108,6
102,,,,,,,92,76,16
103,,,,,,,221,197,24
104,,,,,,,406,385,21
105,,,,,,,540,527,13
106,,,,,,,480,465,15
107,,,,,,,274,268,6
108,,,,,,,185,178,7
109,,,,,,,179,169,10
110,,,,,,,192,183,9
111,,,,,,,209,194,15
112,,,,,,,341,319,22
113,,,,,,,535,522,13
114,,,,,,,551,539,12
115,,,,,,,313,304,9
116,,,,,,,180,171,9
117,,,,,,,158,155,3
118,,,,,,,187,176,11
119,,,,,,,182,163,19
120,,,,,,,225,203,22
121,,,,,,,434,411,23
122,,,,,,,500,489,11
123,,,,,,,354,342,12
124,,,,,,,239,226,13
125,,,,,,,224,214,10
126,,,,,,,258,244,14
127,,,,,,,280,268,12
128,,,,,,,230,206,24
129,,,,,,,364,343,21
130,,,,,,,483,469,14
131,,,,,,,432,420,12
132,,,,,,,244,229,15
133,,,,,,,231,221,10
134,,,,,,,223,211,12
135,,,,,,,220,204,16
136,,,,,,,305,290,15
137,,,,,,,336,304,32
138,,,,,,,444,428,16
139,,,,,,,410,399,11
140,,,,,,,257,249,8
141,,,,,,,205,195,10
142,,,,,,,184,173,11
143,,,,,,,211,194,17
144,,,,,,,267,252,15
145,,,,,,,336,321,15
146,,,,,,,387,369,18
147,,,,,,,441,431,10
148,,,,,,,322,312,10
149,,,,,,,292,280,12
150,,,,,,,225,215,10
151,,,,,,,196,181,15
152,,,,,,,241,222,19
153,,,,,,,327,301,26
154,,,,,,,392,379,13
155,,,,,,,392,380,12
156,,,,,,,309,298,11
157,,,,,,,258,247,11
158,,,,,,,279,262,17
159,,,,,,,259,245,14
160,,,,,,,291,277,14
161,,,,,,,274,256,18
162,,,,,,,291,279,12
163,,,,,,,318,302,16
164,,,,,,,333,315,18
165,,,,,,,322,308,14
166,,,,,,,333,317,16
167,,,,,,,243,231,12
168,,,,,,,319,299,20
169,,,,,,,360,353,7
170,,,,,,,264,255,9
171,,,,,,,296,282,14
172,,,,,,,377,369,8
173,,,,,,,255,247,8
174,,,,,,,195,183,12
175,,,,,,,253,239,14
176,,,,,,,296,272,24
177,,,,,,,441,428,13
178,,,,,,,394,378,16
179,,,,,,,315,301,14
180,,,,,,,277,265,12
181,,,,,,,317,309,8
182,,,,,,,242,230,12
183,,,,,,,205,192,13
184,,,,,,,286,267,19
185,,,,,,,386,373,13
186,,,,,,,361,352,9
187,,,,,,,235,221,14
188,,,,,,,276,253,23
189,,,,,,,316,306,10
190,,,,,,,292,283,9
191,,,,,,,264,246,18
192,,,,,,,293,275,18
193,,,,,,,332,316,16
194,,,,,,,342,334,8
195,,,,,,,298,278,20
196,,,,,,,352,338,14
197,,,,,,,343,333,10
198,,,,,,,320,305,15
199,,,,,,,277,268,9
200,,,,,,,329,320,9
201,,,,,,,302,292,10
202,,,,,,,301,291,10
203,,,,,,,310,296,14
204,,,,,,,357,339,18
205,,,,,,,369,362,7
206,,,,,,,298,286,12
207,,,,,,,222,212,10
208,,,,,,,254,237,17
209,,,,,,,352,343,9
210,,,,,,,343,331,12
211,,,,,,,296,281,15
212,,,,,,,327,306,21
213,,,,,,,318,304,14
214,,,,,,,322,313,9
215,,,,,,,257,236,21
216,,,,,,,257,242,15
217,,,,,,,407,394,13
218,,,,,,,357,347,10
219,,,,,,,306,291,15
220,,,,,,,311,295,16
221,,,,,,,287,276,11
222,,,,,,,265,256,9
223,,,,,,,272,254,18
224,,,,,,,283,264,19
225,,,,,,,317,302,15
226,,,,,,,351,335,16
227,,,,,,,408,394,14
228,,,,,,,350,343,7
229,,,,,,,295,291,4
230,,,,,,,239,232,7
231,,,,,,,238,226,12
232,,,,,,,218,209,9
233,,,,,,,214,193,21
234,,,,,,,275,256,19
235,,,,,,,382,369,13
236,,,,,,,437,428,9
237,,,,,,,367,359,8
238,,,,,,,306,289,17
239,,,,,,,288,275,13
240,,,,,,,302,289,13
241,,,,,,,245,236,9
242,,,,,,,182,162,20
243,,,,,,,282,263,19
244,,,,,,,478,464,14
245,,,,,,,434,426,8
246,,,,,,,359,353,6
247,,,,,,,296,286,10
248,,,,,,,266,254,12
249,,,,,,,154,144,10
250,,,,,,,176,157,19
251,,,,,,,286,267,19
252,,,,,,,486,473,13
253,,,,,,,508,492,16
254,,,,,,,323,312,11
255,,,,,,,279,269,10
256,,,,,,,213,202,11
257,,,,,,,172,163,9
258,,,,,,,167,147,20
259,,,,,,,296,270,26
260,,,,,,,511,487,24
261,,,,,,,522,511,11
262,,,,,,,379,371,8
263,,,,,,,272,266,6
264,,,,,,,191,188,3
265,,,,,,,169,162,7
266,,,,,,,114,99,15
267,,,,,,,160,135,25
268,,,,,,,326,311,15
269,,,,,,,404,386,18
270,,,,,,,447,421,26
271,,,,,,,455,444,11
272,,,,,,,369,364,5
273,,,,,,,224,222,2
274,,,,,,,116,103,13
275,,,,,,,135,120,15
276,,,,,,,185,166,19
277,,,,,,,353,333,20
278,,,,,,,496,477,19
279,,,,,,,415,401,14
280,,,,,,,351,338,13
281,,,,,,,324,312,12
282,,,,,,,232,227,5
283,,,,,,,221,208,13
284,,,,,,,234,225,9
285,,,,,,,359,339,20
286,,,,,,,411,395,16
287,,,,,,,433,422,11
288,,,,,,,398,388,10
289,,,,,,,286,277,9
290,,,,,,,147,135,12
291,,,,,,,145,135,10
292,,,,,,,202,181,21
293,,,,,,,358,337,21
294,,,,,,,479,464,15
295,,,,,,,516,500,16
296,,,,,,,422,416,6
297,,,,,,,234,231,3
298,,,,,,,127,119,8
299,,,,,,,85,72,13
300,,,,,,,107,83,24
301,,,,,,,308,286,22
302,,,,,,,512,498,14
303,,,,,,,525,495,30
304,,,,,,,527,521,6
305,,,,,,,313,304,9
306,,,,,,,150,146,4
307,,,,,,,72,62,10
308,,,,,,,80,66,14
309,,,,,,,225,201,24
310,,,,,,,388,357,31
311,,,,,,,602,587,15
312,,,,,,,577,566,11
313,,,,,,,342,337,5
314,,,,,,,173,170,3
315,,,,,,,88,87,1
316,,,,,,,29,17,12
317,,,,,,,72,48,24
318,,,,,,,229,197,32
319,,,,,,,511,477,34
320,,,,,,,785,773,12
321,,,,,,,528,525,3
322,,,,,,,228,226,2
323,,,,,,,92,88,4
324,,,,,,,47,41,6
325,,,,,,,28,12,16
326,,,,,,,134,107,27
327,,,,,,,363,329,34
328,,,,,,,657,627,30
329,,,,,,,697,686,11
330,,,,,,,334,326,8
331,,,,,,,200,196,4
332,,,,,,,94,93,1
333,,,,,,,14,3,11
334,,,,,,,45,23,22
335,,,,,,,190,155,35
336,,,,,,,514,478,36
337,,,,,,,813,790,23
338,,,,,,,516,511,5
339,,,,,,,251,246,5
340,,,,,,,100,99,1
341,,,,,,,45,37,8
342,,,,,,,55,37,18
343,,,,,,,153,120,33
344,,,,,,,451,414,37
345,,,,,,,753,741,12
346,,,,,,,647,643,4
347,,,,,,,261,259,2
348,,,,,,,142,139,3
349,,,,,,,64,59,5
350,,,,,,,19,6,13
351,,,,,,,69,47,22
352,,,,,,,268,224,44
353,,,,,,,629,601,28
354,,,,,,,802,790,12
355,,,,,,,497,492,5
356,,,,,,,186,183,3
357,,,,,,,36,35,1
358,,,,,,,7,0,7
359,,,,,,,18,0,18
360,,,,,,,119,76,43
361,,,,,,,504,478,26
362,,,,,,,836,820,16
363,,,,,,,653,641,12
364,,,,,,,250,249,1
365,,,,,,,90,89,1
366,,,,,,,29,27,2
367,,,,,,,31,18,13
368,,,,,,,130,100,30
369,,,,,,,354,319,35
370,,,,,,,682,662,20
371,,,,,,,743,733,10
372,,,,,,,358,358,0
373,,,,,,,156,154,2
374,,,,,,,64,60,4
375,,,,,,,58,49,9
376,,,,,,,127,106,21
377,,,,,,,280,252,28
378,,,,,,,578,557,21
379,,,,,,,674,655,19
380,,,,,,,526,524,2
381,,,,,,,157,151,6
382,,,,,,,104,101,3
383,,,,,,,97,89,8
384,,,,,,,134,126,8
385,,,,,,,179,156,23
386,,,,,,,270,234,36
387,,,,,,,555,536,19
388,,,,,,,666,651,15
389,,,,,,,461,457,4
390,,,,,,,179,174,5
391,,,,,,,123,116,7
392,,,,,,,138,133,5
393,,,,,,,176,164,12
394,,,,,,,215,193,22
395,,,,,,,317,288,29
396,,,,,,,567,544,23
397,,,,,,,613,604,9
398,,,,,,,300,296,4
399,,,,,,,176,167,9
400,,,,,,,177,171,6
401,,,,,,,179,166,13
402,,,,,,,252,228,24
403,,,,,,,316,292,24
404,,,,,,,428,407,21
405,,,,,,,421,407,14
406,,,,,,,386,377,9
407,,,,,,,233,225,8
408,,,,,,,231,219,12
409,,,,,,,291,275,16
410,,,,,,,298,275,23
411,,,,,,,309,300,9
412,,,,,,,296,279,17
413,,,,,,,329,317,12
414,,,,,,,289,278,11
415,,,,,,,262,241,21
416,,,,,,,257,239,18
417,,,,,,,363,346,17
418,,,,,,,421,415,6
419,,,,,,,293,286,7
420,,,,,,,242,233,9
421,,,,,,,238,222,16
422,,,,,,,268,256,12
423,,,,,,,281,266,15
424,,,,,,,300,274,26
425,,,,,,,398,383,15
426,,,,,,,453,443,10
427,,,,,,,372,363,9
428,,,,,,,282,276,6
429,,,,,,,268,260,8
430,,,,,,,227,211,16
431,,,,,,,210,197,13
432,,,,,,,256,233,23
433,,,,,,,413,399,14
434,,,,,,,468,461,7
435,,,,,,,312,300,12
436,,,,,,,350,344,6
437,,,,,,,293,286,7
438,,,,,,,232,225,7
439,,,,,,,188,172,16
440,,,,,,,204,188,16
441,,,,,,,275,252,23
442,,,,,,,402,381,21
443,,,,,,,503,490,13
444,,,,,,,511,501,10
445,,,,,,,299,296,3
446,,,,,,,214,207,7
447,,,,,,,202,196,6
448,,,,,,,211,202,9
449,,,,,,,211,199,12
450,,,,,,,278,260,18
451,,,,,,,290,264,26
452,,,,,,,393,381,12
453,,,,,,,555,545,10
454,,,,,,,348,342,6
455,,,,,,,188,181,7
456,,,,,,,91,82,9
457,,,,,,,129,110,19
458,,,,,,,283,257,26
459,,,,,,,489,463,26
460,,,,,,,521,504,17
461,,,,,,,469,459,10
462,,,,,,,262,251,11
463,,,,,,,227,221,6
464,,,,,,,126,114,12
465,,,,,,,130,107,23
466,,,,,,,259,235,24
467,,,,,,,391,373,18
468,,,,,,,498,482,16
469,,,,,,,436,422,14
470,,,,,,,377,368,9
471,,,,,,,213,206,7
472,,,,,,,167,156,11
473,,,,,,,143,124,19
474,,,,,,,219,193,26
475,,,,,,,384,361,23
476,,,,,,,533,516,17
477,,,,,,,496,485,11
478,,,,,,,313,311,2
479,,,,,,,159,153,6
480,,,,,,,131,119,12
481,,,,,,,157,141,16
482,,,,,,,198,169,29
483,,,,,,,328,305,23
484,,,,,,,453,441,12
485,,,,,,,447,427,20
486,,,,,,,409,390,19
487,,,,,,,306,294,12
488,,,,,,,216,206,10
489,,,,,,,138,126,12
490,,,,,,,174,154,20
491,,,,,,,266,249,17
492,,,,,,,404,382,22
493,,,,,,,476,463,13
494,,,,,,,423,402,21
495,,,,,,,395,390,5
496,,,,,,,225,218,7
497,,,,,,,131,121,10
498,,,,,,,157,133,24
499,,,,,,,245,227,18
500,,,,,,,365,346,19
501,,,,,,,476,456,20
502,,,,,,,503,485,18
503,,,,,,,372,368,4
504,,,,,,,238,230,8
505,,,,,,,144,140,4
506,,,,,,,161,152,9
507,,,,,,,189,158,31
508,,,,,,,392,371,21
509,,,,,,,542,527,15
510,,,,,,,483,466,17
511,,,,,,,348,343,5
512,,,,,,,205,195,10
513,,,,,,,129,119,10
514,,,,,,,136,129,7
515,,,,,,,194,177,17
516,,,,,,,265,241,24
517,,,,,,,416,400,16
518,,,,,,,459,442,17
519,,,,,,,428,415,13
520,,,,,,,369,364,5
521,,,,,,,258,249,9
522,,,,,,,121,109,12
523,,,,,,,138,124,14
524,,,,,,,263,247,16
525,,,,,,,354,340,14
526,,,,,,,384,372,12
527,,,,,,,304,281,23
528,,,,,,,333,325,8
529,,,,,,,345,336,9
530,,,,,,,236,226,10
531,,,,,,,179,167,12
532,,,,,,,198,179,19
533,,,,,,,276,256,20
534,,,,,,,377,358,19
535,,,,,,,389,376,13
536,,,,,,,353,340,13
537,,,,,,,360,344,16
538,,,,,,,285,274,11
539,,,,,,,251,244,7
540,,,,,,,246,234,12
541,,,,,,,204,193,11
542,,,,,,,307,292,15
543,,,,,,,407,389,18
544,,,,,,,319,301,18
545,,,,,,,371,367,4
546,,,,,,,300,289,11
547,,,,,,,224,210,14
548,,,,,,,191,175,16
549,,,,,,,248,234,14
550,,,,,,,342,325,17
551,,,,,,,427,411,16
552,,,,,,,435,421,14
553,,,,,,,335,328,7
554,,,,,,,233,224,9
555,,,,,,,175,158,17
556,,,,,,,196,181,15
557,,,,,,,329,317,12
558,,,,,,,371,356,15
559,,,,,,,443,425,18
560,,,,,,,417,401,16
561,,,,,,,383,369,14
562,,,,,,,267,260,7
563,,,,,,,170,159,11
564,,,,,,,138,123,15
565,,,,,,,263,246,17
566,,,,,,,381,368,13
567,,,,,,,354,344,10
568,,,,,,,308,293,15
569,,,,,,,363,351,12
570,,,,,,,344,337,7
571,,,,,,,262,250,12
572,,,,,,,176,160,16
573,,,,,,,178,155,23
574,,,,,,,350,335,15
575,,,,,,,427,412,15
576,,,,,,,353,340,13
577,,,,,,,261,251,10
578,,,,,,,213,201,12
579,,,,,,,268,259,9
580,,,,,,,300,279,21
581,,,,,,,277,259,18
582,,,,,,,307,289,18
583,,,,,,,368,356,12
584,,,,,,,372,354,18
585,,,,,,,354,343,11
586,,,,,,,296,278,18
587,,,,,,,335,326,9
588,,,,,,,279,267,12
589,,,,,,,171,158,13
590,,,,,,,248,231,17
591,,,,,,,315,298,17
592,,,,,,,433,420,13
