,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,5.0,4.0,3.0,0.03,False,65,0,65
1,,,,,,,75,0,75
2,,,,,,,82,7,75
3,,,,,,,91,14,77
4,,,,,,,71,10,61
5,,,,,,,73,1,72
6,,,,,,,61,4,57
7,,,,,,,70,0,70
8,,,,,,,58,0,58
9,,,,,,,68,0,68
10,,,,,,,65,4,61
11,,,,,,,83,5,78
12,,,,,,,66,4,62
13,,,,,,,64,4,60
14,,,,,,,69,2,67
15,,,,,,,62,0,62
16,,,,,,,62,0,62
17,,,,,,,58,2,56
18,,,,,,,63,1,62
19,,,,,,,58,1,57
20,,,,,,,68,3,65
21,,,,,,,60,1,59
22,,,,,,,59,0,59
23,,,,,,,75,0,75
24,,,,,,,59,1,58
25,,,,,,,65,0,65
26,,,,,,,64,5,59
27,,,,,,,77,7,70
28,,,,,,,77,7,70
29,,,,,,,63,6,57
30,,,,,,,61,3,58
31,,,,,,,70,1,69
32,,,,,,,66,1,65
33,,,,,,,91,11,80
34,,,,,,,77,14,63
35,,,,,,,97,15,82
36,,,,,,,79,18,61
37,,,,,,,82,24,58
38,,,,,,,88,24,64
39,,,,,,,83,25,58
40,,,,,,,92,26,66
41,,,,,,,95,27,68
42,,,,,,,103,39,64
43,,,,,,,103,40,63
44,,,,,,,96,47,49
45,,,,,,,110,45,65
46,,,,,,,95,48,47
47,,,,,,,117,54,63
48,,,,,,,135,70,65
49,,,,,,,139,75,64
50,,,,,,,117,78,39
51,,,,,,,124,69,55
52,,,,,,,126,69,57
53,,,,,,,123,74,49
54,,,,,,,111,54,57
55,,,,,,,98,52,46
56,,,,,,,89,42,47
57,,,,,,,88,30,58
58,,,,,,,94,23,71
59,,,,,,,88,15,73
60,,,,,,,69,13,56
61,,,,,,,88,10,78
62,,,,,,,80,1,79
63,,,,,,,80,4,76
64,,,,,,,100,7,93
65,,,,,,,91,26,65
66,,,,,,,81,22,59
67,,,,,,,83,21,62
68,,,,,,,91,19,72
69,,,,,,,78,15,63
70,,,,,,,85,19,66
71,,,,,,,80,17,63
72,,,,,,,81,19,62
73,,,,,,,79,16,63
74,,,,,,,68,14,54
75,,,,,,,69,12,57
76,,,,,,,97,18,79
77,,,,,,,86,24,62
78,,,,,,,89,23,66
79,,,,,,,65,13,52
80,,,,,,,94,11,83
81,,,,,,,76,12,64
82,,,,,,,83,13,70
83,,,,,,,84,18,66
84,,,,,,,73,19,54
85,,,,,,,73,15,58
86,,,,,,,74,9,65
87,,,,,,,72,13,59
88,,,,,,,79,17,62
89,,,,,,,70,13,57
90,,,,,,,69,5,64
91,,,,,,,67,10,57
92,,,,,,,59,7,52
93,,,,,,,72,10,62
94,,,,,,,70,4,66
95,,,,,,,66,9,57
96,,,,,,,75,17,58
97,,,,,,,86,14,72
98,,,,,,,83,17,66
99,,,,,,,92,15,77
100,,,,,,,79,17,62
101,,,,,,,89,18,71
102,,,,,,,86,18,68
103,,,,,,,99,24,75
104,,,,,,,88,27,61
105,,,,,,,85,32,53
106,,,,,,,94,36,58
107,,,,,,,96,31,65
108,,,,,,,75,12,63
109,,,,,,,76,9,67
110,,,,,,,71,7,64
111,,,,,,,70,9,61
112,,,,,,,63,7,56
113,,,,,,,73,6,67
114,,,,,,,83,6,77
115,,,,,,,61,0,61
116,,,,,,,52,0,52
117,,,,,,,71,0,71
118,,,,,,,76,6,70
119,,,,,,,86,8,78
120,,,,,,,81,9,72
121,,,,,,,81,13,68
122,,,,,,,68,13,55
123,,,,,,,77,12,65
124,,,,,,,66,13,53
125,,,,,,,78,19,59
126,,,,,,,78,23,55
127,,,,,,,80,20,60
128,,,,,,,89,26,63
129,,,,,,,100,30,70
130,,,,,,,98,35,63
131,,,,,,,94,40,54
132,,,,,,,99,41,58
133,,,,,,,108,48,60
134,,,,,,,119,47,72
135,,,,,,,103,43,60
136,,,,,,,119,49,70
137,,,,,,,111,59,52
138,,,,,,,107,50,57
139,,,,,,,95,50,45
140,,,,,,,96,42,54
141,,,,,,,127,58,69
142,,,,,,,122,63,59
143,,,,,,,109,53,56
144,,,,,,,126,65,61
145,,,,,,,109,73,36
146,,,,,,,76,40,36
147,,,,,,,92,38,54
148,,,,,,,99,40,59
149,,,,,,,106,43,63
150,,,,,,,102,41,61
151,,,,,,,86,35,51
152,,,,,,,81,27,54
153,,,,,,,74,12,62
154,,,,,,,62,7,55
155,,,,,,,72,1,71
156,,,,,,,67,7,60
157,,,,,,,78,8,70
158,,,,,,,61,8,53
159,,,,,,,79,4,75
160,,,,,,,68,2,66
161,,,,,,,64,2,62
162,,,,,,,73,1,72
163,,,,,,,79,7,72
164,,,,,,,61,7,54
165,,,,,,,68,5,63
166,,,,,,,57,2,55
167,,,,,,,67,0,67
168,,,,,,,55,0,55
169,,,,,,,64,0,64
170,,,,,,,70,6,64
171,,,,,,,81,8,73
172,,,,,,,85,9,76
173,,,,,,,67,0,67
174,,,,,,,77,4,73
175,,,,,,,71,9,62
176,,,,,,,81,18,63
177,,,,,,,70,13,57
178,,,,,,,68,19,49
179,,,,,,,66,15,51
180,,,,,,,65,10,55
181,,,,,,,75,5,70
182,,,,,,,55,0,55
183,,,,,,,69,0,69
184,,,,,,,55,0,55
185,,,,,,,61,0,61
186,,,,,,,67,1,66
187,,,,,,,68,1,67
188,,,,,,,72,5,67
189,,,,,,,72,0,72
190,,,,,,,65,1,64
191,,,,,,,69,2,67
192,,,,,,,63,0,63
193,,,,,,,65,2,63
194,,,,,,,61,0,61
195,,,,,,,64,2,62
196,,,,,,,67,1,66
197,,,,,,,73,1,72
198,,,,,,,71,1,70
199,,,,,,,71,3,68
200,,,,,,,56,0,56
201,,,,,,,70,2,68
202,,,,,,,59,2,57
203,,,,,,,58,0,58
204,,,,,,,64,0,64
205,,,,,,,68,3,65
206,,,,,,,60,0,60
207,,,,,,,67,4,63
208,,,,,,,77,7,70
209,,,,,,,83,17,66
210,,,,,,,82,16,66
211,,,,,,,83,22,61
212,,,,,,,99,24,75
213,,,,,,,92,39,53
214,,,,,,,94,37,57
215,,,,,,,85,29,56
216,,,,,,,88,31,57
217,,,,,,,89,39,50
218,,,,,,,116,55,61
219,,,,,,,123,58,65
220,,,,,,,125,71,54
221,,,,,,,122,69,53
222,,,,,,,136,75,61
223,,,,,,,138,83,55
224,,,,,,,132,90,42
225,,,,,,,148,86,62
226,,,,,,,159,96,63
227,,,,,,,127,90,37
228,,,,,,,150,86,64
229,,,,,,,157,104,53
230,,,,,,,145,102,43
231,,,,,,,154,99,55
232,,,,,,,151,103,48
233,,,,,,,152,110,42
234,,,,,,,154,108,46
235,,,,,,,152,110,42
236,,,,,,,141,96,45
237,,,,,,,123,78,45
238,,,,,,,118,57,61
239,,,,,,,91,47,44
240,,,,,,,73,33,40
241,,,,,,,93,15,78
242,,,,,,,64,18,46
243,,,,,,,82,19,63
244,,,,,,,72,17,55
245,,,,,,,88,15,73
246,,,,,,,99,26,73
247,,,,,,,111,37,74
248,,,,,,,110,44,66
249,,,,,,,89,43,46
250,,,,,,,105,40,65
