,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,5.0,5.0,3.0,0.02,False,57,0,57
1,,,,,,,49,0,49
2,,,,,,,46,0,46
3,,,,,,,51,0,51
4,,,,,,,46,0,46
5,,,,,,,41,0,41
6,,,,,,,39,0,39
7,,,,,,,45,0,45
8,,,,,,,37,0,37
9,,,,,,,45,0,45
10,,,,,,,45,0,45
11,,,,,,,49,0,49
12,,,,,,,45,0,45
13,,,,,,,46,1,45
14,,,,,,,49,0,49
15,,,,,,,35,0,35
16,,,,,,,43,0,43
17,,,,,,,42,0,42
18,,,,,,,62,0,62
19,,,,,,,56,0,56
20,,,,,,,43,0,43
21,,,,,,,43,0,43
22,,,,,,,36,0,36
23,,,,,,,37,0,37
24,,,,,,,43,0,43
25,,,,,,,49,5,44
26,,,,,,,36,1,35
27,,,,,,,41,0,41
28,,,,,,,42,2,40
29,,,,,,,41,0,41
30,,,,,,,46,0,46
31,,,,,,,51,0,51
32,,,,,,,33,0,33
33,,,,,,,50,0,50
34,,,,,,,36,0,36
35,,,,,,,47,0,47
36,,,,,,,57,0,57
37,,,,,,,51,0,51
38,,,,,,,45,0,45
39,,,,,,,41,0,41
40,,,,,,,45,6,39
41,,,,,,,37,3,34
42,,,,,,,53,0,53
43,,,,,,,50,1,49
44,,,,,,,38,0,38
45,,,,,,,43,0,43
46,,,,,,,38,0,38
47,,,,,,,43,1,42
48,,,,,,,50,0,50
49,,,,,,,37,0,37
50,,,,,,,46,0,46
51,,,,,,,56,0,56
52,,,,,,,42,1,41
53,,,,,,,42,0,42
54,,,,,,,47,0,47
55,,,,,,,40,0,40
56,,,,,,,51,0,51
57,,,,,,,51,0,51
58,,,,,,,48,1,47
59,,,,,,,50,0,50
60,,,,,,,43,2,41
61,,,,,,,49,3,46
62,,,,,,,45,4,41
63,,,,,,,41,1,40
64,,,,,,,45,0,45
65,,,,,,,40,0,40
66,,,,,,,36,0,36
67,,,,,,,55,0,55
68,,,,,,,41,0,41
69,,,,,,,41,0,41
70,,,,,,,41,0,41
71,,,,,,,39,0,39
72,,,,,,,38,0,38
73,,,,,,,38,0,38
74,,,,,,,53,0,53
75,,,,,,,45,0,45
76,,,,,,,49,0,49
77,,,,,,,41,0,41
78,,,,,,,53,0,53
79,,,,,,,42,0,42
80,,,,,,,51,0,51
81,,,,,,,49,0,49
82,,,,,,,45,1,44
83,,,,,,,53,0,53
84,,,,,,,46,4,42
85,,,,,,,42,1,41
86,,,,,,,48,0,48
87,,,,,,,46,1,45
88,,,,,,,56,0,56
89,,,,,,,44,0,44
90,,,,,,,45,0,45
91,,,,,,,42,0,42
92,,,,,,,51,0,51
93,,,,,,,52,3,49
94,,,,,,,34,0,34
95,,,,,,,38,0,38
96,,,,,,,52,0,52
97,,,,,,,44,0,44
98,,,,,,,41,0,41
99,,,,,,,40,0,40
100,,,,,,,52,0,52
101,,,,,,,45,0,45
102,,,,,,,46,0,46
103,,,,,,,45,0,45
104,,,,,,,35,0,35
105,,,,,,,33,0,33
106,,,,,,,57,0,57
107,,,,,,,49,0,49
108,,,,,,,35,0,35
109,,,,,,,43,0,43
110,,,,,,,46,0,46
111,,,,,,,38,0,38
112,,,,,,,41,0,41
113,,,,,,,49,0,49
114,,,,,,,49,1,48
115,,,,,,,45,0,45
116,,,,,,,49,0,49
117,,,,,,,44,0,44
118,,,,,,,38,0,38
119,,,,,,,44,0,44
120,,,,,,,43,0,43
121,,,,,,,61,0,61
122,,,,,,,43,0,43
123,,,,,,,55,0,55
124,,,,,,,42,0,42
125,,,,,,,48,0,48
126,,,,,,,42,0,42
127,,,,,,,49,0,49
128,,,,,,,40,0,40
129,,,,,,,49,0,49
130,,,,,,,49,0,49
131,,,,,,,38,0,38
132,,,,,,,34,0,34
133,,,,,,,36,0,36
134,,,,,,,41,0,41
135,,,,,,,51,0,51
136,,,,,,,47,0,47
137,,,,,,,57,0,57
138,,,,,,,49,0,49
139,,,,,,,35,0,35
140,,,,,,,37,0,37
141,,,,,,,40,0,40
142,,,,,,,49,0,49
143,,,,,,,42,0,42
144,,,,,,,41,0,41
145,,,,,,,32,0,32
146,,,,,,,51,0,51
147,,,,,,,41,0,41
148,,,,,,,46,0,46
149,,,,,,,47,0,47
150,,,,,,,54,0,54
151,,,,,,,38,0,38
152,,,,,,,50,0,50
153,,,,,,,50,0,50
154,,,,,,,46,0,46
155,,,,,,,47,7,40
156,,,,,,,57,8,49
157,,,,,,,30,0,30
158,,,,,,,39,0,39
159,,,,,,,45,0,45
160,,,,,,,49,0,49
161,,,,,,,45,1,44
162,,,,,,,38,0,38
163,,,,,,,51,0,51
164,,,,,,,52,0,52
165,,,,,,,47,0,47
166,,,,,,,41,0,41
167,,,,,,,43,0,43
168,,,,,,,42,0,42
169,,,,,,,32,0,32
170,,,,,,,43,0,43
171,,,,,,,36,0,36
172,,,,,,,41,0,41
173,,,,,,,44,0,44
174,,,,,,,48,0,48
175,,,,,,,33,0,33
176,,,,,,,31,0,31
177,,,,,,,29,1,28
178,,,,,,,51,0,51
179,,,,,,,57,0,57
180,,,,,,,44,0,44
181,,,,,,,36,0,36
182,,,,,,,40,0,40
