,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,7.0,2.0,3.0,0.025,False,64,0,64
1,,,,,,,65,0,65
2,,,,,,,63,0,63
3,,,,,,,62,0,62
4,,,,,,,47,0,47
5,,,,,,,68,0,68
6,,,,,,,55,0,55
7,,,,,,,54,0,54
8,,,,,,,60,0,60
9,,,,,,,51,0,51
10,,,,,,,63,0,63
11,,,,,,,63,0,63
12,,,,,,,65,0,65
13,,,,,,,65,0,65
14,,,,,,,47,0,47
15,,,,,,,68,0,68
16,,,,,,,58,0,58
17,,,,,,,53,0,53
18,,,,,,,58,0,58
19,,,,,,,46,0,46
20,,,,,,,72,0,72
21,,,,,,,62,0,62
22,,,,,,,87,0,87
23,,,,,,,55,0,55
24,,,,,,,49,0,49
25,,,,,,,64,0,64
26,,,,,,,54,0,54
27,,,,,,,45,0,45
28,,,,,,,45,0,45
29,,,,,,,75,0,75
30,,,,,,,64,0,64
31,,,,,,,56,0,56
32,,,,,,,47,0,47
33,,,,,,,75,0,75
34,,,,,,,53,0,53
35,,,,,,,71,0,71
36,,,,,,,55,0,55
37,,,,,,,69,0,69
38,,,,,,,50,0,50
39,,,,,,,51,0,51
40,,,,,,,60,0,60
41,,,,,,,63,0,63
42,,,,,,,46,0,46
43,,,,,,,68,0,68
44,,,,,,,53,0,53
45,,,,,,,54,0,54
46,,,,,,,61,0,61
47,,,,,,,44,0,44
48,,,,,,,65,0,65
49,,,,,,,52,0,52
50,,,,,,,61,0,61
51,,,,,,,59,0,59
52,,,,,,,66,0,66
53,,,,,,,57,0,57
54,,,,,,,69,0,69
55,,,,,,,73,0,73
56,,,,,,,62,0,62
57,,,,,,,45,0,45
58,,,,,,,68,0,68
59,,,,,,,68,0,68
60,,,,,,,56,0,56
61,,,,,,,57,0,57
62,,,,,,,48,0,48
63,,,,,,,60,0,60
64,,,,,,,54,0,54
65,,,,,,,51,0,51
66,,,,,,,57,0,57
67,,,,,,,58,0,58
68,,,,,,,58,0,58
69,,,,,,,64,0,64
70,,,,,,,60,0,60
71,,,,,,,47,0,47
72,,,,,,,76,0,76
73,,,,,,,69,0,69
74,,,,,,,58,0,58
75,,,,,,,59,0,59
76,,,,,,,49,0,49
77,,,,,,,61,0,61
78,,,,,,,65,0,65
79,,,,,,,64,0,64
80,,,,,,,48,0,48
81,,,,,,,57,0,57
82,,,,,,,66,0,66
83,,,,,,,60,0,60
84,,,,,,,59,0,59
85,,,,,,,48,0,48
86,,,,,,,70,0,70
87,,,,,,,40,0,40
88,,,,,,,66,0,66
89,,,,,,,58,0,58
90,,,,,,,61,0,61
91,,,,,,,63,0,63
92,,,,,,,48,0,48
93,,,,,,,74,0,74
94,,,,,,,56,0,56
95,,,,,,,51,0,51
96,,,,,,,63,0,63
97,,,,,,,70,0,70
98,,,,,,,64,0,64
99,,,,,,,49,0,49
100,,,,,,,46,0,46
101,,,,,,,54,0,54
102,,,,,,,55,0,55
103,,,,,,,66,0,66
104,,,,,,,45,0,45
105,,,,,,,64,0,64
