,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,1.0,5.0,3.0,0.02,True,158,110,48
1,,,,,,,1956,1950,6
2,,,,,,,382,382,0
3,,,,,,,0,0,0
4,,,,,,,0,0,0
5,,,,,,,0,0,0
6,,,,,,,0,0,0
7,,,,,,,6,0,6
8,,,,,,,199,166,33
9,,,,,,,2087,2082,5
10,,,,,,,208,208,0
11,,,,,,,0,0,0
12,,,,,,,0,0,0
13,,,,,,,0,0,0
14,,,,,,,1,0,1
15,,,,,,,32,28,4
16,,,,,,,786,752,34
17,,,,,,,1680,1680,0
18,,,,,,,1,1,0
19,,,,,,,0,0,0
20,,,,,,,0,0,0
21,,,,,,,0,0,0
22,,,,,,,1,0,1
23,,,,,,,40,28,12
24,,,,,,,909,879,30
25,,,,,,,1550,1550,0
26,,,,,,,0,0,0
27,,,,,,,0,0,0
28,,,,,,,0,0,0
29,,,,,,,0,0,0
30,,,,,,,0,0,0
31,,,,,,,18,0,18
32,,,,,,,488,457,31
33,,,,,,,1991,1991,0
34,,,,,,,3,3,0
35,,,,,,,0,0,0
36,,,,,,,0,0,0
37,,,,,,,0,0,0
38,,,,,,,0,0,0
39,,,,,,,7,0,7
40,,,,,,,230,186,44
41,,,,,,,2095,2092,3
42,,,,,,,168,168,0
43,,,,,,,0,0,0
44,,,,,,,0,0,0
45,,,,,,,0,0,0
46,,,,,,,0,0,0
47,,,,,,,6,0,6
48,,,,,,,192,163,29
49,,,,,,,2025,2020,5
50,,,,,,,277,277,0
51,,,,,,,0,0,0
52,,,,,,,0,0,0
53,,,,,,,0,0,0
54,,,,,,,0,0,0
55,,,,,,,5,0,5
56,,,,,,,186,138,48
57,,,,,,,2061,2051,10
58,,,,,,,248,248,0
59,,,,,,,0,0,0
60,,,,,,,0,0,0
61,,,,,,,0,0,0
62,,,,,,,0,0,0
63,,,,,,,5,0,5
64,,,,,,,173,136,37
65,,,,,,,2020,2016,4
66,,,,,,,302,302,0
67,,,,,,,0,0,0
68,,,,,,,0,0,0
69,,,,,,,0,0,0
70,,,,,,,0,0,0
71,,,,,,,4,0,4
72,,,,,,,153,110,43
73,,,,,,,1941,1930,11
74,,,,,,,402,402,0
75,,,,,,,0,0,0
76,,,,,,,0,0,0
77,,,,,,,0,0,0
78,,,,,,,0,0,0
79,,,,,,,7,0,7
80,,,,,,,225,191,34
81,,,,,,,2100,2095,5
82,,,,,,,168,168,0
83,,,,,,,0,0,0
84,,,,,,,0,0,0
85,,,,,,,0,0,0
86,,,,,,,0,0,0
87,,,,,,,6,0,6
88,,,,,,,204,165,39
89,,,,,,,2069,2065,4
90,,,,,,,221,221,0
91,,,,,,,0,0,0
92,,,,,,,0,0,0
93,,,,,,,0,0,0
94,,,,,,,0,0,0
95,,,,,,,3,0,3
96,,,,,,,128,79,49
97,,,,,,,1820,1806,14
98,,,,,,,549,549,0
99,,,,,,,0,0,0
100,,,,,,,0,0,0
101,,,,,,,0,0,0
102,,,,,,,0,0,0
103,,,,,,,2,0,2
104,,,,,,,81,56,25
105,,,,,,,1477,1459,18
106,,,,,,,940,940,0
107,,,,,,,0,0,0
108,,,,,,,0,0,0
109,,,,,,,0,0,0
110,,,,,,,0,0,0
111,,,,,,,5,0,5
112,,,,,,,167,139,28
113,,,,,,,2023,2014,9
114,,,,,,,305,305,0
115,,,,,,,0,0,0
116,,,,,,,0,0,0
117,,,,,,,0,0,0
118,,,,,,,0,0,0
