,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,2.0,4.0,3.0,0.02,True,46,0,46
1,,,,,,,250,208,42
2,,,,,,,1719,1704,15
3,,,,,,,485,485,0
4,,,,,,,0,0,0
5,,,,,,,0,0,0
6,,,,,,,0,0,0
7,,,,,,,3,0,3
8,,,,,,,36,0,36
9,,,,,,,201,152,49
10,,,,,,,1519,1502,17
11,,,,,,,741,741,0
12,,,,,,,0,0,0
13,,,,,,,0,0,0
14,,,,,,,1,0,1
15,,,,,,,5,0,5
16,,,,,,,32,2,30
17,,,,,,,171,130,41
18,,,,,,,1337,1316,21
19,,,,,,,954,954,0
20,,,,,,,1,1,0
21,,,,,,,0,0,0
22,,,,,,,0,0,0
23,,,,,,,3,0,3
24,,,,,,,29,2,27
25,,,,,,,150,96,54
26,,,,,,,1156,1134,22
27,,,,,,,1162,1162,0
28,,,,,,,0,0,0
29,,,,,,,0,0,0
30,,,,,,,1,0,1
31,,,,,,,2,0,2
32,,,,,,,24,0,24
33,,,,,,,117,70,47
34,,,,,,,949,918,31
35,,,,,,,1407,1407,0
36,,,,,,,1,1,0
37,,,,,,,0,0,0
38,,,,,,,1,0,1
39,,,,,,,2,0,2
40,,,,,,,21,0,21
41,,,,,,,107,57,50
42,,,,,,,829,790,39
43,,,,,,,1538,1538,0
44,,,,,,,3,3,0
45,,,,,,,0,0,0
46,,,,,,,1,0,1
47,,,,,,,2,0,2
48,,,,,,,11,0,11
49,,,,,,,74,15,59
50,,,,,,,511,466,45
51,,,,,,,1863,1863,0
52,,,,,,,39,39,0
53,,,,,,,0,0,0
54,,,,,,,0,0,0
55,,,,,,,0,0,0
56,,,,,,,12,0,12
57,,,,,,,75,24,51
58,,,,,,,524,493,31
59,,,,,,,1858,1858,0
60,,,,,,,31,31,0
61,,,,,,,0,0,0
62,,,,,,,0,0,0
63,,,,,,,1,0,1
64,,,,,,,16,0,16
65,,,,,,,72,31,41
66,,,,,,,510,476,34
67,,,,,,,1856,1856,0
68,,,,,,,45,45,0
69,,,,,,,0,0,0
70,,,,,,,0,0,0
71,,,,,,,3,0,3
72,,,,,,,15,0,15
73,,,,,,,70,28,42
74,,,,,,,478,440,38
75,,,,,,,1895,1894,1
76,,,,,,,39,39,0
77,,,,,,,0,0,0
78,,,,,,,0,0,0
79,,,,,,,1,0,1
80,,,,,,,14,0,14
81,,,,,,,86,26,60
82,,,,,,,621,593,28
83,,,,,,,1765,1764,1
84,,,,,,,13,13,0
85,,,,,,,0,0,0
86,,,,,,,0,0,0
87,,,,,,,1,0,1
88,,,,,,,12,0,12
89,,,,,,,76,22,54
90,,,,,,,534,502,32
91,,,,,,,1841,1840,1
92,,,,,,,36,36,0
93,,,,,,,0,0,0
94,,,,,,,0,0,0
95,,,,,,,3,0,3
96,,,,,,,13,0,13
97,,,,,,,70,20,50
98,,,,,,,488,444,44
99,,,,,,,1873,1872,1
100,,,,,,,53,53,0
101,,,,,,,1,1,0
102,,,,,,,0,0,0
103,,,,,,,3,0,3
104,,,,,,,14,1,13
105,,,,,,,75,25,50
106,,,,,,,541,505,36
107,,,,,,,1844,1844,0
108,,,,,,,23,23,0
109,,,,,,,0,0,0
110,,,,,,,0,0,0
111,,,,,,,0,0,0
112,,,,,,,18,0,18
113,,,,,,,79,40,39
114,,,,,,,572,536,36
115,,,,,,,1804,1804,0
116,,,,,,,27,27,0
117,,,,,,,0,0,0
118,,,,,,,1,0,1
119,,,,,,,0,0,0
120,,,,,,,12,0,12
121,,,,,,,69,22,47
122,,,,,,,470,436,34
123,,,,,,,1884,1884,0
124,,,,,,,65,65,0
125,,,,,,,0,0,0
126,,,,,,,2,0,2
127,,,,,,,4,1,3
128,,,,,,,18,3,15
129,,,,,,,93,48,45
130,,,,,,,725,670,55
131,,,,,,,1657,1657,0
132,,,,,,,3,3,0
133,,,,,,,1,1,0
134,,,,,,,0,0,0
135,,,,,,,2,0,2
136,,,,,,,21,0,21
137,,,,,,,95,50,45
138,,,,,,,709,670,39
139,,,,,,,1671,1671,0
140,,,,,,,2,2,0
141,,,,,,,0,0,0
142,,,,,,,0,0,0
143,,,,,,,3,0,3
144,,,,,,,12,0,12
145,,,,,,,67,18,49
146,,,,,,,465,420,45
147,,,,,,,1886,1884,2
148,,,,,,,67,67,0
149,,,,,,,0,0,0
150,,,,,,,0,0,0
151,,,,,,,3,0,3
152,,,,,,,16,1,15
153,,,,,,,89,35,54
154,,,,,,,650,619,31
155,,,,,,,1734,1734,0
156,,,,,,,8,8,0
157,,,,,,,0,0,0
158,,,,,,,0,0,0
159,,,,,,,2,0,2
160,,,,,,,16,1,15
161,,,,,,,83,32,51
162,,,,,,,606,569,37
163,,,,,,,1775,1775,0
164,,,,,,,18,18,0
165,,,,,,,0,0,0
166,,,,,,,1,0,1
167,,,,,,,0,0,0
168,,,,,,,19,0,19
169,,,,,,,95,44,51
170,,,,,,,720,688,32
171,,,,,,,1662,1662,0
172,,,,,,,4,4,0
173,,,,,,,0,0,0
174,,,,,,,0,0,0
175,,,,,,,1,0,1
176,,,,,,,19,0,19
177,,,,,,,88,40,48
178,,,,,,,647,614,33
179,,,,,,,1734,1734,0
180,,,,,,,11,11,0
181,,,,,,,0,0,0
182,,,,,,,0,0,0
183,,,,,,,0,0,0
184,,,,,,,15,0,15
185,,,,,,,73,25,48
186,,,,,,,529,488,41
187,,,,,,,1856,1855,1
188,,,,,,,27,27,0
189,,,,,,,0,0,0
190,,,,,,,0,0,0
191,,,,,,,4,0,4
192,,,,,,,11,1,10
193,,,,,,,57,17,40
194,,,,,,,358,313,45
195,,,,,,,1879,1878,1
196,,,,,,,191,191,0
197,,,,,,,3,3,0
198,,,,,,,1,0,1
199,,,,,,,0,0,0
200,,,,,,,6,0,6
201,,,,,,,48,3,45
202,,,,,,,294,256,38
203,,,,,,,1784,1774,10
204,,,,,,,368,368,0
205,,,,,,,0,0,0
206,,,,,,,0,0,0
207,,,,,,,1,0,1
208,,,,,,,2,0,2
209,,,,,,,48,0,48
210,,,,,,,292,257,35
211,,,,,,,1802,1795,7
212,,,,,,,355,355,0
213,,,,,,,1,1,0
214,,,,,,,0,0,0
215,,,,,,,1,0,1
216,,,,,,,9,0,9
217,,,,,,,61,15,46
218,,,,,,,413,364,49
219,,,,,,,1894,1892,2
220,,,,,,,122,122,0
221,,,,,,,0,0,0
222,,,,,,,0,0,0
223,,,,,,,2,0,2
224,,,,,,,10,0,10
225,,,,,,,58,15,43
226,,,,,,,394,355,39
227,,,,,,,1924,1921,3
228,,,,,,,112,112,0
229,,,,,,,1,1,0
230,,,,,,,0,0,0
231,,,,,,,3,0,3
232,,,,,,,8,0,8
233,,,,,,,55,5,50
234,,,,,,,349,310,39
235,,,,,,,1883,1879,4
236,,,,,,,202,202,0
237,,,,,,,2,2,0
238,,,,,,,0,0,0
239,,,,,,,2,0,2
240,,,,,,,5,1,4
241,,,,,,,49,5,44
242,,,,,,,288,251,37
243,,,,,,,1812,1805,7
244,,,,,,,344,344,0
245,,,,,,,2,2,0
246,,,,,,,1,1,0
247,,,,,,,0,0,0
248,,,,,,,5,0,5
249,,,,,,,41,6,35
250,,,,,,,225,179,46
251,,,,,,,1597,1587,10
252,,,,,,,632,632,0
253,,,,,,,0,0,0
254,,,,,,,0,0,0
255,,,,,,,1,0,1
256,,,,,,,7,0,7
257,,,,,,,46,5,41
258,,,,,,,295,240,55
259,,,,,,,1840,1826,14
260,,,,,,,311,311,0
261,,,,,,,1,1,0
262,,,,,,,0,0,0
263,,,,,,,2,0,2
264,,,,,,,9,1,8
265,,,,,,,66,15,51
266,,,,,,,449,404,45
267,,,,,,,1896,1895,1
268,,,,,,,78,78,0
269,,,,,,,1,1,0
270,,,,,,,0,0,0
271,,,,,,,1,0,1
272,,,,,,,8,0,8
273,,,,,,,57,14,43
274,,,,,,,371,329,42
275,,,,,,,1884,1884,0
276,,,,,,,179,179,0
277,,,,,,,0,0,0
278,,,,,,,0,0,0
279,,,,,,,2,0,2
280,,,,,,,10,0,10
281,,,,,,,65,16,49
282,,,,,,,432,396,36
283,,,,,,,1901,1899,2
284,,,,,,,90,90,0
285,,,,,,,0,0,0
286,,,,,,,0,0,0
287,,,,,,,2,0,2
288,,,,,,,10,0,10
289,,,,,,,63,8,55
290,,,,,,,421,379,42
291,,,,,,,1900,1899,1
292,,,,,,,104,104,0
293,,,,,,,0,0,0
294,,,,,,,0,0,0
295,,,,,,,1,0,1
296,,,,,,,13,0,13
297,,,,,,,74,34,40
298,,,,,,,507,478,29
299,,,,,,,1858,1858,0
300,,,,,,,47,47,0
301,,,,,,,1,1,0
302,,,,,,,0,0,0
303,,,,,,,0,0,0
304,,,,,,,18,0,18
305,,,,,,,83,42,41
306,,,,,,,585,553,32
307,,,,,,,1793,1792,1
308,,,,,,,21,21,0
309,,,,,,,0,0,0
310,,,,,,,0,0,0
311,,,,,,,2,0,2
312,,,,,,,10,0,10
313,,,,,,,60,15,45
314,,,,,,,383,342,41
315,,,,,,,1893,1892,1
316,,,,,,,152,152,0
317,,,,,,,1,1,0
318,,,,,,,1,0,1
319,,,,,,,2,0,2
320,,,,,,,9,0,9
321,,,,,,,49,7,42
322,,,,,,,306,264,42
323,,,,,,,1839,1835,4
324,,,,,,,295,295,0
325,,,,,,,2,2,0
326,,,,,,,0,0,0
327,,,,,,,1,0,1
328,,,,,,,8,0,8
329,,,,,,,53,7,46
330,,,,,,,350,305,45
331,,,,,,,1884,1881,3
332,,,,,,,204,204,0
333,,,,,,,1,1,0
334,,,,,,,0,0,0
335,,,,,,,2,0,2
336,,,,,,,7,1,6
337,,,,,,,55,8,47
338,,,,,,,355,313,42
339,,,,,,,1915,1910,5
340,,,,,,,166,166,0
