,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,3.0,5.0,2.5,0.015,True,43,0,43
1,,,,,,,53,12,41
2,,,,,,,64,24,40
3,,,,,,,66,27,39
4,,,,,,,69,35,34
5,,,,,,,76,42,34
6,,,,,,,76,43,33
7,,,,,,,78,51,27
8,,,,,,,75,43,32
9,,,,,,,84,48,36
10,,,,,,,102,61,41
11,,,,,,,127,107,20
12,,,,,,,183,154,29
13,,,,,,,367,336,31
14,,,,,,,881,876,5
15,,,,,,,734,734,0
16,,,,,,,98,98,0
17,,,,,,,54,54,0
18,,,,,,,26,24,2
19,,,,,,,8,4,4
20,,,,,,,12,0,12
21,,,,,,,30,0,30
22,,,,,,,34,2,32
23,,,,,,,39,5,34
24,,,,,,,53,10,43
25,,,,,,,60,24,36
26,,,,,,,66,30,36
27,,,,,,,63,38,25
28,,,,,,,74,32,42
29,,,,,,,91,63,28
30,,,,,,,106,80,26
31,,,,,,,147,111,36
32,,,,,,,245,218,27
33,,,,,,,561,548,13
34,,,,,,,1070,1068,2
35,,,,,,,277,277,0
36,,,,,,,77,77,0
37,,,,,,,52,50,2
38,,,,,,,28,22,6
39,,,,,,,11,2,9
40,,,,,,,14,0,14
41,,,,,,,26,0,26
42,,,,,,,36,5,31
43,,,,,,,45,11,34
44,,,,,,,45,12,33
45,,,,,,,49,15,34
46,,,,,,,47,10,37
47,,,,,,,49,15,34
48,,,,,,,50,16,34
49,,,,,,,50,21,29
50,,,,,,,47,13,34
51,,,,,,,49,14,35
52,,,,,,,47,16,31
53,,,,,,,57,15,42
54,,,,,,,56,20,36
55,,,,,,,54,25,29
56,,,,,,,50,14,36
57,,,,,,,47,16,31
58,,,,,,,58,11,47
59,,,,,,,62,29,33
60,,,,,,,66,30,36
61,,,,,,,82,37,45
62,,,,,,,95,62,33
63,,,,,,,122,94,28
64,,,,,,,186,152,34
65,,,,,,,383,353,30
66,,,,,,,916,909,7
67,,,,,,,696,696,0
68,,,,,,,99,99,0
69,,,,,,,62,61,1
70,,,,,,,35,33,2
71,,,,,,,7,4,3
72,,,,,,,10,0,10
73,,,,,,,19,0,19
74,,,,,,,36,1,35
75,,,,,,,34,12,22
76,,,,,,,32,1,31
77,,,,,,,50,6,44
78,,,,,,,51,12,39
79,,,,,,,47,18,29
80,,,,,,,57,13,44
81,,,,,,,51,19,32
82,,,,,,,37,16,21
83,,,,,,,50,6,44
84,,,,,,,54,17,37
85,,,,,,,50,19,31
86,,,,,,,50,16,34
87,,,,,,,49,19,30
88,,,,,,,52,20,32
89,,,,,,,49,20,29
90,,,,,,,41,11,30
91,,,,,,,48,11,37
92,,,,,,,47,18,29
93,,,,,,,49,17,32
94,,,,,,,51,10,41
95,,,,,,,52,12,40
96,,,,,,,42,13,29
97,,,,,,,37,10,27
98,,,,,,,35,3,32
99,,,,,,,38,8,30
100,,,,,,,39,6,33
101,,,,,,,42,11,31
102,,,,,,,47,5,42
