,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
0,2500.0,3.0,3.0,4.0,0.02,False,41,0,41
1,,,,,,,80,22,58
2,,,,,,,148,105,43
3,,,,,,,306,264,42
4,,,,,,,524,496,28
5,,,,,,,597,576,21
6,,,,,,,456,447,9
7,,,,,,,251,250,1
8,,,,,,,129,123,6
9,,,,,,,61,51,10
10,,,,,,,28,5,23
11,,,,,,,47,19,28
12,,,,,,,102,59,43
13,,,,,,,202,167,35
14,,,,,,,286,254,32
15,,,,,,,321,292,29
16,,,,,,,353,323,30
17,,,,,,,352,329,23
18,,,,,,,409,398,11
19,,,,,,,313,300,13
20,,,,,,,138,131,7
21,,,,,,,65,46,19
22,,,,,,,90,64,26
23,,,,,,,119,104,15
24,,,,,,,236,201,35
25,,,,,,,275,233,42
26,,,,,,,303,274,29
27,,,,,,,431,404,27
28,,,,,,,364,346,18
29,,,,,,,285,271,14
30,,,,,,,227,212,15
31,,,,,,,161,147,14
32,,,,,,,181,171,10
33,,,,,,,188,168,20
34,,,,,,,166,141,25
35,,,,,,,188,159,29
36,,,,,,,273,252,21
37,,,,,,,355,333,22
38,,,,,,,395,370,25
39,,,,,,,363,350,13
40,,,,,,,305,292,13
41,,,,,,,224,210,14
42,,,,,,,235,224,11
43,,,,,,,228,214,14
44,,,,,,,236,216,20
45,,,,,,,279,257,22
46,,,,,,,295,276,19
47,,,,,,,320,301,19
48,,,,,,,368,356,12
49,,,,,,,362,357,5
50,,,,,,,307,299,8
51,,,,,,,289,281,8
52,,,,,,,281,267,14
53,,,,,,,270,254,16
54,,,,,,,263,243,20
55,,,,,,,270,255,15
56,,,,,,,318,299,19
57,,,,,,,378,363,15
58,,,,,,,430,416,14
59,,,,,,,484,475,9
60,,,,,,,375,372,3
61,,,,,,,329,324,5
62,,,,,,,334,331,3
63,,,,,,,323,318,5
64,,,,,,,305,302,3
65,,,,,,,308,301,7
66,,,,,,,364,352,12
67,,,,,,,395,391,4
68,,,,,,,409,398,11
69,,,,,,,426,417,9
70,,,,,,,414,411,3
71,,,,,,,364,361,3
72,,,,,,,392,391,1
73,,,,,,,396,393,3
74,,,,,,,417,414,3
