,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
0,2500.0,2.0,3.0,7.0,0.02,False,51,0,51
1,,,,,,,265,225,40
2,,,,,,,862,837,25
3,,,,,,,853,840,13
4,,,,,,,404,404,0
5,,,,,,,65,65,0
6,,,,,,,0,0,0
7,,,,,,,0,0,0
8,,,,,,,0,0,0
9,,,,,,,2,0,2
10,,,,,,,8,0,8
11,,,,,,,34,7,27
12,,,,,,,164,135,29
13,,,,,,,508,468,40
14,,,,,,,807,792,15
15,,,,,,,589,578,11
16,,,,,,,286,285,1
17,,,,,,,78,78,0
18,,,,,,,23,23,0
19,,,,,,,2,1,1
20,,,,,,,0,0,0
21,,,,,,,1,0,1
22,,,,,,,11,0,11
23,,,,,,,76,48,28
24,,,,,,,282,240,42
25,,,,,,,596,566,30
26,,,,,,,675,664,11
27,,,,,,,419,413,6
28,,,,,,,237,234,3
29,,,,,,,103,99,4
30,,,,,,,74,74,0
31,,,,,,,25,25,0
32,,,,,,,3,2,1
33,,,,,,,3,0,3
34,,,,,,,18,0,18
35,,,,,,,111,75,36
36,,,,,,,436,399,37
37,,,,,,,682,664,18
38,,,,,,,646,631,15
39,,,,,,,407,406,1
40,,,,,,,127,125,2
41,,,,,,,43,43,0
42,,,,,,,24,24,0
43,,,,,,,2,2,0
44,,,,,,,1,0,1
45,,,,,,,17,0,17
46,,,,,,,113,89,24
47,,,,,,,321,296,25
48,,,,,,,533,497,36
49,,,,,,,640,627,13
50,,,,,,,474,464,10
51,,,,,,,247,246,1
52,,,,,,,70,69,1
53,,,,,,,44,44,0
54,,,,,,,24,24,0
55,,,,,,,15,14,1
56,,,,,,,11,3,8
57,,,,,,,27,6,21
58,,,,,,,159,124,35
59,,,,,,,441,410,31
60,,,,,,,660,639,21
61,,,,,,,605,596,9
62,,,,,,,354,349,5
63,,,,,,,123,121,2
64,,,,,,,71,70,1
65,,,,,,,40,40,0
66,,,,,,,10,10,0
67,,,,,,,4,1,3
68,,,,,,,38,21,17
69,,,,,,,139,120,19
70,,,,,,,322,294,28
71,,,,,,,535,513,22
72,,,,,,,547,535,12
73,,,,,,,482,476,6
74,,,,,,,246,240,6
75,,,,,,,135,135,0
76,,,,,,,43,43,0
77,,,,,,,12,10,2
78,,,,,,,4,0,4
79,,,,,,,30,23,7
80,,,,,,,82,62,20
81,,,,,,,207,174,33
82,,,,,,,466,441,25
83,,,,,,,509,483,26
84,,,,,,,557,544,13
85,,,,,,,408,403,5
86,,,,,,,162,159,3
87,,,,,,,61,60,1
88,,,,,,,14,13,1
89,,,,,,,3,0,3
90,,,,,,,10,6,4
91,,,,,,,71,50,21
92,,,,,,,217,197,20
93,,,,,,,374,358,16
94,,,,,,,443,422,21
95,,,,,,,441,425,16
96,,,,,,,464,453,11
97,,,,,,,281,277,4
98,,,,,,,134,127,7
99,,,,,,,59,59,0
100,,,,,,,3,2,1
101,,,,,,,5,0,5
102,,,,,,,15,2,13
103,,,,,,,88,65,23
104,,,,,,,308,283,25
105,,,,,,,499,492,7
106,,,,,,,464,441,23
107,,,,,,,409,401,8
108,,,,,,,393,385,8
109,,,,,,,218,216,2
110,,,,,,,76,74,2
111,,,,,,,25,23,2
112,,,,,,,4,2,2
113,,,,,,,8,0,8
114,,,,,,,41,28,13
115,,,,,,,170,149,21
116,,,,,,,341,323,18
117,,,,,,,520,492,28
118,,,,,,,578,555,23
119,,,,,,,524,519,5
120,,,,,,,241,241,0
121,,,,,,,56,56,0
122,,,,,,,17,16,1
123,,,,,,,1,0,1
124,,,,,,,4,0,4
125,,,,,,,20,2,18
126,,,,,,,109,98,11
127,,,,,,,283,255,28
128,,,,,,,450,423,27
129,,,,,,,517,483,34
130,,,,,,,502,497,5
131,,,,,,,353,350,3
132,,,,,,,164,160,4
133,,,,,,,75,75,0
134,,,,,,,21,21,0
135,,,,,,,4,0,4
136,,,,,,,25,16,9
137,,,,,,,111,92,19
138,,,,,,,259,242,17
139,,,,,,,404,385,19
140,,,,,,,460,441,19
141,,,,,,,432,415,17
142,,,,,,,417,412,5
143,,,,,,,256,255,1
144,,,,,,,109,108,1
145,,,,,,,23,23,0
146,,,,,,,1,0,1
147,,,,,,,0,0,0
148,,,,,,,13,0,13
149,,,,,,,48,26,22
150,,,,,,,264,233,31
151,,,,,,,551,527,24
152,,,,,,,589,578,11
153,,,,,,,475,467,8
154,,,,,,,359,357,2
155,,,,,,,155,154,1
156,,,,,,,45,45,0
157,,,,,,,0,0,0
158,,,,,,,1,0,1
159,,,,,,,11,0,11
160,,,,,,,69,54,15
161,,,,,,,194,159,35
162,,,,,,,398,381,17
163,,,,,,,663,641,22
164,,,,,,,584,579,5
165,,,,,,,353,349,4
166,,,,,,,171,170,1
167,,,,,,,50,50,0
168,,,,,,,6,6,0
169,,,,,,,1,0,1
170,,,,,,,4,0,4
171,,,,,,,20,6,14
172,,,,,,,106,82,24
173,,,,,,,320,293,27
174,,,,,,,616,593,23
175,,,,,,,664,654,10
176,,,,,,,448,437,11
