size,duration
4,1
4,1
2,1
4,1
3,1
4,1
3,1
1,1
1,1
2,1
1,1
10,1
14,1
20,1
37,1
88,1
194,1
60,1
13,1
11,1
8,1
5,1
2,1
7,1
9,1
6,1
2,1
1,1
2,1
1,1
5,1
3,1
1,1
2,1
1,1
1,1
3,1
6,1
2,1
7,1
19,1
26,1
52,1
137,1
150,1
19,1
9,1
1,1
5,1
5,1
7,1
7,1
7,1
8,1
6,1
8,1
10,1
15,1
16,1
40,1
118,1
184,1
31,1
11,1
3,1
1,1
1,1
5,1
6,1
2,1
2,1
1,1
1,1
2,1
4,1
1,1
4,1
4,1
7,1
13,1
11,1
9,1
12,1
12,1
16,1
18,1
27,1
53,1
153,1
135,1
17,1
14,1
5,1
1,1
3,1
11,1
19,1
39,1
104,1
188,1
45,1
7,1
1,1
2,1
1,1
6,1
12,1
24,1
57,1
155,1
144,1
13,1
6,1
2,1
1,1
4,1
1,1
1,1
2,1
1,1
1,1
2,1
5,1
5,1
8,1
4,1
2,1
3,1
8,1
19,1
26,1
70,1
191,1
86,1
8,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
6,1
6,1
3,1
2,1
5,1
10,1
5,1
4,1
4,1
1,1
1,1
1,1
2,1
2,1
11,1
17,1
39,1
110,1
204,1
26,1
2,1
1,1
1,1
2,1
1,1
3,1
1,1
3,1
3,1
1,1
5,1
4,1
5,1
2,1
3,1
3,1
2,1
2,1
1,1
1,1
1,1
5,1
1,1
1,1
3,1
2,1
8,1
14,1
18,1
27,1
72,1
181,1
91,1
19,1
14,1
10,1
4,1
1,1
3,1
3,1
7,1
16,1
31,1
67,1
171,1
115,1
12,1
2,1
2,1
1,1
4,1
1,1
1,1
1,1
3,1
3,1
10,1
9,1
4,1
4,1
1,1
3,1
1,1
1,1
8,1
7,1
10,1
18,1
18,1
30,1
76,1
188,1
69,1
16,1
10,1
1,1
1,1
1,1
2,1
13,1
12,1
17,1
22,1
50,1
137,1
150,1
23,1
12,1
3,1
2,1
4,1
2,1
10,1
15,1
15,1
29,1
64,1
167,1
114,1
17,1
15,1
13,1
8,1
3,1
1,1
1,1
3,1
2,1
1,1
2,1
4,1
2,1
3,1
1,1
3,1
1,1
1,1
1,1
1,1
7,1
6,1
7,1
6,1
8,1
7,1
7,1
2,1
6,1
6,1
3,1
2,1
2,1
6,1
1,1
2,1
3,1
2,1
1,1
2,1
1,1
1,1
6,1
2,1
1,1
2,1
2,1
5,1
10,1
22,1
26,1
57,1
150,1
140,1
14,1
8,1
2,1
2,1
2,1
1,1
1,1
4,1
2,1
7,1
4,1
1,1
3,1
3,1
4,1
2,1
3,1
2,1
1,1
4,1
1,1
1,1
4,1
3,1
16,1
23,1
47,1
136,1
174,1
14,1
3,1
1,1
4,1
7,1
1,1
1,1
1,1
2,1
1,1
3,1
1,1
1,1
1,1
5,1
7,1
5,1
8,1
13,1
23,1
44,1
112,1
181,1
32,1
8,1
2,1
2,1
8,1
9,1
12,1
10,1
11,1
15,1
17,1
33,1
82,1
186,1
68,1
13,1
3,1
5,1
6,1
7,1
8,1
7,1
3,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
3,1
7,1
6,1
4,1
4,1
6,1
3,1
2,1
2,1
2,1
1,1
2,1
1,1
2,1
3,1
1,1
5,1
1,1
1,1
1,1
1,1
3,1
1,1
1,1
12,1
22,1
44,1
130,1
176,1
18,1
1,1
1,1
1,1
8,1
4,1
2,1
1,1
3,1
7,1
3,1
15,1
25,1
56,1
151,1
153,1
10,1
3,1
5,1
2,1
2,1
1,1
1,1
2,1
1,1
3,1
6,1
1,1
1,1
1,1
1,1
1,1
11,1
6,1
2,1
2,1
2,1
2,1
1,1
1,1
3,1
5,1
3,1
4,1
4,1
1,1
2,1
3,1
2,1
3,1
11,1
9,1
23,1
55,1
143,1
153,1
16,1
9,1
2,1
1,1
2,1
5,1
4,1
4,1
2,1
3,1
2,1
1,1
2,1
1,1
1,1
1,1
3,1
10,1
13,1
11,1
11,1
6,1
4,1
2,1
6,1
18,1
29,1
59,1
157,1
135,1
9,1
3,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
4,1
1,1
2,1
1,1
1,1
2,1
9,1
6,1
8,1
16,1
28,1
61,1
168,1
121,1
14,1
5,1
1,1
1,1
5,1
2,1
4,1
4,1
2,1
1,1
1,1
2,1
4,1
5,1
5,1
5,1
5,1
1,1
1,1
2,1
1,1
3,1
2,1
1,1
2,1
5,1
3,1
2,1
2,1
3,1
4,1
5,1
1,1
1,1
3,1
5,1
3,1
1,1
5,1
1,1
3,1
5,1
4,1
8,1
15,1
25,1
58,1
157,1
137,1
16,1
8,1
5,1
2,1
1,1
2,1
5,1
3,1
4,1
1,1
6,1
4,1
5,1
2,1
13,1
18,1
22,1
44,1
119,1
164,1
30,1
14,1
10,1
4,1
1,1
2,1
3,1
8,1
3,1
2,1
1,1
3,1
4,1
1,1
8,1
9,1
7,1
10,1
8,1
6,1
9,1
9,1
11,1
10,1
11,1
7,1
15,1
27,1
54,1
139,1
147,1
22,1
4,1
2,1
2,1
2,1
2,1
1,1
1,1
2,1
1,1
1,1
1,1
2,1
3,1
3,1
3,1
1,1
1,1
2,1
3,1
5,1
5,1
1,1
1,1
1,1
3,1
13,1
15,1
21,1
48,1
143,1
159,1
20,1
9,1
1,1
1,1
1,1
2,1
1,1
1,1
7,1
6,1
5,1
4,1
5,1
14,1
17,1
30,1
71,1
180,1
94,1
13,1
7,1
1,1
2,1
2,1
2,1
1,1
1,1
3,1
1,1
1,1
2,1
19,1
33,1
85,1
204,1
71,1
2,1
2,1
1,1
3,1
1,1
3,1
4,1
7,1
13,1
13,1
18,1
20,1
38,1
77,1
171,1
86,1
17,1
14,1
9,1
6,1
2,1
1,1
2,1
4,1
3,1
4,1
2,1
1,1
2,1
3,1
1,1
4,1
4,1
1,1
1,1
2,1
2,1
1,1
1,1
1,1
5,1
7,1
3,1
5,1
2,1
1,1
3,1
3,1
9,1
6,1
11,1
15,1
10,1
9,1
24,1
55,1
150,1
146,1
19,1
10,1
1,1
2,1
2,1
3,1
3,1
3,1
5,1
4,1
3,1
1,1
1,1
2,1
2,1
1,1
3,1
1,1
1,1
1,1
8,1
14,1
29,1
74,1
189,1
91,1
9,1
4,1
1,1
11,1
21,1
40,1
108,1
201,1
29,1
4,1
2,1
1,1
2,1
1,1
6,1
13,1
22,1
58,1
166,1
134,1
11,1
6,1
1,1
2,1
2,1
4,1
4,1
1,1
2,1
1,1
5,1
8,1
11,1
17,1
24,1
54,1
153,1
147,1
14,1
11,1
6,1
1,1
1,1
5,1
5,1
6,1
9,1
13,1
17,1
31,1
74,1
171,1
97,1
17,1
13,1
8,1
4,1
1,1
2,1
5,1
4,1
7,1
4,1
1,1
1,1
3,1
3,1
1,1
5,1
6,1
1,1
1,1
1,1
2,1
10,1
14,1
33,1
83,1
192,1
71,1
7,1
2,1
1,1
2,1
4,1
2,1
3,1
2,1
2,1
2,1
1,1
1,1
3,1
2,1
3,1
2,1
2,1
4,1
1,1
2,1
1,1
5,1
7,1
5,1
7,1
24,1
51,1
132,1
170,1
21,1
5,1
1,1
1,1
4,1
6,1
12,1
22,1
44,1
113,1
185,1
28,1
7,1
1,1
3,1
1,1
1,1
5,1
6,1
6,1
10,1
6,1
4,1
8,1
4,1
7,1
10,1
14,1
22,1
33,1
62,1
157,1
118,1
21,1
14,1
8,1
4,1
1,1
1,1
1,1
1,1
2,1
3,1
9,1
4,1
2,1
1,1
5,1
2,1
1,1
1,1
1,1
5,1
9,1
30,1
61,1
170,1
118,1
12,1
2,1
2,1
10,1
20,1
37,1
98,1
196,1
47,1
7,1
1,1
3,1
7,1
6,1
9,1
12,1
22,1
33,1
72,1
195,1
74,1
15,1
5,1
3,1
13,1
25,1
47,1
129,1
182,1
12,1
3,1
1,1
1,1
1,1
1,1
2,1
2,1
2,1
2,1
2,1
1,1
3,1
3,1
7,1
6,1
6,1
8,1
14,1
11,1
18,1
45,1
103,1
177,1
54,1
15,1
8,1
2,1
2,1
1,1
1,1
7,1
12,1
12,1
26,1
55,1
155,1
138,1
17,1
8,1
2,1
2,1
6,1
10,1
9,1
7,1
1,1
1,1
2,1
1,1
3,1
3,1
8,1
13,1
18,1
36,1
97,1
199,1
43,1
11,1
7,1
3,1
1,1
4,1
2,1
1,1
5,1
12,1
21,1
36,1
80,1
185,1
75,1
11,1
9,1
5,1
4,1
2,1
1,1
1,1
4,1
1,1
2,1
1,1
1,1
2,1
4,1
3,1
19,1
32,1
87,1
199,1
61,1
5,1
1,1
4,1
1,1
1,1
5,1
3,1
1,1
4,1
1,1
4,1
5,1
4,1
4,1
10,1
7,1
2,1
3,1
2,1
1,1
2,1
1,1
1,1
2,1
3,1
1,1
5,1
1,1
3,1
1,1
2,1
1,1
2,1
1,1
5,1
7,1
6,1
1,1
1,1
2,1
6,1
3,1
5,1
9,1
3,1
5,1
3,1
2,1
3,1
4,1
2,1
2,1
2,1
5,1
3,1
1,1
2,1
2,1
2,1
4,1
3,1
3,1
4,1
8,1
16,1
24,1
57,1
145,1
151,1
14,1
6,1
2,1
1,1
7,1
3,1
6,1
3,1
6,1
3,1
5,1
6,1
4,1
1,1
6,1
2,1
1,1
10,1
14,1
20,1
49,1
134,1
168,1
16,1
10,1
1,1
1,1
1,1
4,1
3,1
11,1
